"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_det_limit","ATX_det_limit","CYL_det_limit","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g","CYL_ug_g"
"SFE-M-3","n","2022-07-14","TM","2022-11-30",176,10,"0.1% formic acid","0.1",0.1314,"0.1052","ND","ND","ND","ND","ND","ND"
"SFE-M-1S","y","2022-06-29","TM","2023-02-10",212.1,10,"50% methanol","0.08",0.1082,"0.0866","ND","ND","ND","ND","ND","ND"
"SFE-M-1S","y","2022-06-29","TM","2023-02-10",191.5,10,"50% methanol","0.08",0.1108,"0.0887","ND","ND","ND","ND","ND","ND"
"SFE-M-1S","y","2022-06-29","TM","2023-02-10",196.5,10,"50% methanol","0.08",0.1075,"0.086","ND","ND","ND","ND","ND","ND"
"SFE-M-3","n","2022-06-29","TM","2023-12-08",232.3,10,"50% methanol","0.07",0.0982,"0.0786","ND","ND","ND","ND","ND","ND"
"SFE-M-4","n","2022-06-29","TM","2023-02-10",179.5,10,"50% methanol","0.08",0.1073,"0.0859","ND","ND","ND","ND","ND","ND"
"SAL-1S","n","2022-07-12","TM","2023-02-10",181.5,10,"50% methanol","0.07",0.0973,"0.0779","ND","ND","ND","ND","ND","ND"
"SAL-2","n","2022-07-12","TM","2023-02-10",176.9,5,"50% methanol","0.1",0.1307,"0.1047","1.37","ND","ND","ND","ND","ND"
"SAL-3","n","2022-07-12","TM","2023-02-10",132.8,10,"50% methanol","0.06",0.0871,"0.0697","ND","ND","ND","ND","ND","ND"
"SFE-M-1S","n","2022-07-14","TM","2023-02-10",194.9,10,"50% methanol","0.09",0.1187,"0.095","0.73","ND","ND","ND","ND","ND"
"SAL-1S","y","2022-07-26","TM","2023-02-10",103.3,5,"50% methanol","0.08",0.1119,"0.0896","ND","ND","ND","ND","ND","ND"
