"date_time","site_reach","pressure_mbar_extech"
"2022-07-28 10:00:00","SFE-M-1S",1005.4819
"2022-07-28 14:15:00","SFE-M-3",1002.8159
"2022-07-28 17:00:00","SFE-M-4",1001.7495
"2022-08-02 09:45:00","RUS-1S",1005.3486
"2022-08-02 14:00:00","RUS-2",1003.6157
"2022-08-02 15:45:00","RUS-3",1001.7495
"2022-08-10 09:30:00","SFE-M-1S",1011.8803
"2022-08-10 14:15:00","SFE-M-3",1009.4809
"2022-08-10 17:30:00","SFE-M-4",1008.6811
"2022-08-17 09:45:00","RUS-1S",1000.2832
"2022-08-17 14:00:00","RUS-2",1000.1499
"2022-08-17 16:15:00","RUS-3",998.6836
"2022-08-23 11:15:00","SFE-M-1S",1006.2817
"2022-08-23 14:00:00","SFE-M-3",1003.6157
"2022-08-23 16:15:00","SFE-M-4",1002.0161
"2022-09-01 10:00:00","RUS-1S",1002.2827
"2022-09-01 15:00:00","RUS-2",997.7505
"2022-09-01 17:15:00","RUS-3",995.4844
"2022-09-17 14:00:00","SFE-M-3",1000.0166
"2022-09-17 16:00:00","SFE-M-4",999.0835
"2023-06-20 09:40:00","SFE-M-1S",1014.2797
"2023-06-20 12:05:00","SFE-M-2",1013.3466
"2023-06-20 13:50:00","SFE-M-3",1060.6681
"2023-06-20 15:40:00","SFE-M-4",1011.747
"2023-06-25 08:10:00","SFE-SH-1S",993.2183
"2023-06-25 10:55:00","SFE-M-1S",1010.2807
"2023-06-25 13:25:00","SFE-M-2",1008.4145
"2023-06-25 16:35:00","SFE-M-3",1008.2812
"2023-06-25 15:10:00","SFE-M-4",1008.0146
"2023-06-28 08:25:00","SAL-1S",997.4839
"2023-06-28 11:35:00","SAL-2",994.418
"2023-06-28 13:50:00","SAL-3",991.752
"2023-07-03 08:10:00","SFE-SH-1S",987.8863
"2023-07-03 12:05:00","SFE-M-1S",1002.5493
"2023-07-03 13:55:00","SFE-M-2",1001.083
"2023-07-03 15:20:00","SFE-M-3",1000.2832
"2023-07-03 17:10:00","SFE-M-4",1000.4165
"2023-07-10 09:30:00","SFE-M-1S",1009.4809
"2023-07-10 11:40:00","SFE-M-2",1008.4145
"2023-07-10 13:40:00","SFE-M-3",1007.6147
"2023-07-10 15:15:00","SFE-M-4",1006.9482
"2023-07-11 09:15:00","SFE-SH-1S",991.2188
"2023-07-13 07:15:00","SAL-1S",1001.3496
"2023-07-13 10:45:00","SAL-2",999.0835
"2023-07-13 13:20:00","SAL-3",995.4844
"2023-07-17 08:10:00","SFE-SH-1S",989.6192
"2023-07-17 11:25:00","SFE-M-1S",1006.5483
"2023-07-17 13:50:00","SFE-M-2",1005.7485
"2023-07-17 15:30:00","SFE-M-3",1005.7485
"2023-07-17 17:05:00","SFE-M-4",1005.082
"2023-07-24 08:15:00","SFE-SH-1S",993.085
"2023-07-24 11:05:00","SFE-M-1S",1010.414
"2023-07-24 13:05:00","SFE-M-2",1010.1474
"2023-07-24 14:45:00","SFE-M-3",1010.0141
"2023-07-24 16:45:00","SFE-M-4",1009.6142
"2023-07-27 07:35:00","SAL-1S",999.0835
"2023-07-27 10:30:00","SAL-2",997.2173
"2023-07-27 13:00:00","SAL-3",994.418
"2023-07-31 07:50:00","SFE-SH-1S",991.6187
"2023-07-31 10:40:00","SFE-M-1S",1008.9477
"2023-07-31 12:30:00","SFE-M-2",1008.0146
"2023-07-31 13:55:00","SFE-M-3",1007.2148
"2023-07-31 15:20:00","SFE-M-4",1006.415
"2023-08-07 07:55:00","SFE-SH-1S",992.2852
"2023-08-07 10:35:00","SFE-M-1S",1009.081
"2023-08-07 12:25:00","SFE-M-2",1007.8813
"2023-08-07 13:55:00","SFE-M-3",1007.4814
"2023-08-07 15:25:00","SFE-M-4",1006.5483
"2023-08-10 07:50:00","SAL-1S",996.9507
"2023-08-10 10:20:00","SAL-2",995.0845
"2023-08-10 12:40:00","SAL-3",992.2852
"2023-08-14 08:15:00","SFE-SH-1S",988.5528
"2023-08-14 10:55:00","SFE-M-1S",1004.0156
"2023-08-14 12:40:00","SFE-M-2",1002.5493
"2023-08-14 14:15:00","SFE-M-3",1002.2827
"2023-08-14 16:00:00","SFE-M-4",1002.5493
"2023-08-22 08:10:00","SFE-SH-1S",991.8853
"2023-08-22 10:55:00","SFE-M-1S",1008.8144
"2023-08-22 12:25:00","SFE-M-2",1007.8813
"2023-08-22 13:45:00","SFE-M-3",1007.0815
"2023-08-22 15:10:00","SFE-M-4",1006.415
"2023-08-28 08:45:00","SFE-SH-1S",993.8848
"2023-08-28 11:00:00","SFE-M-1S",1011.0805
"2023-08-28 12:30:00","SFE-M-2",1010.1474
"2023-08-28 13:50:00","SFE-M-3",1009.2143
"2023-08-28 15:00:00","SFE-M-4",1008.9477
"2023-09-04 08:40:00","SFE-SH-1S",992.0186
"2023-09-04 10:40:00","SFE-M-1S",1009.4809
