"field_date","site_reach","site","reach","estimator","transect","orientation","depth_cm","green_algae","Microcoleus","Anabaena_Cylindrospermum","bare_biofilm","other_N_fixers","Micro_pres","Ana_Cyl_pres","riffle_rapid"
"2022-06-24","RUS-1S","RUS","1S","MH",0,"25","NA",40,0,0,60,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","MH",15,"50","NA",70,0,0,30,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","MH",30,"75","NA",10,0,0,90,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","JZ",45,"50","NA",30,0,0,70,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","JZ",60,"25","NA",40,0,0,60,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","JZ",75,"50","NA",10,0,0,90,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","JZ",90,"75","NA",0,0,0,100,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","JZ",105,"25","NA",40,0,0,60,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","JZ",120,"25","NA",0,0,0,100,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","JZ",135,"75","NA",80,0,0,20,0,"n","n","NA"
"2022-06-24","RUS-1S","RUS","1S","JZ",150,"50","NA",100,0,0,0,0,"n","n","NA"
"2022-07-06","RUS-1S","RUS","1S","MH",0,"25","14",5,0,0,95,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",15,"50","37",5,0,0,95,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",30,"75","46",10,0,0,90,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",45,"25","39",5,0,0,95,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",60,"50","30",85,0,0,15,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",75,"75","25",65,0,0,35,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",90,"25","45",10,0,0,90,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",105,"50","55",20,0,0,80,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",120,"75","46",5,0,0,95,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",135,"25","70",5,0,0,95,0,"n","n","n"
"2022-07-06","RUS-1S","RUS","1S","MH",150,"50","55",5,0,0,95,0,"n","n","n"
"2022-07-20","RUS-1S","RUS","1S","MH",0,"50","30",99,0,1,0,0,"n","y","n"
