site_name,site_reach_ID,latitude,longitude
South Fork Eel River at Miranda,SFE-M-1S,40.199481,-123.775892
South Fork Eel River at Miranda,SFE-M-2,40.192318,-123.769671
South Fork Eel River at Miranda,SFE-M-3,40.18803,-123.771416
South Fork Eel River at Miranda,SFE-M-4,40.182204,-123.776178
South Fork Eel River at Standish Hickey,SFE-SH-1S,39.876046,-123.72692
Salmon River,SAL-1S,41.378694,-123.475306
Salmon River,SAL-2,41.378127,-123.463236
Salmon River,SAL-3,41.373662,-123.454126
Russian River,RUS-1S,38.80628,-123.006417
Russian River,RUS-2,38.832283,-123.01185
Russian River,RUS-3,38.843114,-123.023883
