"field_date","site_reach","sample_type","triplicate","Chla_ug_mg","Pheo_ug_mg"
2022-06-29,"SFE-M-1S","TM","y",5.59756822613111,0.187940142853416
2022-06-29,"SFE-M-3","TM","n",7.98472078972217,0.0938230409841889
2022-06-29,"SFE-M-4","TM","n",4.89478335918051,0.0300269388954029
2022-07-12,"SAL-2","TM","n",4.58228623740764,0.138070218114172
2022-07-14,"SFE-M-1S","TM","n",5.75353875355326,0.0351976523205971
2022-07-28,"SFE-M-1S","TM","y",2.78992443407967,0.262917517483772
2022-07-28,"SFE-M-1S","TM","y",4.00445827450681,0.451586334478685
2022-07-28,"SFE-M-1S","TM","y",4.89123639759147,0.60558924430042
2022-07-28,"SFE-M-3","TM","n",8.89693867753363,0.0866011493829818
2022-08-10,"SFE-M-1S","TM","n",9.09464306210352,0.0702173943441885
2022-07-12,"SAL-1S","TM","n",4.9260900162699,0.0963532590070105
2022-07-12,"SAL-3","TM","n",6.41015787542345,0.0379092324765811
2022-07-26,"SAL-1S","TM","y",5.30992260309075,0.274266591966244
2022-07-26,"SAL-1S","TM","y",5.16323474396617,0.0311920214228033
2022-07-26,"SAL-2","TM","n",3.76242361521675,0.173326779458521
2022-08-10,"SFE-M-3","TM","n",9.4514240059212,0.0205750638236494
2022-08-10,"SFE-M-4","TM","n",5.31007858543501,1.07160310097627
2022-08-23,"SFE-M-1S","TM","y",9.6630778668776,0.275409658945446
2022-09-06,"SFE-M-3","TM","n",8.00300740759614,0.241753703028422
2022-09-08,"SFE-M-1S","TM","n",5.15995975929171,0.487214539171527
2022-09-17,"SFE-M-1S","TM","n",5.8679352594907,0.706779257420591
2022-06-29,"SFE-M-1S","TM","y",8.28750824610066,0.168034120284056
2022-08-23,"SFE-M-1S","TM","y",12.5754322315787,0.31237714777516
2022-08-23,"SFE-M-1S","TM","y",14.14791374081,0.166498075196729
2022-08-23,"SFE-M-3","TM","n",9.08464286754923,0.428651918090983
2022-07-20,"RUS-2","TAC","y",2.94780893576703,0.612688317993184
2022-07-20,"RUS-3","TAC","n",3.29908397733518,0.400976823586325
2022-07-28,"SFE-M-1S","TAC","y",7.08541216069578,1.36969044335628
2022-07-28,"SFE-M-1S","TAC","y",6.95327459110946,1.56167509489263
2022-07-28,"SFE-M-1S","TAC","y",7.42572519206922,1.37693394143722
2022-07-28,"SFE-M-3","TAC","n",8.24848141445624,1.34880755624819
2022-07-28,"SFE-M-4","TAC","y",7.05841069859656,1.35386164255827
2022-07-28,"SFE-M-4","TAC","y",7.7621441734401,1.44796999624463
2022-07-28,"SFE-M-4","TAC","y",8.38758187738496,1.24599270898636
