"field_date","site_reach","sample_type","triplicate","tin_g","wet_sample_tin_g","dry_sample_tin_g","combusted_sample_tin_g","dry_sample_g","afdm_g","percent_organic_matter"
2022-06-29,"SFE-M-1S","TM","n","1.27857","5.17","1.69722","1.62062","0.41865","0.0766","18.29691"
2022-06-29,"SFE-M-3","TM","n","NA","NA","NA","NA","NA","NA","NA"
2022-06-29,"SFE-M-4","TM","n","NA","NA","NA","NA","NA","NA","NA"
2022-07-12,"SAL-1S","TM","y","1.2906","3.8721","1.35094","1.32256","0.06034","0.02838","47.03348"
2022-07-12,"SAL-1S","TM","y","1.288","3.8442","1.33764","1.31366","0.04964","0.02398","48.30782"
2022-07-12,"SAL-1S","TM","y","1.2942","3.1918","1.3276","1.31341","0.0334","0.01419","42.48503"
2022-07-12,"SAL-2","TM","n","1.2868","4.0612","1.30348","1.29534","0.01668","0.00814","48.80096"
2022-07-12,"SAL-3","TM","n","1.2665","2.4413","1.2677","1.26679","0.0012","0.00091","75.83333"
2022-07-14,"SFE-M-1S","TM","n","1.29069","1.6475","1.29258","1.29114","0.00189","0.00144","76.19048"
2022-07-14,"SFE-M-3","TM","n","1.28717","1.6529","1.29152","1.28902","0.00435","0.0025","57.47126"
2022-07-26,"SAL-1S","TM","n","1.28282","2.93524","1.29715","1.2885","0.01433","0.00865","60.36288"
2022-07-26,"SAL-2","TM","n","1.2784","4.78239","1.36963","1.3295","0.09123","0.04013","43.98772"
2022-07-26,"SAL-3","TM","n","1.29476","4.29366","1.30758","1.299","0.01282","0.00858","66.92668"
2022-07-28,"SFE-M-1S","TM","n","1.2815","1.5224","1.30491","1.28993","0.02341","0.01498","63.98975"
2022-07-28,"SFE-M-3","TM","n","1.2838","1.5994","1.29975","1.28846","0.01595","0.01129","70.7837"
2022-08-10,"SFE-M-1S","TM","y","1.29686","4.65059","1.4118","1.32653","0.11494","0.08527","74.18653"
2022-08-10,"SFE-M-1S","TM","y","1.30211","5.64834","1.42155","1.33381","0.11944","0.08774","73.45948"
2022-08-10,"SFE-M-1S","TM","y","1.29459","4.39617","1.40516","1.33026","0.11057","0.0749","67.73989"
2022-08-10,"SFE-M-3","TM","n","1.29299","5.32634","1.41163","1.31737","0.11864","0.09426","79.45044"
2022-08-10,"SFE-M-4","TM","n","1.29206","4.8452","1.40977","1.35903","0.11771","0.05074","43.10594"
2022-08-23,"SFE-M-1S","TM","n","1.30174","6.21615","1.47712","1.34743","0.17538","0.12969","73.948"
2022-08-23,"SFE-M-3","TM","y","1.29073","5.76182","1.48081","1.35044","0.19008","0.13037","68.58691"
2022-08-23,"SFE-M-3","TM","y","1.27912","5.81345","1.43162","1.31651","0.1525","0.11511","75.48197"
2022-08-23,"SFE-M-3","TM","y","1.28687","5.77014","1.43173","1.32842","0.14486","0.10331","71.31713"
2022-09-08,"SFE-M-1S","TM","n","1.29127","5.4354","1.45645","1.33948","0.16518","0.11697","70.81366"
2022-09-06,"SFE-M-3","TM","y","1.29805","4.99562","1.47932","1.35674","0.18127","0.12258","67.62288"
2022-09-06,"SFE-M-3","TM","y","1.29548","8.11762","1.67351","1.43412","0.37803","0.23939","63.32566"
2022-09-06,"SFE-M-3","TM","y","1.28636","6.58467","1.60504","1.41446","0.31868","0.19058","59.80294"
2022-09-17,"SFE-M-1S","TM","n","1.28357","5.90179","1.42621","1.32676","0.14264","0.09945","69.72098"
2022-09-17,"SFE-M-3","TM","n","1.29109","7.51723","1.52512","1.34647","0.23403","0.17865","76.33637"
2022-07-14,"SFE-M-1S","TAC","n","1.2714","5.939","1.42655","1.36708","0.15515","0.05947","38.33065"
2022-07-14,"SFE-M-3","TAC","n","1.29669","4.5335","1.39963","1.36696","0.10294","0.03267","31.73693"
2022-07-14,"SFE-M-4","TAC","n","1.29275","3.13486","1.35736","1.33354","0.06461","0.02382","36.86736"
2022-07-20,"RUS-1S","TAC","n","1.2724","1.37873","1.28112","1.2788","0.00872","0.00232","26.6055"
2022-07-20,"RUS-2","TAC","n","1.28017","2.52979","1.33293","1.3135","0.05276","0.01943","36.82714"
2022-07-20,"RUS-3","TAC","n","1.28192","1.9062","1.30308","1.2951","0.02116","0.00798","37.71267"
2022-07-28,"SFE-M-1S","TAC","n","1.2894","3.3179","1.37056","1.333","0.08116","0.03756","46.27896"
2022-07-28,"SFE-M-3","TAC","y","1.2846","6.6987","1.45346","1.37145","0.16886","0.08201","48.56686"
2022-07-28,"SFE-M-3","TAC","y","1.292","7.3147","1.42277","1.35524","0.13077","0.06753","51.64028"
2022-07-28,"SFE-M-3","TAC","y","1.2743","5.0675","1.43549","1.35998","0.16119","0.07551","46.84534"
2022-07-28,"SFE-M-4","TAC","n","1.2918","3.7992","1.37722","1.33595","0.08542","0.04127","48.31421"
2022-08-02,"RUS-1S","TAC","n","1.285","2.203","1.29059","1.28846","0.00559","0.00213","38.10376"
2022-08-02,"RUS-2","TAC","n","1.287","2.2863","1.3247","1.31296","0.0377","0.01174","31.14058"
2022-08-02,"RUS-3","TAC","y","1.2894","1.6004","1.2969","1.29441","0.0075","0.00249","33.2"
2022-08-02,"RUS-3","TAC","y","1.2871","1.757","1.30357","1.29842","0.01647","0.00515","31.26897"
2022-08-02,"RUS-3","TAC","y","1.3008","1.5427","1.30642","1.30468","0.00562","0.00174","30.96085"
2022-08-10,"SFE-M-1S","TAC","n","1.26991","1.73737","1.28283","1.275","0.01292","0.00783","60.60372"
2022-08-10,"SFE-M-3","TAC","n","1.29746","3.09874","1.32901","1.31437","0.03155","0.01464","46.40254"
2022-08-10,"SFE-M-4","TAC","n","1.27073","1.97265","1.29963","1.28645","0.0289","0.01318","45.60554"
2022-08-17,"RUS-1S","TAC","n","1.29413","5.54026","1.34126","1.32941","0.04713","0.01185","25.14322"
2022-08-17,"RUS-2","TAC","n","1.2725","2.2625","1.30928","1.29875","0.03678","0.01053","28.62969"
2022-08-17,"RUS-3","TAC","n","1.29476","1.6153","1.2992","1.29772","0.00444","0.00148","33.33333"
2022-08-23,"SFE-M-3","TAC","n","1.28821","3.1868","1.31123","1.30067","0.02302","0.01056","45.87315"
2022-09-01,"RUS-1S","TAC","n","1.28191","11.77736","1.39068","1.36609","0.10877","0.02459","22.60734"
2022-09-01,"RUS-2","TAC","n","1.28152","5.1382","1.37987","1.35605","0.09835","0.02382","24.21962"
2022-09-01,"RUS-3","TAC","n","1.29079","3.21392","1.38206","1.35904","0.09127","0.02302","25.22187"
2022-09-06,"SFE-M-1S","TAC","n","1.28648","19.47162","1.35703","1.32504","0.07055","0.03199","45.34373"
2022-09-15,"RUS-1S","TAC","y","1.28863","11.5027","1.60359","1.52698","0.31496","0.07661","24.32372"
2022-09-15,"RUS-1S","TAC","y","1.28133","13.59781","1.67388","1.58432","0.39255","0.08956","22.81493"
2022-09-15,"RUS-1S","TAC","y","1.2907","13.67909","1.68894","1.59529","0.39824","0.09365","23.51597"
2022-09-15,"RUS-2","TAC","n","1.29107","9.4175","1.55106","1.4987","0.25999","0.05236","20.13924"
2022-09-15,"RUS-3","TAC","n","1.29632","9.1676","1.65114","1.57458","0.35482","0.07656","21.57714"
2022-09-17,"SFE-M-1S","TAC","n","1.2848","4.58484","1.30108","1.29361","0.01628","0.00747","45.88452"
2022-09-22,"SAL-3","TAC","y","1.28539","11.45474","1.3541","1.32453","0.06871","0.02957","43.03595"
2022-09-22,"SAL-3","TAC","y","1.28875","12.62995","1.37082","1.34172","0.08207","0.0291","35.45754"
2022-09-22,"SAL-3","TAC","y","1.28178","10.47467","1.33644","1.31621","0.05466","0.02023","37.01061"
2023-06-28,"SAL-3","TM","n","1.28655","5.14544","1.69072","1.65146","0.40417","0.03926","9.71373"
2023-07-03,"SFE-M-3","TM","n","1.29162","7.2382","1.32785","1.30349","0.03623","0.02436","67.2371"
2023-07-10,"SFE-M-1S","TM","n","1.29362","3.47071","1.30172","1.29456","0.0081","0.00716","88.39506"
2023-07-10,"SFE-M-2","TM","n","1.28701","2.001","1.45805","1.44814","0.17104","0.00991","5.79397"
2023-07-10,"SFE-M-3","TM","n","1.2908","1.8364","1.29611","1.2916","0.00531","0.00451","84.93409"
2023-07-11,"SFE-SH-1S","TM","n","1.29023","6.13499","1.30315","1.29422","0.01292","0.00893","69.11765"
2023-07-13,"SAL-1S","TM","y","1.29414","3.79143","1.31152","1.30749","0.01738","0.00403","23.18757"
2023-07-13,"SAL-1S","TM","y","1.29332","4.14922","1.31856","1.3125","0.02524","0.00606","24.00951"
2023-07-13,"SAL-1S","TM","y","1.28422","4.17182","1.30695","1.30122","0.02273","0.00573","25.20897"
2023-07-13,"SAL-2","TM","n","1.27723","3.615","1.43231","1.40144","0.15508","0.03087","19.90586"
2023-07-13,"SAL-3","TM","n","1.29429","3.27968","1.35591","1.33937","0.06162","0.01654","26.84193"
2023-07-17,"SFE-SH-1S","TM","n","1.28656","8.6442","1.37273","1.31614","0.08617","0.05659","65.67251"
2023-07-17,"SFE-M-1S","TM","n","1.28815","5.45418","1.32427","1.29872","0.03612","0.02555","70.73643"
2023-07-17,"SFE-M-3","TM","y","1.28883","5.908","1.34687","1.30997","0.05804","0.0369","63.57684"
2023-07-17,"SFE-M-3","TM","y","1.29527","5.9524","1.32444","1.30303","0.02917","0.02141","73.39733"
