"site_reach","site","reach","field_duplicate","field_date","TDC_mg_L","DOC_mg_L"
"RUS-1S","RUS","1S","n",2022-06-24,17.82,2.994
"SAL-1S","SAL","1S","n",2022-06-27,6.516,2.913
"SAL-3","SAL","3","n",2022-06-27,8.974,2.688
"SFE-M-1S","SFE-M","1S","n",2022-06-29,17.54,3.287
"SFE-M-3","SFE-M","3","n",2022-06-29,14.29,1.194
"SFE-M-4","SFE-M","4","n",2022-06-29,19.32,2.451
"RUS-1S","RUS","1S","n",2022-07-06,24.45,3.858
"RUS-2","RUS","2","n",2022-07-06,21.89,2.279
"RUS-3","RUS","3","n",2022-07-07,23.3,2.893
"SAL-1S","SAL","1S","n",2022-07-12,11.88,3.565
"SAL-2","SAL","2","n",2022-07-12,7.347,0.7916
"SAL-3","SAL","3","n",2022-07-12,10.72,2.31
"SFE-M-1S","SFE-M","1S","n",2022-07-14,16.17,0.7605
"SFE-M-3","SFE-M","3","n",2022-07-14,11.9,0.5737
"SFE-M-4","SFE-M","4","n",2022-07-14,18.16,0.7703
"RUS-1S","RUS","1S","n",2022-07-20,19.15,2.066
"RUS-2","RUS","2","n",2022-07-20,21.59,2.118
"RUS-3","RUS","3","n",2022-07-20,19.84,2.171
"SAL-1S","SAL","1S","n",2022-07-26,10.64,1.096
"SAL-2","SAL","2","n",2022-07-26,9.362,1.025
"SAL-3","SAL","3","n",2022-07-26,12.95,0.5312
"SFE-M-1S","SFE-M","1S","n",2022-07-28,16.2,0.751
"SFE-M-3","SFE-M","3","n",2022-07-28,18.55,0.9554
"SFE-M-4","SFE-M","4","n",2022-07-28,18.47,1.037
"RUS-1S","RUS","1S","n",2022-08-02,24.76,2.299
"RUS-2","RUS","2","n",2022-08-02,23.05,2.26
"RUS-3","RUS","3","n",2022-08-02,20.09,2.391
"SFE-M-1S","SFE-M","1S","n",2022-08-10,16.18,4.512
"SFE-M-3","SFE-M","3","n",2022-08-10,14.49,2.551
"SFE-M-4","SFE-M","4","n",2022-08-10,15.7,0.6784
"RUS-1S","RUS","1S","n",2022-08-17,23.23,2.429
"RUS-2","RUS","2","n",2022-08-17,21.52,2.416
"RUS-3","RUS","3","n",2022-08-17,21.42,2.102
"SFE-M-1S","SFE-M","1S","n",2022-08-23,23.04,0.8755
"SFE-M-3","SFE-M","3","n",2022-08-23,19.07,0.6235
"SFE-M-4","SFE-M","4","y",2022-08-23,16.79,0.6784
"SFE-M-4","SFE-M","4","y",2022-08-23,13.08,0.6751
"RUS-1S","RUS","1S","n",2022-09-01,18.58,1.889
"RUS-2","RUS","2","y",2022-09-01,16.08,1.631
"RUS-2","RUS","2","y",2022-09-01,17.66,2.018
"RUS-3","RUS","3","n",2022-09-01,19.44,2.101
"SFE-M-1S","SFE-M","1S","n",2022-09-06,16.7,0.6444
"SFE-M-3","SFE-M","3","n",2022-09-06,18.77,0.54
"SFE-M-4","SFE-M","4","n",2022-09-06,17.99,0.7294
"RUS-1S","RUS","1S","n",2022-09-15,20.66,1.924
"RUS-2","RUS","2","n",2022-09-15,21.76,2.06
"RUS-3","RUS","3","n",2022-09-15,19.33,2.061
"SFE-M-1S","SFE-M","1S","n",2022-09-17,19.63,0.4319
"SFE-M-3","SFE-M","3","n",2022-09-17,15.68,0.4455
"SFE-M-4","SFE-M","4","n",2022-09-17,18.44,0.5118
"SAL-1S","SAL","1S","n",2022-09-22,9.426,0.3502
"SAL-2","SAL","2","n",2022-09-22,8.67,0.5491
"SAL-3","SAL","3","y",2022-09-22,7.576,0.3704
"SAL-3","SAL","3","y",2022-09-22,11.98,0.6081
"SFE-M-1S","SFE-M","1S","n",2023-06-20,15.21,1.004
"SFE-M-2","SFE-M","2","y",2023-06-20,11.27,0.85
