"site_reach","site","reach","field_duplicate","instrument_duplicate","field_date","oPhos_ug_P_L","nitrate_mg_N_L","raw_ammonia_ammonium_mg_N_L","amm_below_detection","assumed_pH","temp_C","calculated_ammonium_mg_N_L"
"RUS-1S","RUS","1S","n","n",2022-06-24,"5.026","0.016","0.0027","n",8.07,24.82,"0.00253"
"SAL-1S","SAL","1S","n","y",2022-06-27,"7.768","0.013","0.0134","n",7.72,19.81,"0.01313"
"SAL-1S","SAL","1S","n","y",2022-06-27,"NA","0.016","NA","n",7.72,19.81,"NA"
"SAL-3","SAL","3","n","y",2022-06-27,"7.795","0.029","0.0084","n",8.11,20.49,"0.00797"
"SAL-3","SAL","3","n","y",2022-06-27,"NA","0.033","NA","n",8.11,20.49,"NA"
"SFE-M-1S","SFE-M","1S","n","y",2022-06-29,"5.775","0.011","0.0097","n",8.9,20.33,"0.00731"
"SFE-M-1S","SFE-M","1S","n","y",2022-06-29,"5.828","NA","NA","n",8.9,20.33,"NA"
"SFE-M-3","SFE-M","3","n","n",2022-06-29,"5.812","0.011","0.011","n",8.88,23.6,"0.00788"
"SFE-M-4","SFE-M","4","n","n",2022-06-29,"7.008","0.013","0.0091","n",9.14,25.43,"0.005"
"RUS-1S","RUS","1S","n","n",2022-07-06,"11.092","0.008","0.0067","n",8.07,21.4,"0.00637"
"RUS-2","RUS","2","n","y",2022-07-06,"6.807","0.01","0.0062","n",8.25,22.84,"0.0057"
"RUS-2","RUS","2","n","y",2022-07-06,"NA","0.009","NA","n",8.25,22.84,"NA"
"RUS-3","RUS","3","n","n",2022-07-07,"9.202","0.012","0.0068","n",8.4,23.76,"0.006"
"SAL-1S","SAL","1S","n","y",2022-07-12,"6.25","0.026","0.0141","n",7.72,20.52,"0.0138"
"SAL-1S","SAL","1S","n","y",2022-07-12,"6.633","NA","0.0147","n",7.72,20.52,"0.01438"
"SAL-2","SAL","2","n","n",2022-07-12,"5.8","0.024","0.0113","n",8.35,21.64,"0.01026"
"SAL-3","SAL","3","n","y",2022-07-12,"7.044","0.019","0.0146","n",8.11,22.59,"0.01374"
"SAL-3","SAL","3","n","y",2022-07-12,"6.891","NA","NA","n",8.11,22.59,"NA"
"SFE-M-1S","SFE-M","1S","n","n",2022-07-14,"5.353","0.017","0.0063","n",8.9,21.71,"0.00463"
"SFE-M-3","SFE-M","3","n","n",2022-07-14,"4.093","0.011","0.0072","n",8.88,23.63,"0.00516"
"SFE-M-4","SFE-M","4","n","n",2022-07-14,"6.021","0.017","0.0082","n",9.14,25.72,"0.00447"
"RUS-1S","RUS","1S","n","y",2022-07-20,"7.841","0.015","0.0066","n",8.07,22.22,"0.00625"
"RUS-1S","RUS","1S","n","y",2022-07-20,"NA","0.019","NA","n",8.07,22.22,"NA"
"RUS-2","RUS","2","n","y",2022-07-20,"9.59","0.009","0.0045","n",8.25,23.75,"0.00411"
"RUS-2","RUS","2","n","y",2022-07-20,"NA","0.009","NA","n",8.25,23.75,"NA"
"RUS-3","RUS","3","n","n",2022-07-20,"9.796","0.009","0.0028","n",8.4,24.68,"0.00245"
"SAL-1S","SAL","1S","n","n",2022-07-26,"7.264","0.011","0.0076","n",7.72,21.41,"0.00743"
"SAL-2","SAL","2","n","y",2022-07-26,"5.944","0.011","0.0084","n",8.35,21.52,"0.00763"
"SAL-2","SAL","2","n","y",2022-07-26,"5.758","NA","0.0094","n",8.35,21.52,"0.00854"
"SAL-3","SAL","3","n","n",2022-07-26,"5.63","0.008","0.0084","n",8.11,22.13,"0.00792"
"SFE-M-1S","SFE-M","1S","n","y",2022-07-28,"4.178","0.006","0.0042","n",8.9,24.49,"0.00291"
"SFE-M-1S","SFE-M","1S","n","y",2022-07-28,"3.624","NA","NA","n",8.9,24.49,"NA"
"SFE-M-3","SFE-M","3","n","n",2022-07-28,"5.73","0.006","0.0049","n",8.88,25.83,"0.00335"
"SFE-M-4","SFE-M","4","n","n",2022-07-28,"3.503","0.005","0.0068","n",9.14,28.48,"0.00338"
"RUS-1S","RUS","1S","n","n",2022-08-02,"6.961","0.009","0.0051","n",8.07,21.8,"0.00484"
"RUS-2","RUS","2","n","n",2022-08-02,"9.735","0.01","0.0136","n",8.25,23.41,"0.01246"
"RUS-3","RUS","3","n","n",2022-08-02,"7.386","0.007","0.0082","n",8.4,24.27,"0.00721"
"SFE-M-1S","SFE-M","1S","n","y",2022-08-10,"3.865","0.033","0.056","n",8.55,21.81,"0.04816"
"SFE-M-1S","SFE-M","1S","n","y",2022-08-10,"3.61","0.032","0.056","n",8.55,21.81,"0.04816"
"SFE-M-3","SFE-M","3","n","n",2022-08-10,"3.68","0.028","0.0778","n",8.63,24.71,"0.06271"
"SFE-M-4","SFE-M","4","n","y",2022-08-10,"3.952","0.027","0.0128","n",8.92,27.1,"0.00823"
"SFE-M-4","SFE-M","4","n","y",2022-08-10,"4.04","NA","0.0153","n",8.92,27.1,"0.00984"
"RUS-1S","RUS","1S","n","n",2022-08-17,"6.912","0.016","0.0361","n",8.22,22.7,"0.03339"
"RUS-2","RUS","2","n","n",2022-08-17,"9.835","0.015","0.0169","n",8.27,23.53,"0.01541"
"RUS-3","RUS","3","n","n",2022-08-17,"6.809","0.02","0.0082","n",8.53,24.33,"0.00691"
"SFE-M-1S","SFE-M","1S","n","y",2022-08-23,"4.229","0.015","0.01","n",8.75,24.2,"0.00766"
"SFE-M-1S","SFE-M","1S","n","y",2022-08-23,"NA","0.015","NA","n",8.75,24.2,"NA"
"SFE-M-3","SFE-M","3","n","n",2022-08-23,"3.8","0.018","0.0095","n",8.62,24.71,"0.00769"
"SFE-M-4","SFE-M","4","y","n",2022-08-23,"4.27","0.02","0.0141","n",8.85,27.38,"0.00952"
"SFE-M-4","SFE-M","4","y","n",2022-08-23,"4.213","0.026","0.0095","n",8.85,27.38,"0.00641"
"RUS-1S","RUS","1S","n","y",2022-09-01,"8.549","0.009","0.009","n",8.03,20.53,"0.00861"
"RUS-1S","RUS","1S","n","y",2022-09-01,"8.811","NA","0.0086","n",8.03,20.53,"0.00823"
"RUS-2","RUS","2","y","n",2022-09-01,"8.812","0.01","0.0092","n",8.27,22.69,"0.00843"
"RUS-2","RUS","2","y","n",2022-09-01,"8.381","0.01","0.0071","n",8.27,22.69,"0.00651"
"RUS-3","RUS","3","n","n",2022-09-01,"8.284","0.011","0.0057","n",8.56,22.8,"0.00484"
"SFE-M-1S","SFE-M","1S","n","n",2022-09-06,"6.473","0.024","0.0093","n",8.17,22.466,"0.00868"
"SFE-M-3","SFE-M","3","n","y",2022-09-06,"5.919","0.014","0.0068","n",8.47,24.115,"0.00586"
"SFE-M-3","SFE-M","3","n","y",2022-09-06,"6.904","0.014","0.0085","n",8.47,24.115,"0.00733"
"SFE-M-4","SFE-M","4","n","n",2022-09-06,"5.307","0.028","0.0154","n",8.74,27.42,"0.0112"
"RUS-1S","RUS","1S","n","n",2022-09-15,"10.95","0.011","0.0081","n",7.98,18.757,"0.00783"
"RUS-2","RUS","2","n","n",2022-09-15,"11.203","0.012","0.0094","n",8.19,19.924,"0.00885"
"RUS-3","RUS","3","n","y",2022-09-15,"9.421","0.019","0.0087","n",8.36,20.066,"0.00796"
"RUS-3","RUS","3","n","y",2022-09-15,"NA","NA","0.0081","n",8.36,20.066,"0.00741"
"SFE-M-1S","SFE-M","1S","n","n",2022-09-17,"5.342","0.023","0.0072","n",7.97,19.96,"0.00694"
"SFE-M-3","SFE-M","3","n","n",2022-09-17,"5.058","0.015","0.0084","n",8.37,19.66,"0.00769"
"SFE-M-4","SFE-M","4","n","y",2022-09-17,"4.968","0.017","0.0118","n",8.53,20.64,"0.01033"
"SFE-M-4","SFE-M","4","n","y",2022-09-17,"NA","0.017","NA","n",8.53,20.64,"NA"
"SAL-1S","SAL","1S","n","n",2022-09-22,"8.037","0.009","0.0089","n",7.72,16.59,"0.00876"
"SAL-2","SAL","2","n","y",2022-09-22,"4.912","0.014","0.0127","n",8.35,18.25,"0.01177"
"SAL-2","SAL","2","n","y",2022-09-22,"5.069","NA","NA","n",8.35,18.25,"NA"
"SAL-3","SAL","3","y","n",2022-09-22,"6.103","0.011","0.0149","n",8.11,17.33,"0.01429"
"SAL-3","SAL","3","y","n",2022-09-22,"5.265","0.016","0.0106","n",8.11,17.33,"0.01017"
"SFE-M-1S","SFE-M","1S","n","n",2023-06-20,"4.474","0.04","0.0064","n",8.11,19,"0.00611"
"SFE-M-2","SFE-M","2","y","n",2023-06-20,"4.013","0.034","0.0062","n",8.09,19.7,"0.00591"
"SFE-M-2","SFE-M","2","y","n",2023-06-20,"4.025","0.033","0.0084","n",8.09,19.7,"0.00801"
"SFE-M-3","SFE-M","3","n","y",2023-06-20,"3.959","0.03","0.0054","n",8.19,21.1,"0.00506"
"SFE-M-3","SFE-M","3","n","y",2023-06-20,"NA","NA","0.0041","n",8.19,21.1,"0.00384"
