"Plot Title: 20775516"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775516, SEN S/N: 20775516)","Full Range, μS/cm (LGR S/N: 20775516, SEN S/N: 20775516)","Temp, °C (LGR S/N: 20775516, SEN S/N: 20775516)","Coupler Detached (LGR S/N: 20775516)","Coupler Attached (LGR S/N: 20775516)","Host Connected (LGR S/N: 20775516)","Stopped (LGR S/N: 20775516)","End Of File (LGR S/N: 20775516)"
1,07/10/23 09:45:00 AM,2.3,-3.4,19.70,Logged,,,,
2,07/10/23 10:00:00 AM,223.8,227.1,21.33,,,,,
3,07/10/23 10:15:00 AM,224.0,227.4,21.39,,,,,
4,07/10/23 10:30:00 AM,224.6,228.1,21.56,,,,,
5,07/10/23 10:45:00 AM,225.3,228.8,21.70,,,,,
6,07/10/23 11:00:00 AM,225.6,229.2,21.77,,,,,
7,07/10/23 11:15:00 AM,226.0,229.9,21.85,,,,,
8,07/10/23 11:30:00 AM,226.6,230.2,22.00,,,,,
9,07/10/23 11:45:00 AM,227.2,230.6,22.10,,,,,
10,07/10/23 12:00:00 PM,227.7,231.3,22.23,,,,,
11,07/10/23 12:15:00 PM,228.2,232.0,22.33,,,,,
12,07/10/23 12:30:00 PM,228.6,232.7,22.45,,,,,
13,07/10/23 12:45:00 PM,229.2,233.4,22.58,,,,,
14,07/10/23 01:00:00 PM,229.7,233.4,22.69,,,,,
15,07/10/23 01:15:00 PM,230.1,234.1,22.78,,,,,
16,07/10/23 01:30:00 PM,230.5,234.8,22.87,,,,,
17,07/10/23 01:45:00 PM,231.0,235.2,22.96,,,,,
18,07/10/23 02:00:00 PM,231.6,235.2,23.07,,,,,
19,07/10/23 02:15:00 PM,232.0,235.9,23.16,,,,,
20,07/10/23 02:30:00 PM,232.3,236.2,23.24,,,,,
21,07/10/23 02:45:00 PM,232.7,236.9,23.32,,,,,
22,07/10/23 03:00:00 PM,232.9,236.6,23.39,,,,,
23,07/10/23 03:15:00 PM,233.4,237.3,23.49,,,,,
24,07/10/23 03:30:00 PM,233.6,238.0,23.55,,,,,
25,07/10/23 03:45:00 PM,233.9,238.0,23.62,,,,,
26,07/10/23 04:00:00 PM,234.3,238.3,23.73,,,,,
27,07/10/23 04:15:00 PM,234.5,238.7,23.80,,,,,
28,07/10/23 04:30:00 PM,234.9,239.0,23.88,,,,,
29,07/10/23 04:45:00 PM,235.3,239.4,23.99,,,,,
30,07/10/23 05:00:00 PM,235.5,239.7,24.05,,,,,
31,07/10/23 05:15:00 PM,235.8,239.7,24.11,,,,,
32,07/10/23 05:30:00 PM,235.9,240.0,24.17,,,,,
33,07/10/23 05:45:00 PM,236.1,240.0,24.20,,,,,
34,07/10/23 06:00:00 PM,236.1,240.0,24.24,,,,,
35,07/10/23 06:15:00 PM,236.1,240.4,24.24,,,,,
36,07/10/23 06:30:00 PM,236.0,240.0,24.21,,,,,
37,07/10/23 06:45:00 PM,235.9,240.0,24.19,,,,,
38,07/10/23 07:00:00 PM,235.7,239.7,24.15,,,,,
39,07/10/23 07:15:00 PM,235.5,239.7,24.11,,,,,
40,07/10/23 07:30:00 PM,235.3,239.3,24.06,,,,,
