"Plot Title: 20775522"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775522, SEN S/N: 20775522)","Full Range, μS/cm (LGR S/N: 20775522, SEN S/N: 20775522)","Temp, °C (LGR S/N: 20775522, SEN S/N: 20775522)","Coupler Detached (LGR S/N: 20775522)","Coupler Attached (LGR S/N: 20775522)","Host Connected (LGR S/N: 20775522)","Stopped (LGR S/N: 20775522)","End Of File (LGR S/N: 20775522)"
1,08/07/23 08:15:00 AM,234.1,230.0,21.75,Logged,,,,
2,08/07/23 08:30:00 AM,234.3,230.0,21.77,,,,,
3,08/07/23 08:45:00 AM,234.6,229.9,21.83,,,,,
4,08/07/23 09:00:00 AM,235.0,230.7,21.94,,,,,
5,08/07/23 09:15:00 AM,235.2,230.7,22.03,,,,,
6,08/07/23 09:30:00 AM,235.3,230.7,22.04,,,,,
7,08/07/23 09:45:00 AM,235.6,231.4,22.14,,,,,
8,08/07/23 10:00:00 AM,236.1,231.4,22.27,,,,,
9,08/07/23 10:15:00 AM,236.8,232.5,22.42,,,,,
10,08/07/23 10:30:00 AM,237.6,233.2,22.59,,,,,
11,08/07/23 10:45:00 AM,238.5,234.3,22.79,,,,,
12,08/07/23 11:00:00 AM,239.8,235.4,23.03,,,,,
13,08/07/23 11:15:00 AM,240.6,236.5,23.22,,,,,
14,08/07/23 11:30:00 AM,241.1,236.9,23.33,,,,,
15,08/07/23 11:45:00 AM,241.9,237.6,23.50,,,,,
16,08/07/23 12:00:00 PM,242.6,238.3,23.64,,,,,
17,08/07/23 12:15:00 PM,243.6,238.6,23.82,,,,,
18,08/07/23 12:30:00 PM,244.4,240.1,24.02,,,,,
19,08/07/23 12:45:00 PM,245.4,240.8,24.20,,,,,
20,08/07/23 01:00:00 PM,246.2,241.6,24.37,,,,,
21,08/07/23 01:15:00 PM,246.9,242.7,24.52,,,,,
22,08/07/23 01:30:00 PM,247.4,243.0,24.61,,,,,
23,08/07/23 01:45:00 PM,248.0,243.8,24.75,,,,,
24,08/07/23 02:00:00 PM,248.4,244.1,24.87,,,,,
25,08/07/23 02:15:00 PM,248.9,244.5,24.99,,,,,
26,08/07/23 02:30:00 PM,249.5,245.2,25.11,,,,,
27,08/07/23 02:45:00 PM,250.0,245.9,25.23,,,,,
28,08/07/23 03:00:00 PM,250.5,246.3,25.37,,,,,
29,08/07/23 03:15:00 PM,250.7,246.6,25.45,,,,,
30,08/07/23 03:30:00 PM,251.2,247.0,25.57,,,,,
31,08/07/23 03:45:00 PM,251.6,247.4,25.66,,,,,
32,08/07/23 04:00:00 PM,252.2,247.7,25.76,,,,,
33,08/07/23 04:15:00 PM,252.6,248.1,25.84,,,,,
34,08/07/23 04:30:00 PM,252.5,248.1,25.83,,,,,
35,08/07/23 04:45:00 PM,252.6,248.1,25.89,,,,,
36,08/07/23 05:00:00 PM,252.6,248.1,25.84,,,,,
37,08/07/23 05:15:00 PM,252.4,248.1,25.83,,,,,
38,08/07/23 05:30:00 PM,252.2,247.7,25.77,,,,,
39,08/07/23 05:45:00 PM,251.8,247.7,25.70,,,,,
