"Plot Title: 20775521"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775521, SEN S/N: 20775521)","Full Range, μS/cm (LGR S/N: 20775521, SEN S/N: 20775521)","Temp, °C (LGR S/N: 20775521, SEN S/N: 20775521)","Coupler Detached (LGR S/N: 20775521)","Coupler Attached (LGR S/N: 20775521)","Host Connected (LGR S/N: 20775521)","Stopped (LGR S/N: 20775521)","End Of File (LGR S/N: 20775521)"
1,08/09/23 06:45:00 PM,2.4,-1.9,29.52,Logged,,,,
2,08/09/23 07:00:00 PM,126.1,121.4,22.78,,,,,
3,08/09/23 07:15:00 PM,125.8,121.0,22.64,,,,,
4,08/09/23 07:30:00 PM,125.7,120.7,22.57,,,,,
5,08/09/23 07:45:00 PM,125.5,120.7,22.48,,,,,
6,08/09/23 08:00:00 PM,125.3,120.0,22.40,,,,,
7,08/09/23 08:15:00 PM,125.1,120.0,22.31,,,,,
8,08/09/23 08:30:00 PM,125.0,119.6,22.23,,,,,
9,08/09/23 08:45:00 PM,124.9,119.6,22.16,,,,,
10,08/09/23 09:00:00 PM,124.7,119.7,22.09,,,,,
11,08/09/23 09:15:00 PM,124.5,119.3,22.00,,,,,
12,08/09/23 09:30:00 PM,124.3,119.3,21.92,,,,,
13,08/09/23 09:45:00 PM,124.1,119.0,21.86,,,,,
14,08/09/23 10:00:00 PM,124.0,119.0,21.80,,,,,
15,08/09/23 10:15:00 PM,123.8,118.6,21.73,,,,,
16,08/09/23 10:30:00 PM,123.7,118.6,21.65,,,,,
17,08/09/23 10:45:00 PM,123.5,118.3,21.59,,,,,
18,08/09/23 11:00:00 PM,123.5,118.3,21.55,,,,,
19,08/09/23 11:15:00 PM,123.3,117.9,21.50,,,,,
20,08/09/23 11:30:00 PM,123.2,117.9,21.44,,,,,
21,08/09/23 11:45:00 PM,123.1,117.9,21.39,,,,,
22,08/10/23 12:00:00 AM,122.9,117.9,21.33,,,,,
23,08/10/23 12:15:00 AM,122.7,117.6,21.27,,,,,
24,08/10/23 12:30:00 AM,122.6,117.6,21.21,,,,,
25,08/10/23 12:45:00 AM,122.5,116.9,21.16,,,,,
26,08/10/23 01:00:00 AM,122.3,117.2,21.11,,,,,
27,08/10/23 01:15:00 AM,122.3,116.9,21.07,,,,,
28,08/10/23 01:30:00 AM,122.3,116.9,21.02,,,,,
29,08/10/23 01:45:00 AM,122.1,116.9,20.97,,,,,
30,08/10/23 02:00:00 AM,122.1,116.5,20.93,,,,,
31,08/10/23 02:15:00 AM,122.0,116.5,20.90,,,,,
32,08/10/23 02:30:00 AM,122.0,116.5,20.87,,,,,
33,08/10/23 02:45:00 AM,121.9,116.5,20.85,,,,,
34,08/10/23 03:00:00 AM,121.8,116.5,20.81,,,,,
35,08/10/23 03:15:00 AM,121.7,116.5,20.81,,,,,
36,08/10/23 03:30:00 AM,121.7,116.5,20.79,,,,,
37,08/10/23 03:45:00 AM,121.7,116.2,20.77,,,,,
38,08/10/23 04:00:00 AM,121.6,116.2,20.75,,,,,
39,08/10/23 04:15:00 AM,121.6,116.2,20.74,,,,,
40,08/10/23 04:30:00 AM,121.5,116.2,20.73,,,,,
41,08/10/23 04:45:00 AM,121.5,116.2,20.71,,,,,
42,08/10/23 05:00:00 AM,121.5,116.2,20.69,,,,,
43,08/10/23 05:15:00 AM,121.5,116.2,20.68,,,,,
44,08/10/23 05:30:00 AM,121.5,116.2,20.68,,,,,
45,08/10/23 05:45:00 AM,121.4,116.2,20.66,,,,,
46,08/10/23 06:00:00 AM,121.4,116.2,20.65,,,,,
47,08/10/23 06:15:00 AM,121.4,115.8,20.63,,,,,
48,08/10/23 06:30:00 AM,121.4,115.8,20.62,,,,,
49,08/10/23 06:45:00 AM,121.3,115.8,20.61,,,,,
50,08/10/23 07:00:00 AM,121.3,115.8,20.60,,,,,
51,08/10/23 07:15:00 AM,121.2,115.8,20.57,,,,,
52,08/10/23 07:30:00 AM,121.1,115.5,20.56,,,,,
53,08/10/23 07:45:00 AM,121.0,115.5,20.54,,,,,
54,08/10/23 08:00:00 AM,121.1,115.8,20.54,,,,,
55,08/10/23 08:15:00 AM,121.0,115.8,20.53,,,,,
56,08/10/23 08:30:00 AM,121.0,115.8,20.54,,,,,
57,08/10/23 08:45:00 AM,121.0,115.5,20.54,,,,,
58,08/10/23 09:00:00 AM,121.1,115.8,20.56,,,,,
59,08/10/23 09:15:00 AM,121.1,115.8,20.57,,,,,
60,08/10/23 09:30:00 AM,121.1,115.8,20.61,,,,,
61,08/10/23 09:45:00 AM,121.3,115.8,20.65,,,,,
62,08/10/23 10:00:00 AM,121.4,116.2,20.68,,,,,
63,08/10/23 10:15:00 AM,121.5,116.2,20.74,,,,,
64,08/10/23 10:30:00 AM,121.7,116.5,20.80,,,,,
65,08/10/23 10:45:00 AM,121.8,116.5,20.90,,,,,
66,08/10/23 11:00:00 AM,122.1,116.9,20.97,,,,,
67,08/10/23 11:15:00 AM,122.3,116.9,21.07,,,,,
68,08/10/23 11:30:00 AM,122.6,117.2,21.16,,,,,
69,08/10/23 11:45:00 AM,122.9,117.9,21.27,,,,,
70,08/10/23 12:00:00 PM,123.1,117.9,21.38,,,,,
71,08/10/23 12:15:00 PM,123.5,118.3,21.50,,,,,
72,08/10/23 12:30:00 PM,123.7,118.6,21.59,,,,,
73,08/10/23 12:45:00 PM,124.1,119.0,21.73,,,,,
74,08/10/23 01:00:00 PM,124.4,119.3,21.86,,,,,
75,08/10/23 01:15:00 PM,124.8,119.7,21.99,,,,,
76,08/10/23 01:30:00 PM,125.2,120.0,22.12,,,,,
77,08/10/23 01:45:00 PM,125.5,120.4,22.24,,,,,
78,08/10/23 02:00:00 PM,125.8,120.7,22.34,,,,,
79,08/10/23 02:15:00 PM,126.1,121.1,22.45,,,,,
80,08/10/23 02:30:00 PM,126.4,121.0,22.58,,,,,
81,08/10/23 02:45:00 PM,126.7,121.8,22.66,,,,,
82,08/10/23 03:00:00 PM,127.0,121.8,22.75,,,,,
83,08/10/23 03:15:00 PM,127.2,122.1,22.85,,,,,
84,08/10/23 03:30:00 PM,127.4,122.5,22.90,,,,,
85,08/10/23 03:45:00 PM,127.7,122.5,22.96,,,,,
86,08/10/23 04:00:00 PM,127.8,122.4,23.05,,,,,
87,08/10/23 04:15:00 PM,128.0,122.8,23.09,,,,,
88,08/10/23 04:30:00 PM,128.1,123.2,23.13,,,,,
89,08/10/23 04:45:00 PM,128.2,123.2,23.17,,,,,
90,08/10/23 05:00:00 PM,128.2,123.2,23.14,,,,,
91,08/10/23 05:15:00 PM,128.0,122.8,23.13,,,,,
92,08/10/23 05:30:00 PM,128.0,122.8,23.09,,,,,
93,08/10/23 05:45:00 PM,128.0,122.8,23.08,,,,,
94,08/10/23 06:00:00 PM,127.9,122.8,23.05,,,,,
95,08/10/23 06:15:00 PM,127.7,122.5,22.99,,,,,
96,08/10/23 06:30:00 PM,127.4,122.5,22.89,,,,,
97,08/10/23 06:45:00 PM,127.3,122.1,22.82,,,,,
98,08/10/23 07:00:00 PM,127.0,122.1,22.72,,,,,
99,08/10/23 07:15:00 PM,126.6,121.8,22.60,,,,,
100,08/10/23 07:30:00 PM,126.4,121.1,22.49,,,,,
101,08/10/23 07:45:00 PM,126.2,121.1,22.41,,,,,
102,08/10/23 08:00:00 PM,126.0,121.1,22.33,,,,,
103,08/10/23 08:15:00 PM,125.8,120.7,22.24,,,,,
104,08/10/23 08:30:00 PM,125.6,120.4,22.17,,,,,
105,08/10/23 08:45:00 PM,125.5,120.0,22.11,,,,,
106,08/10/23 09:00:00 PM,125.4,120.0,22.05,,,,,
107,08/10/23 09:15:00 PM,125.2,120.0,21.99,,,,,
108,08/10/23 09:30:00 PM,125.0,119.7,21.94,,,,,
109,08/10/23 09:45:00 PM,124.9,119.7,21.87,,,,,
110,08/10/23 10:00:00 PM,124.8,119.7,21.82,,,,,
111,08/10/23 10:15:00 PM,124.7,119.3,21.76,,,,,
112,08/10/23 10:30:00 PM,124.5,119.3,21.70,,,,,
113,08/10/23 10:45:00 PM,124.4,119.3,21.64,,,,,
114,08/10/23 11:00:00 PM,124.2,119.0,21.59,,,,,
115,08/10/23 11:15:00 PM,124.2,119.0,21.55,,,,,
116,08/10/23 11:30:00 PM,124.1,118.6,21.50,,,,,
117,08/10/23 11:45:00 PM,123.9,118.6,21.45,,,,,
118,08/11/23 12:00:00 AM,123.8,118.7,21.39,,,,,
119,08/11/23 12:15:00 AM,123.6,118.3,21.33,,,,,
120,08/11/23 12:30:00 AM,123.6,118.3,21.28,,,,,
121,08/11/23 12:45:00 AM,123.4,118.3,21.22,,,,,
122,08/11/23 01:00:00 AM,123.2,118.0,21.16,,,,,
123,08/11/23 01:15:00 AM,123.1,118.0,21.11,,,,,
124,08/11/23 01:30:00 AM,123.0,118.0,21.05,,,,,
125,08/11/23 01:45:00 AM,122.8,118.0,21.02,,,,,
126,08/11/23 02:00:00 AM,122.6,117.6,20.98,,,,,
127,08/11/23 02:15:00 AM,122.6,117.6,20.96,,,,,
128,08/11/23 02:30:00 AM,122.4,117.2,20.93,,,,,
129,08/11/23 02:45:00 AM,122.4,117.3,20.91,,,,,
130,08/11/23 03:00:00 AM,122.4,117.3,20.89,,,,,
131,08/11/23 03:15:00 AM,122.4,116.9,20.86,,,,,
132,08/11/23 03:30:00 AM,122.4,117.3,20.85,,,,,
133,08/11/23 03:45:00 AM,122.2,117.3,20.83,,,,,
134,08/11/23 04:00:00 AM,122.2,117.3,20.81,,,,,
135,08/11/23 04:15:00 AM,122.2,117.3,20.80,,,,,
136,08/11/23 04:30:00 AM,122.2,116.9,20.78,,,,,
137,08/11/23 04:45:00 AM,122.2,116.9,20.78,,,,,
138,08/11/23 05:00:00 AM,122.1,117.3,20.77,,,,,
139,08/11/23 05:15:00 AM,122.1,116.5,20.74,,,,,
140,08/11/23 05:30:00 AM,122.0,116.9,20.73,,,,,
