"Plot Title: 20775526"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20775526, SEN S/N: 20775526)","Full Range, μS/cm (LGR S/N: 20775526, SEN S/N: 20775526)","Temp, °C (LGR S/N: 20775526, SEN S/N: 20775526)","Coupler Detached (LGR S/N: 20775526)","Coupler Attached (LGR S/N: 20775526)","Host Connected (LGR S/N: 20775526)","Stopped (LGR S/N: 20775526)","End Of File (LGR S/N: 20775526)"
1,07/12/23 06:15:00 PM,0.6,15.3,26.87,Logged,,,,
2,07/12/23 06:30:00 PM,2.4,1.7,32.05,,,,,
3,07/12/23 06:45:00 PM,2.4,1.8,29.83,,,,,
4,07/12/23 07:00:00 PM,2.4,-1.5,29.72,,,,,
5,07/12/23 07:15:00 PM,98.2,94.1,20.09,,,,,
6,07/12/23 07:30:00 PM,98.0,94.4,20.05,,,,,
7,07/12/23 07:45:00 PM,98.0,94.1,20.00,,,,,
8,07/12/23 08:00:00 PM,97.9,94.1,19.92,,,,,
9,07/12/23 08:15:00 PM,97.8,94.1,19.86,,,,,
10,07/12/23 08:30:00 PM,97.6,93.7,19.77,,,,,
11,07/12/23 08:45:00 PM,97.4,93.7,19.70,,,,,
12,07/12/23 09:00:00 PM,97.3,93.4,19.63,,,,,
13,07/12/23 09:15:00 PM,97.2,93.0,19.57,,,,,
14,07/12/23 09:30:00 PM,97.2,93.4,19.50,,,,,
15,07/12/23 09:45:00 PM,97.1,93.0,19.45,,,,,
16,07/12/23 10:00:00 PM,97.0,92.7,19.39,,,,,
17,07/12/23 10:15:00 PM,96.9,93.0,19.33,,,,,
18,07/12/23 10:30:00 PM,96.8,93.0,19.26,,,,,
19,07/12/23 10:45:00 PM,96.7,92.7,19.23,,,,,
20,07/12/23 11:00:00 PM,96.6,92.7,19.17,,,,,
21,07/12/23 11:15:00 PM,96.5,92.7,19.12,,,,,
22,07/12/23 11:30:00 PM,96.5,92.3,19.11,,,,,
23,07/12/23 11:45:00 PM,96.3,92.7,19.09,,,,,
24,07/13/23 12:00:00 AM,96.4,92.3,19.06,,,,,
25,07/13/23 12:15:00 AM,96.4,92.3,19.06,,,,,
26,07/13/23 12:30:00 AM,96.5,92.7,19.05,,,,,
27,07/13/23 12:45:00 AM,96.4,92.3,19.05,,,,,
28,07/13/23 01:00:00 AM,96.4,92.3,19.06,,,,,
29,07/13/23 01:15:00 AM,96.5,92.3,19.04,,,,,
