"date_time","temp_C","low_range_cond_uS_cm"
"2022-06-24 17:15:00",24.57,301.9
"2022-06-24 17:30:00",24.55,302.5
"2022-06-24 17:45:00",24.54,302.1
"2022-06-24 18:00:00",24.54,302.2
"2022-06-24 18:15:00",24.53,302.4
"2022-06-24 18:30:00",24.51,302.6
"2022-06-24 18:45:00",24.51,302.6
"2022-06-24 19:00:00",24.47,302.6
"2022-06-24 19:15:00",24.44,303.1
"2022-06-24 19:30:00",24.42,303.3
"2022-06-24 19:45:00",24.41,302.8
"2022-06-24 20:00:00",24.38,302.8
"2022-06-24 20:15:00",24.35,302.8
"2022-06-24 20:30:00",24.35,303
"2022-06-24 20:45:00",24.35,303
"2022-06-24 21:00:00",24.32,303.1
"2022-06-24 21:15:00",24.31,303.1
"2022-06-24 21:30:00",24.29,303.1
"2022-06-24 21:45:00",24.26,303.2
"2022-06-24 22:00:00",24.23,303.1
"2022-06-24 22:15:00",24.2,303
"2022-06-24 22:30:00",24.14,302.7
"2022-06-24 22:45:00",24.09,302.8
"2022-06-24 23:00:00",24.03,302.2
"2022-06-24 23:15:00",23.99,302.1
"2022-06-24 23:30:00",23.91,301.8
"2022-06-24 23:45:00",23.85,301.5
"2022-06-25 00:00:00",23.79,301.2
"2022-06-25 00:15:00",23.72,300.8
"2022-06-25 00:30:00",23.65,300.6
"2022-06-25 00:45:00",23.59,300.3
"2022-06-25 01:00:00",23.51,300.1
"2022-06-25 01:15:00",23.45,299.8
"2022-06-25 01:30:00",23.38,299.6
"2022-06-25 01:45:00",23.31,299.2
"2022-06-25 02:00:00",23.25,298.9
"2022-06-25 02:15:00",23.19,298.7
"2022-06-25 02:30:00",23.12,298.4
"2022-06-25 02:45:00",23.04,298
"2022-06-25 03:00:00",22.97,297.6
"2022-06-25 03:15:00",22.9,297.2
"2022-06-25 03:30:00",22.83,296.9
"2022-06-25 03:45:00",22.76,296.7
"2022-06-25 04:00:00",22.67,296.2
"2022-06-25 04:15:00",22.6,295.8
"2022-06-25 04:30:00",22.52,295.4
"2022-06-25 04:45:00",22.44,295
"2022-06-25 05:00:00",22.37,295
"2022-06-25 05:15:00",22.27,294.2
"2022-06-25 05:30:00",22.2,293.7
"2022-06-25 05:45:00",22.11,293.4
"2022-06-25 06:00:00",22.03,292.9
"2022-06-25 06:15:00",21.97,292.5
"2022-06-25 06:30:00",21.88,292.2
"2022-06-25 06:45:00",21.82,292
"2022-06-25 07:00:00",21.76,291.6
"2022-06-25 07:15:00",21.71,291.3
"2022-06-25 07:30:00",21.66,290.9
"2022-06-25 07:45:00",21.64,291
"2022-06-25 08:00:00",21.65,290.8
"2022-06-25 08:15:00",21.68,291.1
"2022-06-25 08:30:00",21.69,291.2
"2022-06-25 08:45:00",21.66,291
"2022-06-25 09:00:00",21.76,291.8
"2022-06-25 09:15:00",21.79,291.8
"2022-06-25 09:30:00",21.83,292.1
"2022-06-25 09:45:00",21.88,292.5
"2022-06-25 10:00:00",21.97,293.1
