"date_time","temp_C","low_range_cond_uS_cm"
"2023-06-27 19:45:00",17.43,74.9
"2023-06-27 20:00:00",17.39,74.7
"2023-06-27 20:15:00",17.33,74.7
"2023-06-27 20:30:00",17.28,74.7
"2023-06-27 20:45:00",17.26,74.6
"2023-06-27 21:00:00",17.21,74.5
"2023-06-27 21:15:00",17.19,74.5
"2023-06-27 21:30:00",17.19,74.5
"2023-06-27 21:45:00",17.2,74.4
"2023-06-27 22:00:00",17.19,74.4
"2023-06-27 22:15:00",17.19,74.4
"2023-06-27 22:30:00",17.21,74.4
"2023-06-27 22:45:00",17.21,74.5
"2023-06-27 23:00:00",17.21,74.4
"2023-06-27 23:15:00",17.21,74.5
"2023-06-27 23:30:00",17.22,74.4
"2023-06-27 23:45:00",17.21,74.4
"2023-06-28 00:00:00",17.21,74.4
"2023-06-28 00:15:00",17.19,74.4
"2023-06-28 00:30:00",17.19,74.4
"2023-06-28 00:45:00",17.17,74.4
"2023-06-28 01:00:00",17.15,74.4
"2023-06-28 01:15:00",17.13,74.4
"2023-06-28 01:30:00",17.12,74.3
"2023-06-28 01:45:00",17.09,74.2
"2023-06-28 02:00:00",17.05,74.2
"2023-06-28 02:15:00",17.03,74.2
"2023-06-28 02:30:00",17,74
"2023-06-28 02:45:00",16.96,74
"2023-06-28 03:00:00",16.93,74
"2023-06-28 03:15:00",16.9,73.9
"2023-06-28 03:30:00",16.87,73.8
"2023-06-28 03:45:00",16.82,73.8
"2023-06-28 04:00:00",16.81,73.8
"2023-06-28 04:15:00",16.75,73.7
"2023-06-28 04:30:00",16.71,73.6
"2023-06-28 04:45:00",16.67,73.5
"2023-06-28 05:00:00",16.62,73.6
"2023-06-28 05:15:00",16.56,73.4
"2023-06-28 05:30:00",16.54,73.3
"2023-06-28 05:45:00",16.49,73.3
"2023-06-28 06:00:00",16.42,73.3
"2023-06-28 06:15:00",16.38,73.2
"2023-06-28 06:30:00",16.32,73.1
"2023-06-28 06:45:00",16.26,73.1
"2023-06-28 07:00:00",16.21,72.9
"2023-06-28 07:15:00",16.17,72.9
"2023-06-28 07:30:00",16.12,72.8
"2023-06-28 07:45:00",16.07,72.7
"2023-06-28 08:00:00",16.03,72.7
"2023-06-28 08:15:00",16.02,72.8
"2023-06-28 08:30:00",15.99,72.7
"2023-06-28 08:45:00",15.99,72.7
"2023-06-28 09:00:00",15.97,72.8
"2023-06-28 09:15:00",15.99,72.8
"2023-06-28 09:30:00",16,72.8
"2023-06-28 09:45:00",16.05,73
"2023-06-28 10:00:00",16.1,73.2
"2023-06-28 10:15:00",16.11,73.2
"2023-06-28 10:30:00",16.18,73.3
"2023-06-28 10:45:00",16.21,73.4
"2023-06-28 11:00:00",16.26,73.6
"2023-06-28 11:15:00",16.3,73.7
"2023-06-28 11:30:00",16.36,73.9
"2023-06-28 11:45:00",16.39,73.9
"2023-06-28 12:00:00",16.43,74.1
"2023-06-28 12:15:00",16.47,74.1
"2023-06-28 12:30:00",16.54,74.3
"2023-06-28 12:45:00",16.57,74.4
"2023-06-28 13:00:00",16.64,74.6
"2023-06-28 13:15:00",16.7,74.8
"2023-06-28 13:30:00",16.76,74.9
"2023-06-28 13:45:00",16.85,75
"2023-06-28 14:00:00",16.92,75.2
"2023-06-28 14:15:00",16.98,75.3
"2023-06-28 14:30:00",17.05,75.5
"2023-06-28 14:45:00",17.14,75.6
"2023-06-28 15:00:00",17.25,75.9
"2023-06-28 15:15:00",17.34,76.1
"2023-06-28 15:30:00",17.43,76.3
"2023-06-28 15:45:00",17.49,76.4
"2023-06-28 16:00:00",17.58,76.5
"2023-06-28 16:15:00",17.67,76.7
"2023-06-28 16:30:00",17.73,76.8
"2023-06-28 16:45:00",17.79,76.9
"2023-06-28 17:00:00",17.84,77.1
"2023-06-28 17:15:00",17.9,77.2
"2023-06-28 17:30:00",17.95,77.3
"2023-06-28 17:45:00",17.96,77.3
"2023-06-28 18:00:00",17.96,77.2
"2023-06-28 18:15:00",17.94,77.2
"2023-06-28 18:30:00",17.96,77.3
"2023-06-28 18:45:00",17.91,77
"2023-06-28 19:00:00",17.91,77
"2023-06-28 19:15:00",17.86,76.9
"2023-06-28 19:30:00",17.83,76.8
"2023-06-28 19:45:00",17.79,76.7
"2023-06-28 20:00:00",17.76,76.6
"2023-06-28 20:15:00",17.72,76.5
"2023-06-28 20:30:00",17.69,76.3
"2023-06-28 20:45:00",17.66,76.3
"2023-06-28 21:00:00",17.62,76.1
"2023-06-28 21:15:00",17.59,76.1
"2023-06-28 21:30:00",17.56,76
"2023-06-28 21:45:00",17.56,75.9
"2023-06-28 22:00:00",17.53,75.7
"2023-06-28 22:15:00",17.53,75.8
"2023-06-28 22:30:00",17.53,75.6
"2023-06-28 22:45:00",17.57,75.6
"2023-06-28 23:00:00",17.56,75.6
"2023-06-28 23:15:00",17.58,75.6
"2023-06-28 23:30:00",17.58,75.5
"2023-06-28 23:45:00",17.58,75.6
"2023-06-29 00:00:00",17.59,75.5
"2023-06-29 00:15:00",17.58,75.5
"2023-06-29 00:30:00",17.6,75.5
