"date_time","temp_C","low_range_cond_uS_cm"
"2022-06-29 10:45:00",21.53,222.3
"2022-06-29 11:00:00",21.62,222.8
"2022-06-29 11:15:00",21.75,223.5
"2022-06-29 11:30:00",21.88,224.1
"2022-06-29 11:45:00",22.03,224.8
"2022-06-29 12:00:00",22.16,225.4
"2022-06-29 12:15:00",22.28,225.9
"2022-06-29 12:30:00",22.38,226.5
"2022-06-29 12:45:00",22.51,227
"2022-06-29 13:00:00",22.64,227.7
"2022-06-29 13:15:00",22.78,228.4
"2022-06-29 13:30:00",22.89,228.7
"2022-06-29 13:45:00",23.01,229.4
"2022-06-29 14:00:00",23.14,229.9
"2022-06-29 14:15:00",23.25,230.4
"2022-06-29 14:30:00",23.39,231
"2022-06-29 14:45:00",23.53,231.7
"2022-06-29 15:00:00",23.63,232.1
"2022-06-29 15:15:00",23.73,232.5
"2022-06-29 15:30:00",23.81,233.1
"2022-06-29 15:45:00",23.95,233.6
"2022-06-29 16:00:00",24.03,234
"2022-06-29 16:15:00",24.13,234.3
"2022-06-29 16:30:00",24.22,234.7
"2022-06-29 16:45:00",24.26,235.1
"2022-06-29 17:00:00",24.35,235.4
"2022-06-29 17:15:00",24.39,235.6
"2022-06-29 17:30:00",24.47,235.8
"2022-06-29 17:45:00",24.53,236
"2022-06-29 18:00:00",24.54,236.1
"2022-06-29 18:15:00",24.57,236.2
"2022-06-29 18:30:00",24.55,236.2
"2022-06-29 18:45:00",24.54,236
"2022-06-29 19:00:00",24.51,236
"2022-06-29 19:15:00",24.48,235.7
"2022-06-29 19:30:00",24.42,235.5
"2022-06-29 19:45:00",24.38,235.3
"2022-06-29 20:00:00",24.29,234.9
"2022-06-29 20:15:00",24.19,234.5
"2022-06-29 20:30:00",24.09,234.1
"2022-06-29 20:45:00",23.98,233.6
"2022-06-29 21:00:00",23.9,233.3
"2022-06-29 21:15:00",23.79,232.8
"2022-06-29 21:30:00",23.68,232.4
"2022-06-29 21:45:00",23.59,231.9
"2022-06-29 22:00:00",23.48,231.5
"2022-06-29 22:15:00",23.35,231.1
"2022-06-29 22:30:00",23.26,230.6
"2022-06-29 22:45:00",23.16,230.2
"2022-06-29 23:00:00",23.06,229.8
"2022-06-29 23:15:00",22.95,229.4
