"date_time","low_range_cond_uS_cm.x","full_range_cond_uS_cm","temp_C","site","site_year","low_range_cond_uS_cm.y"
"2023-06-24 09:45:00",167.5,165.4,17.34,"Standish","sfkeel_sth_2023",167.5
"2023-06-24 10:00:00",167.8,165.4,17.37,"Standish","sfkeel_sth_2023",167.8
"2023-06-24 10:15:00",168.1,165.4,17.4,"Standish","sfkeel_sth_2023",168.1
"2023-06-24 10:30:00",168.4,165.7,17.46,"Standish","sfkeel_sth_2023",168.4
"2023-06-24 10:45:00",168.6,166.1,17.48,"Standish","sfkeel_sth_2023",168.6
"2023-06-24 11:00:00",169.3,166.5,17.65,"Standish","sfkeel_sth_2023",169.3
"2023-06-24 11:15:00",170,167.6,17.81,"Standish","sfkeel_sth_2023",170
"2023-06-24 11:30:00",171.1,168.7,18.05,"Standish","sfkeel_sth_2023",171.1
"2023-06-24 11:45:00",171.8,169.1,18.19,"Standish","sfkeel_sth_2023",171.8
"2023-06-24 12:00:00",172.3,169.8,18.33,"Standish","sfkeel_sth_2023",172.3
"2023-06-24 12:15:00",173.1,170.1,18.45,"Standish","sfkeel_sth_2023",173.1
"2023-06-24 12:30:00",173.8,171.3,18.61,"Standish","sfkeel_sth_2023",173.8
"2023-06-24 12:45:00",174.3,171.6,18.72,"Standish","sfkeel_sth_2023",174.3
"2023-06-24 13:00:00",174.8,172.4,18.85,"Standish","sfkeel_sth_2023",174.8
"2023-06-24 13:15:00",175.3,172.7,18.98,"Standish","sfkeel_sth_2023",175.3
"2023-06-24 13:30:00",175.9,173.1,19.1,"Standish","sfkeel_sth_2023",175.9
"2023-06-24 13:45:00",176.2,173.5,19.18,"Standish","sfkeel_sth_2023",176.2
"2023-06-24 14:00:00",176.8,174.2,19.3,"Standish","sfkeel_sth_2023",176.8
"2023-06-24 14:15:00",177.4,174.6,19.43,"Standish","sfkeel_sth_2023",177.4
"2023-06-24 14:30:00",177.9,175.3,19.54,"Standish","sfkeel_sth_2023",177.9
"2023-06-24 14:45:00",178.3,175.7,19.63,"Standish","sfkeel_sth_2023",178.3
