Type,NLCD Code,Area (km²),Coverage (%),Active River Area (km²)
Open Water,11,0.27,0.09,No Data
Perennial Ice/Snow,12,0,0,No Data
"Developed, Open Space",21,7.14,2.55,No Data
"Developed, Low Intensity",22,0.54,0.19,No Data
"Developed, Medium Intensity",23,0.26,0.09,No Data
"Developed, High Intensity",24,0.04,0.01,No Data
Barren Land (Rock/Sand/Clay),31,0.39,0.14,No Data
Deciduous Forest,41,0.47,0.17,No Data
Evergreen Forest,42,155.73,55.63,No Data
Mixed Forest,43,2.23,0.8,No Data
Shrub/Scrub,52,105.58,37.71,No Data
Grassland/Herbaceous,71,7.14,2.55,No Data
Pasture/Hay,81,0.16,0.06,No Data
Cultivated Crops,82,0,0,No Data
Woody Wetlands,90,0.01,0,No Data
Emergent Herbaceous Wetlands,95,0.02,0.01,No Data
Total,,279.96,100,No Data
