Type,"NLCD Code","Area (km²)","Coverage (%)","Active River Area (km²)"
"Open Water",11,3.06,0.47,"No Data"
"Perennial Ice/Snow",12,0.00,0.00,"No Data"
"Developed, Open Space",21,29.53,4.53,"No Data"
"Developed, Low Intensity",22,4.06,0.62,"No Data"
"Developed, Medium Intensity",23,1.96,0.30,"No Data"
"Developed, High Intensity",24,0.57,0.09,"No Data"
"Barren Land (Rock/Sand/Clay)",31,3.33,0.51,"No Data"
"Deciduous Forest",41,17.07,2.62,"No Data"
"Evergreen Forest",42,462.96,71.02,"No Data"
"Mixed Forest",43,27.92,4.28,"No Data"
Shrub/Scrub,52,56.54,8.67,"No Data"
Grassland/Herbaceous,71,43.63,6.69,"No Data"
Pasture/Hay,81,0.09,0.01,"No Data"
"Cultivated Crops",82,0.08,0.01,"No Data"
"Woody Wetlands",90,0.66,0.10,"No Data"
"Emergent Herbaceous Wetlands",95,0.45,0.07,"No Data"
Total,,651.92,100.00,"No Data"
