Type,NLCD Code,Area (km²),Coverage (%),Active River Area (km²)
Open Water,11,1.25,0.31,No Data
Perennial Ice/Snow,12,0,0,No Data
"Developed, Open Space",21,15.63,3.86,No Data
"Developed, Low Intensity",22,2.03,0.5,No Data
"Developed, Medium Intensity",23,0.85,0.21,No Data
"Developed, High Intensity",24,0.16,0.04,No Data
Barren Land (Rock/Sand/Clay),31,1.32,0.32,No Data
Deciduous Forest,41,1.67,0.41,No Data
Evergreen Forest,42,360.49,88.94,No Data
Mixed Forest,43,5.18,1.28,No Data
Shrub/Scrub,52,11.45,2.82,No Data
Grassland/Herbaceous,71,4.14,1.02,No Data
Pasture/Hay,81,0,0,No Data
Cultivated Crops,82,0,0,No Data
Woody Wetlands,90,0.84,0.21,No Data
Emergent Herbaceous Wetlands,95,0.31,0.08,No Data
Total,,405.32,100,No Data
