"site","date","discharge_m3_s"
"russian",2022-06-23,1.12715944491645
"russian",2022-06-24,1.23194562446899
"russian",2022-06-25,1.16964032851883
"russian",2022-06-26,1.11299915038233
"russian",2022-06-27,1.03936561880487
"russian",2022-06-28,0.96856414613424
"russian",2022-06-29,1.00254885301614
"russian",2022-06-30,1.10167091475503
"russian",2022-07-01,1.053525913339
"russian",2022-07-02,1.17530444633248
"russian",2022-07-03,1.3905409232512
"russian",2022-07-04,1.56612857547437
"russian",2022-07-05,1.65109034267913
"russian",2022-07-06,1.63126593033135
"russian",2022-07-07,1.48966298499009
"russian",2022-07-08,1.64542622486548
"russian",2022-07-09,1.59444916454262
"russian",2022-07-10,1.58595298782215
"russian",2022-07-11,1.58312092891532
"russian",2022-07-12,1.3905409232512
"russian",2022-07-13,1.33673180402152
"russian",2022-07-14,1.31407533276692
"russian",2022-07-15,1.35372415746247
"russian",2022-07-16,1.30557915604645
"russian",2022-07-17,1.20362503540074
"russian",2022-07-18,1.30274709713962
"russian",2022-07-19,1.44718210138771
"russian",2022-07-20,1.58312092891532
"russian",2022-07-21,1.5916171056358
"russian",2022-07-22,1.48966298499009
"russian",2022-07-23,1.4018691588785
"russian",2022-07-24,1.54913622203342
"russian",2022-07-25,1.54347210421977
"russian",2022-07-26,1.53214386859247
"russian",2022-07-27,1.57462475219485
"russian",2022-07-28,1.58878504672897
"russian",2022-07-29,1.61993769470405
"russian",2022-07-30,1.60860945907675
"russian",2022-07-31,1.69073916737468
"russian",2022-08-01,1.81534975927499
"russian",2022-08-02,1.75304446332484
"russian",2022-08-03,1.62843387142453
"russian",2022-08-04,1.59444916454262
"russian",2022-08-05,1.63409798923818
"russian",2022-08-06,1.60577740016992
"russian",2022-08-07,1.60011328235627
"russian",2022-08-08,1.63126593033135
"russian",2022-08-09,1.50665533843104
"russian",2022-08-10,1.5916171056358
"russian",2022-08-11,1.54630416312659
"russian",2022-08-12,1.56329651656754
"russian",2022-08-13,1.46134239592184
"russian",2022-08-14,1.55480033984707
"russian",2022-08-15,1.44151798357406
"russian",2022-08-16,1.42452563013311
"russian",2022-08-17,1.2999150382328
"russian",2022-08-18,1.38204474653073
"russian",2022-08-19,1.6709147550269
"russian",2022-08-20,1.65392240158595
"russian",2022-08-21,1.68224299065421
"russian",2022-08-22,1.73605210988389
"russian",2022-08-23,1.81534975927499
"russian",2022-08-24,1.80685358255452
"russian",2022-08-25,1.89747946757293
"russian",2022-08-26,1.95695270461626
"russian",2022-08-27,1.84367034834325
"russian",2022-08-28,1.99376947040498
"russian",2022-08-29,1.97960917587086
