"chan_discharge","chan_width","chan_area","chan_velocity","measurement_dt","site_no","mean_z","discharge_m3_s","depth_m","velocity_m_s"
138,36.6,44.7,3.09,1951-08-19,"11463000",1.22131147540984,3.90824129141886,0.372255737704918,0.941832
161,75,93,1.73,1951-09-21,"11463000",1.24,4.55961483998867,0.377952,0.527304
264,97,169,1.56,1951-10-25,"11463000",1.74226804123711,7.47663551401869,0.531043298969072,0.475488
5310,170,1000,5.31,1951-12-02,"11463000",5.88235294117647,150.382327952421,1.79294117647059,1.618488
9230,178,1480,6.24,1951-12-29,"11463000",8.31460674157303,261.399037099972,2.53429213483146,1.901952
2860,152,711,4.02,1952-03-06,"11463000",4.67763157894737,80.9968847352025,1.42574210526316,1.225296
948,135,379,2.5,1952-04-02,"11463000",2.80740740740741,26.8479184367035,0.855697777777778,0.762
523,86,146,3.58,1952-05-09,"11463000",1.69767441860465,14.8116680826961,0.517451162790698,1.091184
284,79,93,3.05,1952-06-19,"11463000",1.17721518987342,8.04304729538374,0.358815189873418,0.92964
244,131,140,1.74,1952-08-26,"11463000",1.06870229007634,6.91022373265364,0.325740458015267,0.530352
217,79,79.6,2.73,1952-11-01,"11463000",1.00759493670886,6.14556782781082,0.307114936708861,0.832104
18200,222,2550,7.14,1952-12-07,"11463000",11.4864864864865,515.434721042198,3.50108108108108,2.176272
3800,164,864,4.4,1952-12-08,"11463000",5.26829268292683,107.61823845936,1.6057756097561,1.34112
1750,145,543,3.23,1953-01-05,"11463000",3.7448275862069,49.5610308694421,1.14142344827586,0.984504
7030,180,1290,5.45,1953-01-08,"11463000",7.16666666666667,199.093741149816,2.1844,1.66116
11500,203,1760,6.53,1953-01-20,"11463000",8.66995073891626,325.686774284905,2.64260098522168,1.990344
530,128,327,1.62,1953-02-26,"11463000",2.5546875,15.0099122061739,0.77866875,0.493776
555,128,293,1.89,1953-04-14,"11463000",2.2890625,15.7179269328802,0.69770625,0.576072
508,142,300,1.69,1953-05-15,"11463000",2.11267605633803,14.3868592466723,0.643943661971831,0.515112
423,131,272,1.56,1953-06-15,"11463000",2.0763358778626,11.9796091758709,0.632867175572519,0.475488
254,131,189,1.34,1953-07-30,"11463000",1.44274809160305,7.19342962333616,0.439749618320611,0.408432
299,135,210,1.42,1953-09-03,"11463000",1.55555555555556,8.46785613140753,0.474133333333333,0.432816
310,137,220,1.41,1953-10-15,"11463000",1.60583941605839,8.77938261115831,0.489459854014599,0.429768
128,79,101,1.27,1953-10-27,"11463000",1.27848101265823,3.62503540073634,0.389681012658228,0.387096
122,78,96,1.27,1953-10-30,"11463000",1.23076923076923,3.45511186632682,0.375138461538462,0.387096
881,129,406,2.17,1953-12-08,"11463000",3.14728682170543,24.9504389691306,0.959293023255814,0.661416
2880,156,765,3.76,1954-01-19,"11463000",4.90384615384615,81.5632965165675,1.49469230769231,1.146048
1260,137,517,2.44,1954-02-03,"11463000",3.77372262773723,35.6839422259983,1.15023065693431,0.743712
672,128,326,2.06,1954-03-08,"11463000",2.546875,19.0314358538658,0.7762875,0.627888
341,144,234,1.46,1954-05-28,"11463000",1.625,9.65732087227414,0.4953,0.445008
150,77.5,101,1.49,1954-06-28,"11463000",1.30322580645161,4.24808836023789,0.397223225806452,0.454152
181,85,113,1.6,1954-08-02,"11463000",1.32941176470588,5.12602662135372,0.405204705882353,0.48768
196,87,119,1.65,1954-09-07,"11463000",1.36781609195402,5.55083545737751,0.416910344827586,0.50292
329,139,260,1.27,1954-10-22,"11463000",1.8705035971223,9.31747380345511,0.570129496402878,0.387096
103,59,74.8,1.38,1954-11-07,"11463000",1.26779661016949,2.91702067403002,0.386424406779661,0.420624
177,13.3,NA,0,1954-11-08,"11463000",NA,5.01274426508071,NA,0
4210,164,876,4.8,1954-12-06,"11463000",5.34146341463415,119.229679977344,1.62807804878049,1.46304
823,130,349,2.36,1955-03-03,"11463000",2.68461538461538,23.3078448031719,0.818270769230769,0.719328
158,74,110,1.44,1955-04-12,"11463000",1.48648648648649,4.47465307278391,0.453081081081081,0.438912
456,123,239,1.91,1955-05-17,"11463000",1.94308943089431,12.9141886151232,0.592253658536585,0.582168
218,75,98.1,2.22,1955-06-28,"11463000",1.308,6.17388841687907,0.3986784,0.676656
177,105,87.6,2.02,1955-08-02,"11463000",0.834285714285714,5.01274426508071,0.254290285714286,0.615696
189,136,129,1.46,1955-09-14,"11463000",0.948529411764706,5.35259133389974,0.289111764705882,0.445008
244,78,109,2.24,1955-10-26,"11463000",1.3974358974359,6.91022373265364,0.425938461538462,0.682752
250,81,118,2.12,1955-12-01,"11463000",1.45679012345679,7.08014726706315,0.44402962962963,0.646176
3440,162,984,3.49,1955-12-28,"11463000",6.07407407407407,97.422826394789,1.85137777777778,1.063752
10900,198,1810,6.03,1956-01-16,"11463000",9.14141414141414,308.694420843954,2.78630303030303,1.837944
10000,193,1620,6.17,1956-01-25,"11463000",8.39378238341969,283.205890682526,2.55842487046632,1.880616
1460,147,578,2.53,1956-02-04,"11463000",3.93197278911565,41.3480600396488,1.19846530612245,0.771144
948,144,487,1.95,1956-03-16,"11463000",3.38194444444444,26.8479184367035,1.03081666666667,0.59436
439,137,311,1.41,1956-04-25,"11463000",2.27007299270073,12.4327386009629,0.691918248175183,0.429768
238,148,217,1.1,1956-06-05,"11463000",1.46621621621622,6.74030019824412,0.446902702702703,0.33528
225,138,240,0.94,1956-10-17,"11463000",1.73913043478261,6.37213254035684,0.530086956521739,0.286512
117,NA,152,0.77,1956-12-31,"11463000",NA,3.31350892098556,NA,0.234696
692,140,381,1.82,1957-01-17,"11463000",2.72142857142857,19.5978476352308,0.829491428571429,0.554736
853,145,419,2.04,1957-04-17,"11463000",2.88965517241379,24.1574624752195,0.880766896551724,0.621792
662,144,341,1.94,1957-05-29,"11463000",2.36805555555556,18.7482299631832,0.721783333333333,0.591312
179,67,105,1.7,1957-07-09,"11463000",1.56716417910448,5.06938544321722,0.477671641791045,0.51816
