site,date,time,distance_m,depth_cm,velocity_m_s
RUS,6/24/2022,19:00,0.27,0,0
,,,2,50,0.03
,,,4,62,0.04
,,,6,60,0.24
,,,8,53,0.34
,,,10,52,0.32
,,,12,40,0.24
,,,14,33,0.11
,,,16,27,0.01
,,,18,21,0.02
,,,20,16,0
,,,22.5,0,0
RUS,7/6/2022,12:30,18.6,0,0
,,,16.5,56,0.1
,,,15,54,0.14
,,,13.5,50,0.2
,,,12,50,0.24
,,,10.5,50,0.24
,,,9,47,0.2
,,,7.5,46,0.24
,,,6,42,0.25
,,,4.5,39,0.21
,,,3,39,0.23
,,,1.5,40,0.18
,,,1,40,0.14
,,,0,0,0
RUS,7/20/2022,11:00,21,0,0
,,,18,37,0.05
,,,16,38,0.19
,,,14.5,37,0.2
,,,13,40,0.21
,,,11.5,40,0.2
,,,10,42,0.23
,,,8.5,44,0.21
,,,7,46,0.21
,,,5.5,49,0.17
,,,4,50,0.14
,,,2.5,51,0.12
,,,1,36,0
,,,0.2,0,0
RUS,8/2/2022,11:30,0.6,0,0
,,,1.5,50,0.027
,,,3,54,0.1403
,,,4.5,50,0.183
,,,6,51,0.2294
,,,7.5,51,0.2509
,,,9,49,0.2548
,,,10.5,48,0.2547
,,,12,45,0.2573
,,,13.5,42,0.2546
,,,15,40,0.215
,,,16.5,39,0.2304
,,,18,41,0.0404
,,,19.9,0,0
RUS,8/17/2022,11:00,0.8,0,0
,,,1.5,48,0.0917
,,,3,53,0.1058
,,,4.5,52,0.1384
,,,6,48,0.1722
,,,7.5,48,0.1907
,,,9,46,0.1828
,,,10.5,45,0.1942
,,,12,42,0.2102
,,,13.5,39,0.1939
,,,15,37,0.1847
,,,16.5,36,0.1503
,,,17.5,37,0.0137
,,,20,0,0
RUS,9/1/2022,13:00,0.8,0,0
,,,1.5,54,0.1254
,,,3,57,0.1444
,,,4.5,56,0.2068
,,,6,51,0.2252
,,,7.5,52,0.2508
,,,9,50,0.246
,,,10.5,47,0.2593
,,,12,46,0.2207
,,,13.5,43,0.2211
,,,15,41,0.2177
,,,16.5,41,0.0199
,,,20,0,0
RUS,9/15/2022,12:00,0.3,0,0
,,,1.5,55,0.1123
,,,3,57,0.163
,,,4.5,58,0.2056
,,,6,52,0.241
,,,7.5,52,0.2775
,,,9,51,0.2993
,,,10.5,50,0.3045
,,,12,47,0.2503
,,,13.5,46,0.2409
,,,15,43,0.1949
,,,16,43,0.1404
,,,18.5,0,0
