Date,Site,Transect,Meas_Type,Depth_cm_initial,Depth_ft_initial,Width_m,Depth_cm_final,Approx_lat,Approx_long,Width_method,notes
7/9/2023,SfkEel_Miranda,1,Width,,,17.7,,40.1814697,-123.7779815,measuring_tape,
7/9/2023,SfkEel_Miranda,1,Depth,103,,,103,,,,
7/9/2023,SfkEel_Miranda,1,Depth,,6.8,,207,,,,
7/9/2023,SfkEel_Miranda,1,Depth,,5.4,,165,,,,
7/9/2023,SfkEel_Miranda,1,Depth,,3.9,,119,,,,
7/9/2023,SfkEel_Miranda,1,Depth,103,,,103,,,,
7/9/2023,SfkEel_Miranda,1,Depth,80,,,80,,,,
7/9/2023,SfkEel_Miranda,1,Depth,45,,,45,,,,
7/9/2023,SfkEel_Miranda,1,Depth,36,,,36,,,,
7/9/2023,SfkEel_Miranda,2,Width,,,33.77,,40.181917,-123.7768687,GPS,
7/9/2023,SfkEel_Miranda,2,Depth,28,,,28,,,,
7/9/2023,SfkEel_Miranda,2,Depth,18,,,18,,,,
7/9/2023,SfkEel_Miranda,2,Depth,16,,,16,,,,
7/9/2023,SfkEel_Miranda,2,Depth,18,,,18,,,,
7/9/2023,SfkEel_Miranda,2,Depth,26,,,26,,,,
7/9/2023,SfkEel_Miranda,2,Depth,28,,,28,,,,
7/9/2023,SfkEel_Miranda,2,Depth,22,,,22,,,,
7/9/2023,SfkEel_Miranda,2,Depth,14,,,14,,,,
7/9/2023,SfkEel_Miranda,3,Width,,,13.36,,40.1826685,-123.7752171,range_finder,
7/9/2023,SfkEel_Miranda,3,Depth,50,,,50,,,,
7/9/2023,SfkEel_Miranda,3,Depth,65,,,65,,,,
7/9/2023,SfkEel_Miranda,3,Depth,55,,,55,,,,
7/9/2023,SfkEel_Miranda,3,Depth,50,,,50,,,,
7/9/2023,SfkEel_Miranda,3,Depth,60,,,60,,,,
7/9/2023,SfkEel_Miranda,3,Depth,55,,,55,,,,
7/9/2023,SfkEel_Miranda,3,Depth,26,,,26,,,,
7/9/2023,SfkEel_Miranda,3,Depth,65,,,65,,,,
7/9/2023,SfkEel_Miranda,4,Width,,,17.19,,40.1830253,-123.7741147,GPS,
7/9/2023,SfkEel_Miranda,4,Depth,65,,,65,,,,
7/9/2023,SfkEel_Miranda,4,Depth,65,,,65,,,,
7/9/2023,SfkEel_Miranda,4,Depth,75,,,75,,,,
7/9/2023,SfkEel_Miranda,4,Depth,45,,,45,,,,
7/9/2023,SfkEel_Miranda,4,Depth,45,,,45,,,,
7/9/2023,SfkEel_Miranda,4,Depth,45,,,45,,,,
7/9/2023,SfkEel_Miranda,4,Depth,50,,,50,,,,
7/9/2023,SfkEel_Miranda,4,Depth,38,,,38,,,,
7/9/2023,SfkEel_Miranda,5,Width,,,30.86,,40.1838967,-123.7732195,GPS,
7/9/2023,SfkEel_Miranda,5,Depth,,6.1,,186,,,,
7/9/2023,SfkEel_Miranda,5,Depth,,6.7,,204,,,,
7/9/2023,SfkEel_Miranda,5,Depth,,6.5,,198,,,,
7/9/2023,SfkEel_Miranda,5,Depth,,7.9,,241,,,,
7/9/2023,SfkEel_Miranda,5,Depth,,6.4,,195,,,,
7/9/2023,SfkEel_Miranda,5,Depth,,4.6,,140,,,,
7/9/2023,SfkEel_Miranda,5,Depth,,2,,61,,,,
7/9/2023,SfkEel_Miranda,5,Depth,28,,,28,,,,
7/9/2023,SfkEel_Miranda,6,Width,,,47.53,,40.1847732,-123.7731931,GPS,
7/9/2023,SfkEel_Miranda,6,Depth,,4.5,,137,,,,
7/9/2023,SfkEel_Miranda,6,Depth,,2.3,,70,,,,
7/9/2023,SfkEel_Miranda,6,Depth,30,,,30,,,,
7/9/2023,SfkEel_Miranda,6,Depth,46,,,46,,,,
7/9/2023,SfkEel_Miranda,6,Depth,38,,,38,,,,
7/9/2023,SfkEel_Miranda,6,Depth,40,,,40,,,,
7/9/2023,SfkEel_Miranda,6,Depth,50,,,50,,,,
7/9/2023,SfkEel_Miranda,6,Depth,50,,,50,,,,
7/9/2023,SfkEel_Miranda,7,Width,,,21.3,,40.186338,-123.7722382,measuring_tape,
7/9/2023,SfkEel_Miranda,7,Depth,24,,,24,,,,
7/9/2023,SfkEel_Miranda,7,Depth,34,,,34,,,,
7/9/2023,SfkEel_Miranda,7,Depth,45,,,45,,,,
7/9/2023,SfkEel_Miranda,7,Depth,53,,,53,,,,
7/9/2023,SfkEel_Miranda,7,Depth,55,,,55,,,,
7/9/2023,SfkEel_Miranda,7,Depth,65,,,65,,,,
7/9/2023,SfkEel_Miranda,7,Depth,75,,,75,,,,
7/9/2023,SfkEel_Miranda,7,Depth,18,,,18,,,,
7/9/2023,SfkEel_Miranda,8,Width,,,20.8,,40.1869253,-123.7721312,GPS,
7/9/2023,SfkEel_Miranda,8,Depth,18,,,18,,,,
7/9/2023,SfkEel_Miranda,8,Depth,28,,,28,,,,
7/9/2023,SfkEel_Miranda,8,Depth,38,,,38,,,,
7/9/2023,SfkEel_Miranda,8,Depth,45,,,45,,,,
7/9/2023,SfkEel_Miranda,8,Depth,36,,,36,,,,
7/9/2023,SfkEel_Miranda,8,Depth,35,,,35,,,,
7/9/2023,SfkEel_Miranda,8,Depth,30,,,30,,,,
7/9/2023,SfkEel_Miranda,8,Depth,22,,,22,,,,
7/9/2023,SfkEel_Miranda,9,Width,,,19.61,,40.1878522,-123.7715306,GPS,
7/9/2023,SfkEel_Miranda,9,Depth,75,,,75,,,,
7/9/2023,SfkEel_Miranda,9,Depth,125,,,125,,,,
7/9/2023,SfkEel_Miranda,9,Depth,130,,,130,,,,
7/9/2023,SfkEel_Miranda,9,Depth,120,,,120,,,,
7/9/2023,SfkEel_Miranda,9,Depth,95,,,95,,,,
7/9/2023,SfkEel_Miranda,9,Depth,85,,,85,,,,
7/9/2023,SfkEel_Miranda,9,Depth,60,,,60,,,,
7/9/2023,SfkEel_Miranda,9,Depth,36,,,36,,,,
