"field_date","site_reach","site","reach","sample_type","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","per_org_matter","ATX_all_ug_chla_ug","ATX_all_ug_afdm_g"
2022-07-14,"SFE-M-3","SFE-M","3","TM",0,0,0,0,7984.72078972217,NA,0.57,0,0
2022-06-29,"SFE-M-3","SFE-M","3","TM",0,0,0,0,7984.72078972217,93.8230409841889,0.18,0,0
2022-06-29,"SFE-M-4","SFE-M","4","TM",0,0,0,0,4894.78335918051,30.0269388954029,0.18,0,0
2022-07-12,"SAL-1S","SAL","1S","TM",0,0,0,0,4926.0900162699,96.3532590070105,0.459,0,0
2022-07-12,"SAL-2","SAL","2","TM",0,0,0,0,4582.28623740764,138.070218114172,0.49,0,0
2022-07-12,"SAL-3","SAL","3","TM",0,0,0,0,6410.15787542345,37.9092324765811,0.76,0,0
2022-07-14,"SFE-M-1S","SFE-M","1S","TM",0,0,0,0,5753.53875355326,35.1976523205971,0.76,0,0
2022-07-26,"SAL-2","SAL","2","TM",0,0,0,0,3762.42361521675,173.326779458521,0.44,0,0
2022-07-26,"SAL-3","SAL","3","TM",0,0,0,0,5239.13970595773,220.122993239407,0.67,0,0
2022-07-28,"SFE-M-3","SFE-M","3","TM",0,0,0,0,8896.93867753363,86.6011493829818,0.71,0,0
2022-08-10,"SFE-M-1S","SFE-M","1S","TM",3.754,0.611,0,4.365,9094.64306210352,70.2173943441885,0.718,0.00048,6.0793872
2022-08-10,"SFE-M-3","SFE-M","3","TM",0.384,0.251,0,0.635,9451.4240059212,20.5750638236494,0.79,6.72e-05,0.8037975
2022-08-10,"SFE-M-4","SFE-M","4","TM",69.894,32.293,0,102.187,5310.07858543501,1071.60310097627,0.43,0.019244,237.644186
2022-08-23,"SFE-M-3","SFE-M","3","TM",0.861,0,0,0.861,9084.64286754923,428.651918090983,0.718,9.48e-05,1.1991643
2022-09-06,"SFE-M-3","SFE-M","3","TM",0.198,0.132,0,0.33,8003.00740759614,241.753703028422,0.636,4.12e-05,0.5188679
2022-09-08,"SFE-M-1S","SFE-M","1S","TM",1.685,0.586,0,2.271,5159.95975929171,487.214539171527,0.71,0.0004401,3.1985915
2022-09-17,"SFE-M-1S","SFE-M","1S","TM",1.877,0.411,0,2.288,5867.9352594907,706.779257420591,0.7,0.0003899,3.2685714
2022-07-14,"SFE-M-1S","SFE-M","1S","TAC",0.781,0,0,0.781,3234.07962958796,963.076998443193,0.38,0.0002415,2.0552632
2022-07-14,"SFE-M-4","SFE-M","4","TAC",0.228,0,0,0.228,2793.42850439403,1126.91458205527,0.37,8.16e-05,0.6162162
2022-07-20,"RUS-1S","RUS","1S","TAC",0,0,0,0,2963.28018265358,411.743496902954,0.27,0,0
2022-07-20,"RUS-3","RUS","3","TAC",0,0,0,0,3299.08397733518,400.976823586325,0.38,0,0
2022-07-28,"SFE-M-3","SFE-M","3","TAC",4.279,0.44,0,4.719,8248.48141445624,1348.80755624819,0.49,0.0005721,9.6306122
2022-08-02,"RUS-1S","RUS","1S","TAC",0,0,0.113,0.113,3661.8982348506,1107.40013371711,0.38,3.09e-05,0.2973684
2022-08-02,"RUS-2","RUS","2","TAC",0,0,0,0,4418.2446809663,403.885382539805,0.31,0,0
2022-08-02,"RUS-3","RUS","3","TAC",0,0,0,0,4091.49488127995,827.645721928693,0.318,0,0
2022-08-10,"SFE-M-1S","SFE-M","1S","TAC",72.138,21.935,0,94.073,8522.11664931474,793.773801365911,0.61,0.0110387,154.2180328
2022-08-10,"SFE-M-3","SFE-M","3","TAC",1.894,0.151,0,2.045,5553.04235694961,677.695569420401,0.46,0.0003683,4.4456522
2022-08-10,"SFE-M-4","SFE-M","4","TAC",32.582,11.15,0,43.732,3005.42385066444,1040.92706012453,0.46,0.014551,95.0695652
