"field_date","site_reach","site","reach","sample_type","per_org_matter"
2022-06-29,"SFE-M-1S","SFE-M","1S","TM",0.182969067239938
2022-06-29,"SFE-M-3","SFE-M","3","TM",0.182969067239938
2022-06-29,"SFE-M-4","SFE-M","4","TM",0.182969067239938
2022-07-12,"SAL-2","SAL","2","TM",0.48800959232614
2022-07-12,"SAL-3","SAL","3","TM",0.758333333333248
2022-07-14,"SFE-M-1S","SFE-M","1S","TM",0.761904761904751
2022-07-14,"SFE-M-3","SFE-M","3","TM",0.574712643678139
2022-07-26,"SAL-1S","SAL","1S","TM",0.603628750872301
2022-07-26,"SAL-2","SAL","2","TM",0.439877233366218
2022-07-26,"SAL-3","SAL","3","TM",0.669266770670827
2022-07-28,"SFE-M-1S","SFE-M","1S","TM",0.639897479709527
2022-07-28,"SFE-M-3","SFE-M","3","TM",0.707836990595617
2022-08-10,"SFE-M-3","SFE-M","3","TM",0.794504383007418
2022-08-10,"SFE-M-4","SFE-M","4","TM",0.431059383229972
2022-08-23,"SFE-M-1S","SFE-M","1S","TM",0.739479986315429
2022-09-08,"SFE-M-1S","SFE-M","1S","TM",0.708136578278242
2022-09-17,"SFE-M-1S","SFE-M","1S","TM",0.697209758833428
2022-09-17,"SFE-M-3","SFE-M","3","TM",0.763363671324189
2022-07-14,"SFE-M-1S","SFE-M","1S","TAC",0.38330647760232
2022-07-14,"SFE-M-3","SFE-M","3","TAC",0.317369341363901
2022-07-14,"SFE-M-4","SFE-M","4","TAC",0.368673579941186
2022-07-20,"RUS-1S","RUS","1S","TAC",0.266055045871569
2022-07-20,"RUS-2","RUS","2","TAC",0.368271417740714
2022-07-20,"RUS-3","RUS","3","TAC",0.377126654064276
2022-07-28,"SFE-M-1S","SFE-M","1S","TAC",0.462789551503205
2022-07-28,"SFE-M-4","SFE-M","4","TAC",0.483142121283073
2022-08-02,"RUS-1S","RUS","1S","TAC",0.381037567084074
2022-08-02,"RUS-2","RUS","2","TAC",0.311405835543768
2022-08-10,"SFE-M-1S","SFE-M","1S","TAC",0.606037151702795
2022-08-10,"SFE-M-3","SFE-M","3","TAC",0.464025356576862
2022-08-10,"SFE-M-4","SFE-M","4","TAC",0.456055363321796
2022-08-17,"RUS-1S","RUS","1S","TAC",0.251432208784213
2022-08-17,"RUS-2","RUS","2","TAC",0.286296900489394
2022-08-17,"RUS-3","RUS","3","TAC",0.333333333333317
2022-08-23,"SFE-M-3","SFE-M","3","TAC",0.458731537793223
2022-09-01,"RUS-1S","RUS","1S","TAC",0.22607336581778
2022-09-01,"RUS-2","RUS","2","TAC",0.242196237925775
2022-09-01,"RUS-3","RUS","3","TAC",0.25221869179358
2022-09-06,"SFE-M-1S","SFE-M","1S","TAC",0.453437278525868
2022-09-15,"RUS-2","RUS","2","TAC",0.201392361244664
2022-09-15,"RUS-3","RUS","3","TAC",0.215771377036244
2022-09-17,"SFE-M-1S","SFE-M","1S","TAC",0.458845208845212
2023-06-28,"SAL-3","SAL","3","TM",0.0971373431971697
2023-07-03,"SFE-M-3","SFE-M","3","TM",0.67237096329009
2023-07-10,"SFE-M-1S","SFE-M","1S","TM",0.883950617283958
2023-07-10,"SFE-M-2","SFE-M","2","TM",0.0579396632366703
2023-07-10,"SFE-M-3","SFE-M","3","TM",0.849340866289998
2023-07-11,"SFE-SH-1S","SFE-SH","1S","TM",0.691176470588241
2023-07-13,"SAL-2","SAL","2","TM",0.199058550425587
2023-07-13,"SAL-3","SAL","3","TM",0.268419344368711
2023-07-17,"SFE-SH-1S","SFE-SH","1S","TM",0.656725078333525
2023-07-17,"SFE-M-1S","SFE-M","1S","TM",0.707364341085267
2023-07-24,"SFE-SH-1S","SFE-SH","1S","TM",0.638981915606162
2023-07-24,"SFE-M-1S","SFE-M","1S","TM",0.706859205776177
2023-07-24,"SFE-M-2","SFE-M","2","TM",0.159240924092408
2023-07-27,"SAL-1S","SAL","1S","TM",0.199212089139766
2023-07-27,"SAL-2","SAL","2","TM",0.276280834914611
2023-07-27,"SAL-3","SAL","3","TM",0.330768620607599
2023-07-31,"SFE-SH-1S","SFE-SH","1S","TM",0.682355402154586
2023-07-31,"SFE-M-2","SFE-M","2","TM",0.256773890584644
2023-07-31,"SFE-M-3","SFE-M","3","TM",0.770844122216468
2023-08-07,"SFE-M-2","SFE-M","2","TM",0.366576819407008
2023-08-07,"SFE-M-3","SFE-M","3","TM",0.6769649036085
2023-08-07,"SFE-M-4","SFE-M","4","TM",0.0926234054353889
2023-08-10,"SAL-2","SAL","2","TM",0.324743070694487
2023-08-10,"SAL-3","SAL","3","TM",0.390807582446118
2023-08-14,"SFE-SH-1S","SFE-SH","1S","TM",0.752762430939228
2023-08-14,"SFE-M-1S","SFE-M","1S","TM",0.749289267945984
2023-08-14,"SFE-M-2","SFE-M","2","TM",0.590816028078384
2023-08-22,"SFE-SH-1S","SFE-SH","1S","TM",0.774319066147861
2023-08-22,"SFE-M-1S","SFE-M","1S","TM",0.681711802072885
2023-08-22,"SFE-M-2","SFE-M","2","TM",0.559490868843389
2023-08-22,"SFE-M-4","SFE-M","4","TM",0.395678092399399
2023-08-28,"SFE-M-1S","SFE-M","1S","TM",0.734311177125881
2023-08-28,"SFE-M-2","SFE-M","2","TM",0.475605917532264
2023-08-28,"SFE-M-3","SFE-M","3","TM",0.793067635985981
2023-09-04,"SFE-SH-1S","SFE-SH","1S","TM",0.803748047891724
2023-09-04,"SFE-M-2","SFE-M","2","TM",0.4382382720216
2023-09-04,"SFE-M-3","SFE-M","3","TM",0.731784582893349
2023-09-04,"SFE-M-4","SFE-M","4","TM",0.336700336700309
2023-09-12,"SFE-SH-1S","SFE-SH","1S","TM",0.769291525155991
2023-09-12,"SFE-M-1S","SFE-M","1S","TM",0.758335930196324
2023-09-12,"SFE-M-3","SFE-M","3","TM",0.728505720014152
2023-09-12,"SFE-M-4","SFE-M","4","TM",0.45561224489796
2023-09-18,"SFE-SH-1S","SFE-SH","1S","TM",0.793308317698561
2023-09-18,"SFE-M-1S","SFE-M","1S","TM",0.7544080604534
2023-09-18,"SFE-M-2","SFE-M","2","TM",0.546994931209269
2023-09-18,"SFE-M-3","SFE-M","3","TM",0.740060646900269
2023-09-24,"SFE-SH-1S","SFE-SH","1S","TM",0.812591776798825
2023-09-24,"SFE-M-1S","SFE-M","1S","TM",0.786682152535814
2023-09-24,"SFE-M-3","SFE-M","3","TM",0.757133035407354
2023-09-24,"SFE-M-4","SFE-M","4","TM",0.605209811473748
2023-07-10,"SFE-M-1S","SFE-M","1S","TAC",0.642151481888038
2023-07-10,"SFE-M-4","SFE-M","4","TAC",0.671232876712358
2023-07-17,"SFE-M-4","SFE-M","4","TAC",0.41347342398022
2023-07-24,"SFE-SH-1S","SFE-SH","1S","TAC",0.496260683760683
2023-07-24,"SFE-M-1S","SFE-M","1S","TAC",0.400557297109019
2023-07-24,"SFE-M-2","SFE-M","2","TAC",0.326877934272304
2023-07-24,"SFE-M-3","SFE-M","3","TAC",0.315412812009078
2023-07-31,"SFE-SH-1S","SFE-SH","1S","TAC",0.691263782866847
2023-07-31,"SFE-M-2","SFE-M","2","TAC",0.339266254994547
2023-07-31,"SFE-M-3","SFE-M","3","TAC",0.41853658536585
2023-07-31,"SFE-M-4","SFE-M","4","TAC",0.424007166318303
2023-08-07,"SFE-SH-1S","SFE-SH","1S","TAC",0.536628733997158
2023-08-07,"SFE-M-2","SFE-M","2","TAC",0.130985915492957
2023-08-07,"SFE-M-3","SFE-M","3","TAC",0.450815266081348
2023-08-07,"SFE-M-4","SFE-M","4","TAC",0.439600363306083
2023-08-14,"SFE-SH-1S","SFE-SH","1S","TAC",0.573387506348402
2023-08-14,"SFE-M-1S","SFE-M","1S","TAC",0.513145965548499
2023-08-14,"SFE-M-2","SFE-M","2","TAC",0.290820029027576
2023-08-14,"SFE-M-4","SFE-M","4","TAC",0.372692441657956
2023-08-22,"SFE-SH-1S","SFE-SH","1S","TAC",0.518032786885255
2023-08-22,"SFE-M-1S","SFE-M","1S","TAC",0.376291538676348
2023-08-22,"SFE-M-2","SFE-M","2","TAC",0.199256505576202
2023-08-22,"SFE-M-4","SFE-M","4","TAC",0.502063273727646
2023-08-28,"SFE-M-1S","SFE-M","1S","TAC",1.19904076738606
2023-08-28,"SFE-M-3","SFE-M","3","TAC",0.381124290871583
2023-09-04,"SFE-M-2","SFE-M","2","TAC",0.142348211104891
2023-09-12,"SFE-M-1S","SFE-M","S","TAC",0.299671592775043
2023-09-18,"SFE-SH-1S","SFE-SH","1S","TAC",0.624744376278131
2023-09-18,"SFE-M-1S","SFE-M","1S","TAC",0.308842938847341
2023-09-18,"SFE-M-2","SFE-M","2","TAC",0.151323251417769
2023-09-24,"SFE-SH-1S","SFE-SH","1S","TAC",0.66914805624483
2023-09-24,"SFE-M-1S","SFE-M","1S","TAC",0.423431734317353
2022-07-12,"SAL-1S","SAL","1S","TM",0.459421077270623
2022-07-28,"SFE-M-3","SFE-M","3","TAC",0.490174941299456
2022-08-02,"RUS-3","RUS","3","TAC",0.318099426614827
2022-08-10,"SFE-M-1S","SFE-M","1S","TM",0.71795300981979
2022-08-23,"SFE-M-3","SFE-M","3","TM",0.717953372572896
2022-09-06,"SFE-M-3","SFE-M","3","TM",0.635838273641073
2022-09-15,"RUS-1S","RUS","1S","TAC",0.235515406504257
2022-09-22,"SAL-3","SAL","3","TAC",0.385013651625692
2023-07-13,"SAL-1S","SAL","1S","TM",0.241353518536938
2023-07-17,"SFE-M-1S","SFE-M","1S","TAC",0.542986513416315
2023-07-17,"SFE-M-3","SFE-M","3","TM",0.699240323457305
2023-07-24,"SFE-M-3","SFE-M","3","TM",0.627660217880362
2023-07-24,"SFE-M-4","SFE-M","4","TAC",0.390365471683037
2023-07-31,"SFE-M-1S","SFE-M","1S","TAC",0.412800940973568
2023-07-31,"SFE-M-1S","SFE-M","1S","TM",0.703854342973271
2023-08-07,"SFE-M-1S","SFE-M","1S","TAC",0.386499558563905
2023-08-07,"SFE-M-1S","SFE-M","1S","TM",0.690240586154565
2023-08-10,"SAL-1S","SAL","1S","TM",0.290647840966172
2023-08-14,"SFE-M-3","SFE-M","3","TAC",0.567837118964661
2023-08-14,"SFE-M-3","SFE-M","3","TM",0.750619856570636
2023-08-22,"SFE-M-3","SFE-M","3","TAC",0.43417104164013
2023-08-22,"SFE-M-3","SFE-M","3","TM",0.759789440126773
2023-08-28,"SFE-SH-1S","SFE-SH","1S","TM",0.758029660290286
2023-09-04,"SFE-M-1S","SFE-M","1S","TAC",0.446633206894415
2023-09-04,"SFE-M-1S","SFE-M","1S","TM",0.756978701300266
2023-09-12,"SFE-M-2","SFE-M","2","TM",0.613175239730309
2023-09-18,"SFE-M-3","SFE-M","3","TAC",0.262629214796466
2023-09-18,"SFE-M-4","SFE-M","4","TM",0.50012752397354
2023-09-24,"SFE-M-2","SFE-M","2","TAC",0.24345137704475
2023-09-24,"SFE-M-2","SFE-M","2","TM",0.576353679212144
