"sample_type","site_reach","field_date","MCY_ug_g","triplicate","MCY_det_limit"
"TM","SAL-2","2022-07-12","1.37","n",0.1
"TM","SFE-M-1S","2022-07-14","0.73","n",0.09
"TM","SAL-1S","2022-07-26","1.11","y",0.08
"TM","SAL-1S","2022-07-26","1.08","y",0.09
"TAC","SFE-M-3","2023-07-24","0.16","n",0.08
"TAC","SFE-M-1S","2023-07-31","0.66","y",0.13
"TAC","SFE-M-1S","2023-07-31","0.64","y",0.13
"TAC","SFE-M-3","2023-07-31","0.35","n",0.09
"TAC","SFE-M-2","2023-09-18","0.2","y",0.1
"TAC","SFE-M-2","2023-09-18","0.21","y",0.1
