site_reach,field_duplicate,field_date,Cl_mg_L,SO4_mg_L,Br_mg_L,Na_mg_L,K_mg_L,Mg_mg_L,Ca_mg_L,Br_below_detection
RUS-1S,n,6/24/2022,7.5,14.45,0.11,11.17,1.23,16.45,11.21,n
SAL-1S,n,6/27/2022,0.52,1.65,0.02,1.02,0.32,1.88,10.58,n
SAL-3,n,6/27/2022,0.9,3.44,0.06,2.24,0.65,3.05,16.22,n
SFE-M-1S,n,6/29/2022,5.39,9.76,0.07,8.56,0.88,9.76,9.75,n
SFE-M-3,n,6/29/2022,5.67,10.87,<0.01,9.12,0.91,9.73,17.5,y
SFE-M-4,n,6/29/2022,5.78,10.8,0.1,9.23,0.93,9.88,16.51,n
RUS-1S,n,7/6/2022,5.6,10.2,0.09,8.17,0.97,12.4,11.67,n
RUS-2,n,7/6/2022,7.15,12.98,0.12,10.63,1.17,15.57,12.62,n
RUS-3,n,7/7/2022,7.15,12.93,0.13,10.61,1.13,14.97,18.1,n
SAL-1S,n,7/12/2022,1.06,3.86,<0.01,2.39,0.68,3.43,16.76,y
SAL-2,n,7/12/2022,1.09,3.73,0.05,2.48,0.73,3.49,14.36,n
SAL-3,n,7/12/2022,1.11,3.64,0.05,2.46,0.74,3.58,13.34,n
SFE-M-1S,n,7/14/2022,6.04,10.78,0.1,9.37,0.93,9.77,18.02,n
SFE-M-3,n,7/14/2022,6.29,10.61,0.09,9.43,0.96,9.83,14.86,n
SFE-M-4,n,7/14/2022,6.16,10.64,0.1,9.38,0.95,9.77,15.73,n
RUS-1S,n,7/20/2022,6.92,12.31,0.11,10.43,1.16,15.15,12.63,n
RUS-2,n,7/20/2022,6.84,12.14,0.11,10.37,1.17,15.08,13.04,n
RUS-3,n,7/20/2022,6.84,12.19,0.13,10.37,1.18,14.77,14.1,n
SAL-1S,n,7/26/2022,1.42,4.09,0.05,2.85,0.8,3.89,16.94,n
SAL-2,n,7/26/2022,1.41,3.72,0.03,2.82,0.81,4.24,12.33,n
SAL-3,n,7/26/2022,1.37,3.69,<0.01,2.78,0.81,3.84,15.87,y
SFE-M-1S,n,7/28/2022,6.57,11.04,0.11,9.56,0.97,8.87,19.96,n
SFE-M-3,n,7/28/2022,6.61,10.53,<0.01,9.6,1,9.02,18.11,y
SFE-M-4,n,7/28/2022,6.64,10.84,0.09,9.65,0.98,9.17,14.51,n
RUS-1S,n,8/2/2022,6.48,11.66,0.1,9.96,1.16,14.76,12,n
RUS-2,n,8/2/2022,6.33,11.35,0.1,9.75,1.15,14.62,9.17,n
RUS-3,n,8/2/2022,6.25,11.25,0.1,9.67,1.15,14.35,10.05,n
SFE-M-1S,n,8/10/2022,7.12,10.78,0.3,9.96,1.1,10.26,10.57,n
SFE-M-3,n,8/10/2022,7,10.46,0.08,9.94,1.02,10.08,12.11,n
SFE-M-4,n,8/10/2022,7.09,10.95,0.09,10.14,1.06,10.25,14.93,n
RUS-1S,n,8/17/2022,6.55,11.43,0.13,10.01,1.14,14.42,14.87,n
RUS-2,n,8/17/2022,6.54,11.62,0.14,10.08,1.13,14.24,18.13,n
RUS-3,n,8/17/2022,6.46,11.24,0.12,9.83,1.11,13.99,13.07,n
SFE-M-1S,n,8/23/2022,7.57,11.48,0.09,10.42,1.11,10.6,22.68,n
SFE-M-3,n,8/23/2022,7.58,11.34,0.1,10.45,1.12,10.78,16.43,n
SFE-M-4,y,8/23/2022,7.59,11.09,0.09,10.34,1.11,10.76,12.1,n
SFE-M-4,y,8/23/2022,5.81,8.36,0.06,7.74,0.82,8.93,9.66,n
RUS-1S,n,9/1/2022,6.41,11.25,0.08,9.92,1.13,14.39,15.91,n
RUS-2,y,9/1/2022,4.41,7.54,0.06,6.74,0.81,10.74,9.71,n
RUS-2,y,9/1/2022,6.36,11.23,0.12,9.83,1.14,14.08,15.18,n
RUS-3,n,9/1/2022,6.38,11.15,0.11,9.81,1.15,14.5,11.28,n
SFE-M-1S,n,9/6/2022,7.92,11.66,0.1,10.52,1.11,11.1,15.91,n
SFE-M-3,n,9/6/2022,3.46,5.16,0.05,4.46,0.47,5.85,13.53,n
SFE-M-4,n,9/6/2022,7.77,11.25,0.1,10.22,1.14,10.99,14.82,n
RUS-1S,n,9/15/2022,6.25,10.82,0.12,9.8,1.14,14.1,15.5,n
RUS-2,n,9/15/2022,5.91,10.45,0.12,9.29,1.08,13.5,15.05,n
RUS-3,n,9/15/2022,6.18,10.55,0.12,9.73,1.13,13.79,14.87,n
SFE-M-1S,n,9/17/2022,8.26,11.55,0.09,10.64,1.09,12.03,11.13,n
SFE-M-3,n,9/17/2022,8.49,11.77,0.11,10.71,1.17,11.19,17.53,n
SFE-M-4,n,9/17/2022,8.23,11.84,0.11,10.6,1.05,11.24,17.49,n
SAL-1S,n,9/22/2022,1.55,3.02,0.05,2.24,0.6,3.15,14,n
SAL-2,n,9/22/2022,2.27,4.47,0.05,3.32,0.91,4.43,13.51,n
SAL-3,y,9/22/2022,1.47,2.86,0.03,2.15,0.57,3.08,12.37,n
SAL-3,y,9/22/2022,2.08,4.05,0.06,3.08,0.81,3.99,15.13,n
