ESF_ID,site_reach,triplicate,field_date,sample_type,lyophilize_date,ext_weight_mg,ext_volume_mL,ext_method
24-001,SFE-M-3,n,7/14/2022,TM,11/30/2022,176,10,0.1% formic acid
24-002,SFE-M-1S,y,6/29/2022,TM,2/10/2023,212.1,10,50% methanol
24-003,SFE-M-1S,y,6/29/2022,TM,2/10/2023,191.5,10,50% methanol
24-004,SFE-M-1S,y,6/29/2022,TM,2/10/2023,196.5,10,50% methanol
24-005,SFE-M-3,n,6/29/2022,TM,12/8/2023,232.3,10,50% methanol
24-006,SFE-M-4,n,6/29/2022,TM,2/10/2023,179.5,10,50% methanol
24-007,SAL-1S,n,7/12/2022,TM,2/10/2023,181.5,10,50% methanol
24-008,SAL-2,n,7/12/2022,TM,2/10/2023,176.9,5,50% methanol
24-009,SAL-3,n,7/12/2022,TM,2/10/2023,132.8,10,50% methanol
24-010,SFE-M-1S,n,7/14/2022,TM,2/10/2023,194.9,10,50% methanol
24-011,SAL-1S,y,7/26/2022,TM,2/10/2023,103.3,5,50% methanol
24-012,SAL-1S,y,7/26/2022,TM,2/10/2023,113.6,5,50% methanol
24-013,SAL-1S,y,7/26/2022,TM,2/10/2023,98.3,5,50% methanol
24-014,SAL-2,n,7/26/2022,TM,2/10/2023,223.5,10,50% methanol
24-015,SAL-3,n,7/26/2022,TM,2/10/2023,190.8,10,50% methanol
24-016,SFE-M-1S,y,7/28/2022,TM,2/10/2023,173.3,10,50% methanol
24-017,SFE-M-1S,y,7/28/2022,TM,2/10/2023,159.4,10,50% methanol
24-018,SFE-M-1S,y,7/28/2022,TM,2/10/2023,163.3,10,50% methanol
24-019,SFE-M-3,n,7/28/2022,TM,2/10/2023,203.8,10,50% methanol
24-020,SFE-M-1S,n,8/10/2022,TM,2/10/2023,168,10,50% methanol
24-021,SFE-M-3,n,8/10/2022,TM,2/10/2023,216.3,10,50% methanol
24-022,SFE-M-4,n,8/10/2022,TM,2/10/2023,234.9,10,50% methanol
24-023,SFE-M-1S,y,8/23/2022,TM,2/10/2023,207.1,10,50% methanol
24-024,SFE-M-1S,y,8/23/2022,TM,2/10/2023,182,10,50% methanol
24-025,SFE-M-1S,y,8/23/2022,TM,2/10/2023,223,10,50% methanol
24-026,SFE-M-3,n,8/23/2022,TM,2/10/2023,198.1,10,50% methanol
24-027,SFE-M-3,n,9/6/2022,TM,2/10/2023,211.9,10,50% methanol
24-028,SFE-M-1S,n,9/8/2022,TM,2/10/2023,230.2,10,50% methanol
24-029,BLANK 1,n,NA,BLANK,NA,0,10,50% methanol
24-030,SFE-M-1S,n,9/17/2022,TM,2/10/2023,199.9,10,50% methanol
24-031,SFE-M-3,y,9/17/2022,TM,2/10/2023,231.9,10,50% methanol
24-032,SFE-M-3,y,9/17/2022,TM,2/10/2023,227.6,10,50% methanol
24-033,SFE-M-3,y,9/17/2022,TM,2/10/2023,215.6,10,50% methanol
24-034,SFE-M-1S,n,7/14/2022,TAC,2/10/2023,182.7,10,50% methanol
24-035,SFE-M-3,y,7/14/2022,TAC,2/10/2023,126.2,5,50% methanol
24-036,SFE-M-3,y,7/14/2022,TAC,2/10/2023,140,5,50% methanol
24-037,SFE-M-3,y,7/14/2022,TAC,2/10/2023,148.7,5,50% methanol
24-038,SFE-M-4,n,7/14/2022,TAC,2/10/2023,127.3,5,50% methanol
24-039,RUS-1S,n,7/20/2022,TAC,2/10/2023,219,10,50% methanol
24-040,RUS-2,y,7/20/2022,TAC,2/10/2023,193.6,10,50% methanol
24-041,RUS-2,y,7/20/2022,TAC,2/10/2023,197.8,10,50% methanol
24-042,RUS-2,y,7/20/2022,TAC,2/10/2023,228.9,10,50% methanol
24-043,RUS-3,n,7/20/2022,TAC,2/10/2023,184.2,10,50% methanol
24-044,SFE-M-1S,y,7/28/2022,TAC,2/10/2023,190.3,10,50% methanol
24-045,SFE-M-1S,y,7/28/2022,TAC,2/10/2023,156.9,10,50% methanol
24-046,SFE-M-1S,y,7/28/2022,TAC,2/10/2023,102.7,5,50% methanol
24-047,SFE-M-3,n,7/28/2022,TAC,2/10/2023,195.5,10,50% methanol
24-048,SFE-M-4,y,7/28/2022,TAC,2/10/2023,106,5,50% methanol
24-049,SFE-M-4,y,7/28/2022,TAC,2/10/2023,103.7,5,50% methanol
24-050,SFE-M-4,y,7/28/2022,TAC,2/10/2023,106.2,5,50% methanol
24-051,RUS-1S,n,8/2/2022,TAC,2/10/2023,111.7,5,50% methanol
24-052,RUS-2,n,8/2/2022,TAC,2/10/2023,163.7,10,50% methanol
24-053,RUS-3,n,8/2/2022,TAC,2/10/2023,126.9,5,50% methanol
24-054,SFE-M-1S,n,8/10/2022,TAC,2/10/2023,53.7,5,50% methanol
24-055,SFE-M-3,n,8/10/2022,TAC,2/10/2023,198.6,10,50% methanol
24-056,SFE-M-4,n,8/10/2022,TAC,2/10/2023,104.2,5,50% methanol
24-057,RUS-1S,n,8/17/2022,TAC,2/10/2023,71.2,5,50% methanol
24-058,BLANK 2,n,NA,BLANK,NA,0,10,50% methanol
24-059,RUS-2,n,8/17/2022,TAC,2/10/2023,167.5,10,50% methanol
24-060,RUS-3,n,8/17/2022,TAC,2/10/2023,152.9,10,50% methanol
24-061,SFE-M-3,n,8/23/2022,TAC,2/17/2023,162.1,10,50% methanol
24-062,RUS-1S,n,9/1/2022,TAC,2/10/2023,174.1,10,50% methanol
24-063,RUS-2,n,9/1/2022,TAC,2/10/2023,205.8,10,50% methanol
24-064,RUS-3,y,9/1/2022,TAC,2/10/2023,175.1,10,50% methanol
24-065,RUS-3,y,9/1/2022,TAC,2/10/2023,171.9,10,50% methanol
24-066,RUS-3,y,9/1/2022,TAC,2/10/2023,177.8,10,50% methanol
24-067,SFE-M-1S,n,9/6/2022,TAC,2/10/2023,50.4,5,50% methanol
24-068,RUS-1S,n,9/15/2022,TAC,2/10/2023,155.9,10,50% methanol
24-069,RUS-2,n,9/15/2022,TAC,2/10/2023,246.9,10,50% methanol
24-070,RUS-3,y,9/15/2022,TAC,2/10/2023,245.6,10,50% methanol
24-071,RUS-3,y,9/15/2022,TAC,2/10/2023,219.5,10,50% methanol
24-072,RUS-3,y,9/15/2022,TAC,2/10/2023,224.6,10,50% methanol
24-073,SFE-M-1S,n,9/17/2022,TAC,4/14/2023,99.9,5,50% methanol
24-074,SAL-3,n,9/22/2022,TAC,2/10/2023,101.9,5,50% methanol
24-075,RUS-1S,n,6/24/2022,NT,3/8/2023,37.7,2,50% methanol
24-076,SFE-M-1S,n,6/29/2022,NT,12/23/2023,3,2,50% methanol
24-077,SFE-M-3,n,6/29/2022,NT,3/8/2023,4.6,2,50% methanol
24-078,SFE-M-4,n,6/29/2022,NT,3/8/2023,3.3,2,50% methanol
24-079,RUS-1S,n,7/6/2022,NT,4/14/2023,34.9,2,50% methanol
24-080,RUS-2,n,7/6/2022,NT,3/8/2023,38.6,2,50% methanol
24-081,RUS-3,n,7/7/2022,NT,3/8/2023,72.3,5,50% methanol
24-082,SFE-M-1S,n,7/14/2022,NT,3/8/2023,45.3,2,50% methanol
24-083,SFE-M-3,n,7/14/2022,NT,3/31/2023,27.6,2,50% methanol
24-084,SFE-M-4,n,7/14/2022,NT,3/8/2023,31.2,2,50% methanol
24-085,RUS-1S,n,7/20/2022,NT,3/8/2023,25,2,50% methanol
