field_date,site_reach,sample_type,triplicate,tin_g,wet_sample_tin_g,dry_sample_tin_g,combusted_sample_tin_g
6/29/2022,SFE-M-1S,TM,n,1.27857,5.17,1.69722,1.62062
6/29/2022,SFE-M-3,TM,n,,,,
6/29/2022,SFE-M-4,TM,n,,,,
7/12/2022,SAL-1S,TM,y,1.2906,3.8721,1.35094,1.32256
7/12/2022,SAL-1S,TM,y,1.288,3.8442,1.33764,1.31366
7/12/2022,SAL-1S,TM,y,1.2942,3.1918,1.3276,1.31341
7/12/2022,SAL-2,TM,n,1.2868,4.0612,1.30348,1.29534
7/12/2022,SAL-3,TM,n,1.2665,2.4413,1.2677,1.26679
7/14/2022,SFE-M-1S,TM,n,1.29069,1.6475,1.29258,1.29114
7/14/2022,SFE-M-3,TM,n,1.28717,1.6529,1.29152,1.28902
7/26/2022,SAL-1S,TM,n,1.28282,2.93524,1.29715,1.2885
7/26/2022,SAL-2,TM,n,1.2784,4.78239,1.36963,1.3295
7/26/2022,SAL-3,TM,n,1.29476,4.29366,1.30758,1.299
7/28/2022,SFE-M-1S,TM,n,1.2815,1.5224,1.30491,1.28993
7/28/2022,SFE-M-3,TM,n,1.2838,1.5994,1.29975,1.28846
8/10/2022,SFE-M-1S,TM,y,1.29686,4.65059,1.4118,1.32653
8/10/2022,SFE-M-1S,TM,y,1.30211,5.64834,1.42155,1.33381
8/10/2022,SFE-M-1S,TM,y,1.29459,4.39617,1.40516,1.33026
8/10/2022,SFE-M-3,TM,n,1.29299,5.32634,1.41163,1.31737
8/10/2022,SFE-M-4,TM,n,1.29206,4.8452,1.40977,1.35903
8/23/2022,SFE-M-1S,TM,n,1.30174,6.21615,1.47712,1.34743
8/23/2022,SFE-M-3,TM,y,1.29073,5.76182,1.48081,1.35044
8/23/2022,SFE-M-3,TM,y,1.27912,5.81345,1.43162,1.31651
8/23/2022,SFE-M-3,TM,y,1.28687,5.77014,1.43173,1.32842
9/8/2022,SFE-M-1S,TM,n,1.29127,5.4354,1.45645,1.33948
9/6/2022,SFE-M-3,TM,y,1.29805,4.99562,1.47932,1.35674
9/6/2022,SFE-M-3,TM,y,1.29548,8.11762,1.67351,1.43412
9/6/2022,SFE-M-3,TM,y,1.28636,6.58467,1.60504,1.41446
9/17/2022,SFE-M-1S,TM,n,1.28357,5.90179,1.42621,1.32676
9/17/2022,SFE-M-3,TM,n,1.29109,7.51723,1.52512,1.34647
7/14/2022,SFE-M-1S,TAC,n,1.2714,5.939,1.42655,1.36708
7/14/2022,SFE-M-3,TAC,n,1.29669,4.5335,1.39963,1.36696
7/14/2022,SFE-M-4,TAC,n,1.29275,3.13486,1.35736,1.33354
7/20/2022,RUS-1S,TAC,n,1.2724,1.37873,1.28112,1.2788
7/20/2022,RUS-2,TAC,n,1.28017,2.52979,1.33293,1.3135
7/20/2022,RUS-3,TAC,n,1.28192,1.9062,1.30308,1.2951
7/28/2022,SFE-M-1S,TAC,n,1.2894,3.3179,1.37056,1.333
7/28/2022,SFE-M-3,TAC,y,1.2846,6.6987,1.45346,1.37145
7/28/2022,SFE-M-3,TAC,y,1.292,7.3147,1.42277,1.35524
7/28/2022,SFE-M-3,TAC,y,1.2743,5.0675,1.43549,1.35998
7/28/2022,SFE-M-4,TAC,n,1.2918,3.7992,1.37722,1.33595
8/2/2022,RUS-1S,TAC,n,1.285,2.203,1.29059,1.28846
8/2/2022,RUS-2,TAC,n,1.287,2.2863,1.3247,1.31296
8/2/2022,RUS-3,TAC,y,1.2894,1.6004,1.2969,1.29441
8/2/2022,RUS-3,TAC,y,1.2871,1.757,1.30357,1.29842
8/2/2022,RUS-3,TAC,y,1.3008,1.5427,1.30642,1.30468
8/10/2022,SFE-M-1S,TAC,n,1.26991,1.73737,1.28283,1.275
8/10/2022,SFE-M-3,TAC,n,1.29746,3.09874,1.32901,1.31437
8/10/2022,SFE-M-4,TAC,n,1.27073,1.97265,1.29963,1.28645
8/17/2022,RUS-1S,TAC,n,1.29413,5.54026,1.34126,1.32941
8/17/2022,RUS-2,TAC,n,1.2725,2.2625,1.30928,1.29875
8/17/2022,RUS-3,TAC,n,1.29476,1.6153,1.2992,1.29772
8/23/2022,SFE-M-3,TAC,n,1.28821,3.1868,1.31123,1.30067
9/1/2022,RUS-1S,TAC,n,1.28191,11.77736,1.39068,1.36609
9/1/2022,RUS-2,TAC,n,1.28152,5.1382,1.37987,1.35605
9/1/2022,RUS-3,TAC,n,1.29079,3.21392,1.38206,1.35904
9/6/2022,SFE-M-1S,TAC,n,1.28648,19.47162,1.35703,1.32504
9/15/2022,RUS-1S,TAC,y,1.28863,11.5027,1.60359,1.52698
9/15/2022,RUS-1S,TAC,y,1.28133,13.59781,1.67388,1.58432
9/15/2022,RUS-1S,TAC,y,1.2907,13.67909,1.68894,1.59529
9/15/2022,RUS-2,TAC,n,1.29107,9.4175,1.55106,1.4987
9/15/2022,RUS-3,TAC,n,1.29632,9.1676,1.65114,1.57458
9/17/2022,SFE-M-1S,TAC,n,1.2848,4.58484,1.30108,1.29361
9/22/2022,SAL-3,TAC,y,1.28539,11.45474,1.3541,1.32453
9/22/2022,SAL-3,TAC,y,1.28875,12.62995,1.37082,1.34172
9/22/2022,SAL-3,TAC,y,1.28178,10.47467,1.33644,1.31621
