site_reach,site,reach,field_duplicate,instrument_duplicate,field_date,oPhos_ug_P_L,nitrate_mg_N_L,raw_ammonia_ammonium_mg_N_L
RUS-1S,RUS,1S,n,n,6/24/2022,5.026,0.016,0.0027
SAL-1S,SAL,1S,n,y,6/27/2022,7.768,0.013,0.0134
SAL-1S,SAL,1S,n,y,6/27/2022,,0.016,
SAL-3,SAL,3,n,y,6/27/2022,7.795,0.029,0.0084
SAL-3,SAL,3,n,y,6/27/2022,,0.033,
SFE-M-1S,SFE-M,1S,n,y,6/29/2022,5.775,0.011,0.0097
SFE-M-1S,SFE-M,1S,n,y,6/29/2022,5.828,,
SFE-M-3,SFE-M,3,n,n,6/29/2022,5.812,0.011,0.011
SFE-M-4,SFE-M,4,n,n,6/29/2022,7.008,0.013,0.0091
RUS-1S,RUS,1S,n,n,7/6/2022,11.092,0.008,0.0067
RUS-2,RUS,2,n,y,7/6/2022,6.807,0.01,0.0062
RUS-2,RUS,2,n,y,7/6/2022,,0.009,
RUS-3,RUS,3,n,n,7/7/2022,9.202,0.012,0.0068
SAL-1S,SAL,1S,n,y,7/12/2022,6.25,0.026,0.0141
SAL-1S,SAL,1S,n,y,7/12/2022,6.633,,0.0147
SAL-2,SAL,2,n,n,7/12/2022,5.8,0.024,0.0113
SAL-3,SAL,3,n,y,7/12/2022,7.044,0.019,0.0146
SAL-3,SAL,3,n,y,7/12/2022,6.891,,
SFE-M-1S,SFE-M,1S,n,n,7/14/2022,5.353,0.017,0.0063
SFE-M-3,SFE-M,3,n,n,7/14/2022,4.093,0.011,0.0072
SFE-M-4,SFE-M,4,n,n,7/14/2022,6.021,0.017,0.0082
RUS-1S,RUS,1S,n,y,7/20/2022,7.841,0.015,0.0066
RUS-1S,RUS,1S,n,y,7/20/2022,,0.019,
RUS-2,RUS,2,n,y,7/20/2022,9.59,0.009,0.0045
RUS-2,RUS,2,n,y,7/20/2022,,0.009,
RUS-3,RUS,3,n,n,7/20/2022,9.796,0.009,0.0028
SAL-1S,SAL,1S,n,n,7/26/2022,7.264,0.011,0.0076
SAL-2,SAL,2,n,y,7/26/2022,5.944,0.011,0.0084
SAL-2,SAL,2,n,y,7/26/2022,5.758,,0.0094
SAL-3,SAL,3,n,n,7/26/2022,5.63,0.008,0.0084
SFE-M-1S,SFE-M,1S,n,y,7/28/2022,4.178,0.006,0.0042
SFE-M-1S,SFE-M,1S,n,y,7/28/2022,3.624,,
SFE-M-3,SFE-M,3,n,n,7/28/2022,5.73,0.006,0.0049
SFE-M-4,SFE-M,4,n,n,7/28/2022,3.503,0.005,0.0068
RUS-1S,RUS,1S,n,n,8/2/2022,6.961,0.009,0.0051
RUS-2,RUS,2,n,n,8/2/2022,9.735,0.01,0.0136
RUS-3,RUS,3,n,n,8/2/2022,7.386,0.007,0.0082
SFE-M-1S,SFE-M,1S,n,y,8/10/2022,3.865,0.033,0.056
SFE-M-1S,SFE-M,1S,n,y,8/10/2022,3.61,0.032,0.056
SFE-M-3,SFE-M,3,n,n,8/10/2022,3.68,0.028,0.0778
SFE-M-4,SFE-M,4,n,y,8/10/2022,3.952,0.027,0.0128
SFE-M-4,SFE-M,4,n,y,8/10/2022,4.04,,0.0153
RUS-1S,RUS,1S,n,n,8/17/2022,6.912,0.016,0.0361
RUS-2,RUS,2,n,n,8/17/2022,9.835,0.015,0.0169
RUS-3,RUS,3,n,n,8/17/2022,6.809,0.02,0.0082
SFE-M-1S,SFE-M,1S,n,y,8/23/2022,4.229,0.015,0.01
SFE-M-1S,SFE-M,1S,n,y,8/23/2022,,0.015,
SFE-M-3,SFE-M,3,n,n,8/23/2022,3.8,0.018,0.0095
SFE-M-4,SFE-M,4,y,n,8/23/2022,4.27,0.02,0.0141
SFE-M-4,SFE-M,4,y,n,8/23/2022,4.213,0.026,0.0095
RUS-1S,RUS,1S,n,y,9/1/2022,8.549,0.009,0.009
RUS-1S,RUS,1S,n,y,9/1/2022,8.811,,0.0086
RUS-2,RUS,2,y,n,9/1/2022,8.812,0.01,0.0092
RUS-2,RUS,2,y,n,9/1/2022,8.381,0.01,0.0071
RUS-3,RUS,3,n,n,9/1/2022,8.284,0.011,0.0057
SFE-M-1S,SFE-M,1S,n,n,9/6/2022,6.473,0.024,0.0093
SFE-M-3,SFE-M,3,n,y,9/6/2022,5.919,0.014,0.0068
SFE-M-3,SFE-M,3,n,y,9/6/2022,6.904,0.014,0.0085
SFE-M-4,SFE-M,4,n,n,9/6/2022,5.307,0.028,0.0154
RUS-1S,RUS,1S,n,n,9/15/2022,10.95,0.011,0.0081
RUS-2,RUS,2,n,n,9/15/2022,11.203,0.012,0.0094
RUS-3,RUS,3,n,y,9/15/2022,9.421,0.019,0.0087
RUS-3,RUS,3,n,y,9/15/2022,,,0.0081
SFE-M-1S,SFE-M,1S,n,n,9/17/2022,5.342,0.023,0.0072
SFE-M-3,SFE-M,3,n,n,9/17/2022,5.058,0.015,0.0084
SFE-M-4,SFE-M,4,n,y,9/17/2022,4.968,0.017,0.0118
SFE-M-4,SFE-M,4,n,y,9/17/2022,,0.017,
SAL-1S,SAL,1S,n,n,9/22/2022,8.037,0.009,0.0089
SAL-2,SAL,2,n,y,9/22/2022,4.912,0.014,0.0127
SAL-2,SAL,2,n,y,9/22/2022,5.069,,
SAL-3,SAL,3,y,n,9/22/2022,6.103,0.011,0.0149
SAL-3,SAL,3,y,n,9/22/2022,5.265,0.016,0.0106
