site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution
SFE-M-1S,6/29/2022,TM,y,2.1,1,0.125
SFE-M-1S,6/29/2022,TM,y,1.9,2,0.125
SAL-1S,7/12/2022,TM,n,2.2,3,0.125
SAL-3,7/12/2022,TM,n,1.9,4,0.125
SAL-1S,7/26/2022,TM,y,2,5,0.125
SAL-1S,7/26/2022,TM,y,2.2,6,0.125
SAL-1S,7/26/2022,TM,y,2.1,7,0.125
SAL-2,7/26/2022,TM,n,2.3,8,0.125
SAL-3,7/26/2022,TM,n,2.1,9,0.125
SFE-M-3,8/10/2022,TM,n,2,10,0.125
SFE-M-4,8/10/2022,TM,n,2,11,0.125
SFE-M-1S,8/23/2022,TM,y,2.1,12,0.125
SFE-M-1S,8/23/2022,TM,y,1.9,13,0.125
SFE-M-1S,8/23/2022,TM,y,2,14,0.125
SFE-M-3,8/23/2022,TM,n,2,15,0.125
SFE-M-3,9/6/2022,TM,n,2,16,0.125
SFE-M-1S,9/8/2022,TM,n,2,17,0.125
SFE-M-1S,9/17/2022,TM,n,2,18,0.125
SFE-M-3,9/17/2022,TM,y,2.1,19,0.125
SFE-M-3,9/17/2022,TM,y,2,20,0.125
