site_reach,field_date,type,triplicate,mass_mg,Rack_ID,dilution,Notes
SFE-M-2,9/4/2023,TAC,n,2,1,0.5,
SFE-M-1S,7/31/2023,TM,y,2.1,2,0.0625,
SFE-M-2,7/31/2023,TM,n,1.9,3,0.05,100 microliters in cuvette
SFE-M-1S,8/7/2023,TM,y,2,4,0.05,
SFE-M-1S,8/7/2023,TM,y,2.1,5,0.05,using redo
SFE-M-2,8/7/2023,TM,n,1.8,6,0.125,
SFE-M-3,8/7/2023,TM,n,2,7,0.0625,
SFE-M-4,8/7/2023,TM,n,1.8,8,0.0625,
SAL-1S,8/10/2023,TM,y,2.1,9,0.25,
SAL-1S,8/10/2023,TM,y,2,10,0.5,using redo
SAL-1S,8/10/2023,TM,y,2.1,11,0.25,
SAL-2,8/10/2023,TM,n,2.1,12,0.25,
SAL-3,8/10/2023,TM,n,2.2,13,0.25,
SFE-SH-1S,8/14/2023,TM,n,2,14,0.0625,
SFE-M-1S,8/14/2023,TM,n,2.2,15,0.0625,
SFE-M-2,8/14/2023,TM,n,2,16,0.125,
SFE-M-3,8/14/2023,TM,y,1.9,17,0.0625,
SFE-M-3,8/14/2023,TM,y,2.1,18,0.0625,
SFE-M-3,8/14/2023,TM,y,2.3,19,0.0625,
SFE-SH-1S,8/22/2023,TM,n,2,20,0.0625,
SFE-M-1S,8/22/2023,TM,n,1.9,21,0.0625,
SFE-M-2,8/22/2023,TM,n,2,22,0.125,
SFE-M-3,8/22/2023,TM,y,2.3,23,0.0625,
SFE-M-3,8/22/2023,TM,y,2,24,0.0625,
SFE-M-3,8/22/2023,TM,y,1.9,25,0.0625,
SFE-M-4,8/22/2023,TM,n,2.2,26,0.0625,
SFE-SH-1S,8/28/2023,TM,y,1.9,27,0.0625,
SFE-SH-1S,8/28/2023,TM,y,2.2,28,0.0625,
SFE-SH-1S,8/28/2023,TM,y,1.9,29,0.0625,
SFE-M-1S,8/28/2023,TM,n,2.4,30,0.0625,
SFE-M-2,8/28/2023,TM,n,2.3,31,0.0625,
SFE-M-3,8/28/2023,TM,n,2.3,32,0.0625,
SFE-SH-1S,9/4/2023,TM,n,2,33,0.0625,
SFE-M-1S,9/4/2023,TM,y,2.1,34,0.0625,
SFE-M-1S,9/4/2023,TM,y,2.2,35,0.0625,
SFE-M-1S,9/4/2023,TM,y,2.3,36,0.0625,
SFE-M-2,9/4/2023,TM,n,2,37,0.0625,
SFE-M-3,9/4/2023,TM,n,2.1,38,0.0625,
SFE-M-4,9/4/2023,TM,n,2.3,39,0.125,using redo
SFE-SH-1S,9/12/2023,TM,n,2,40,0.0625,
