Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,161995.6,RFU,S,0,0,
SAMPLE-002,2357.53,RFU,BU,0,0,
SAMPLE-003,2400.11,RFU,BA,0,0,
SAMPLE-087,138079.6,RFU,U,1,10,using 1/10 redo
SAMPLE-088,81734.5,RFU,A,1,10,
SAMPLE-007,121818.6,RFU,U,2,10,
SAMPLE-008,72713.33,RFU,A,2,10,
SAMPLE-009,162031,RFU,U,3,10,
SAMPLE-010,95450.44,RFU,A,3,10,
SAMPLE-011,259108,RFU,U,4,10,
SAMPLE-012,150830.7,RFU,A,4,10,
SAMPLE-013,135767.6,RFU,U,5,10,
SAMPLE-014,81661.31,RFU,A,5,10,
SAMPLE-015,204708.2,RFU,U,6,10,
SAMPLE-016,120721.8,RFU,A,6,10,
SAMPLE-017,150663.4,RFU,U,7,10,
SAMPLE-018,89272.12,RFU,A,7,10,
SAMPLE-019,158636.4,RFU,U,8,10,
SAMPLE-020,95053.33,RFU,A,8,10,
SAMPLE-021,137491.3,RFU,U,9,10,
SAMPLE-022,80046.41,RFU,A,9,10,
SAMPLE-023,220174.8,RFU,U,10,10,
SAMPLE-024,128078.7,RFU,A,10,10,
SAMPLE-025,154833,RFU,U,11,10,
SAMPLE-026,92488.17,RFU,A,11,10,
SAMPLE-027,131944.7,RFU,U,12,10,
SAMPLE-028,77705.31,RFU,A,12,10,
SAMPLE-029,124407.6,RFU,U,13,10,
SAMPLE-030,73643.23,RFU,A,13,10,
SAMPLE-031,170845.2,RFU,U,14,10,
SAMPLE-032,101735.1,RFU,A,14,10,
SAMPLE-033,155850,RFU,U,15,10,
SAMPLE-034,93152.5,RFU,A,15,10,
SAMPLE-035,174071.9,RFU,U,16,10,
SAMPLE-036,103246.1,RFU,A,16,10,
SAMPLE-037,156611.2,RFU,U,17,10,
SAMPLE-038,93446.17,RFU,A,17,10,
SAMPLE-039,155340.3,RFU,U,18,10,
SAMPLE-040,92497.33,RFU,A,18,10,
SAMPLE-089,137465.8,RFU,U,19,10,using 1/25 redo
SAMPLE-090,81462.32,RFU,A,19,10,
SAMPLE-043,143688.6,RFU,U,20,10,
SAMPLE-044,85257.73,RFU,A,20,10,
SAMPLE-045,166889.1,RFU,U,21,10,
SAMPLE-046,98680.73,RFU,A,21,10,
SAMPLE-047,155959,RFU,U,22,10,
SAMPLE-048,93601.8,RFU,A,22,10,
SAMPLE-049,193682.6,RFU,U,23,10,
SAMPLE-050,113995.3,RFU,A,23,10,
SAMPLE-091,142206.3,RFU,U,24,10,using 1/25 redo
SAMPLE-092,84920.4,RFU,A,24,10,
SAMPLE-053,145119.1,RFU,U,25,10,
SAMPLE-054,85349.98,RFU,A,25,10,
SAMPLE-055,131267.5,RFU,U,26,10,
SAMPLE-056,77686.66,RFU,A,26,10,
SAMPLE-057,160108.9,RFU,U,27,10,
SAMPLE-058,95154.62,RFU,A,27,10,
SAMPLE-059,135455.1,RFU,U,28,10,
SAMPLE-060,80471.53,RFU,A,28,10,
SAMPLE-061,234456.3,RFU,U,29,10,
SAMPLE-062,136527.5,RFU,A,29,10,
SAMPLE-063,197373,RFU,U,30,10,
SAMPLE-064,115893,RFU,A,30,10,
SAMPLE-065,228377.6,RFU,U,31,10,
SAMPLE-066,132754.8,RFU,A,31,10,
SAMPLE-067,277668.7,RFU,U,32,10,
SAMPLE-068,160654.7,RFU,A,32,10,
SAMPLE-069,190594.7,RFU,U,33,10,
SAMPLE-070,112476.2,RFU,A,33,10,
SAMPLE-071,221972.5,RFU,U,34,10,
SAMPLE-072,130607.5,RFU,A,34,10,
SAMPLE-073,242071.1,RFU,U,35,10,
SAMPLE-074,138772.9,RFU,A,35,10,
SAMPLE-075,182266.5,RFU,U,36,10,
SAMPLE-076,107182,RFU,A,36,10,
SAMPLE-077,185843.6,RFU,U,37,10,
SAMPLE-078,108790.9,RFU,A,37,10,
SAMPLE-079,211525,RFU,U,38,10,
SAMPLE-080,123848.3,RFU,A,38,10,
SAMPLE-081,225183.7,RFU,U,39,10,
SAMPLE-082,131239.3,RFU,A,39,10,
SAMPLE-083,400168.3,RFU,U,40,10,redo because it was very high
SAMPLE-084,394018,RFU,A,40,10,
