field_date,time,site_reach,pressure_mmHg,pH,temp_C,DO_mg_L,cond_uS_cm
6/24/2022,18:00,RUS-1S,749.2,,24.82,9.052,
6/27/2022,10:30,SAL-1S,749.5,,19.81,9.442,
6/27/2022,14:30,SAL-3,746.8,,20.49,9.492,
6/29/2022,9:45,SFE-M-1S,757.8,,20.33,8.374,
6/29/2022,13:45,SFE-M-3,756.8,,23.6,9.793,
6/29/2022,16:30,SFE-M-4,756.2,,25.43,10.132,
7/6/2022,11:15,RUS-1S,753.8,,21.4,9.181,266.1
7/6/2022,15:00,RUS-2,751.7,,22.84,9.346,267.2
7/7/2022,16:00,RUS-3,,,23.76,11.759,267.1
7/12/2022,7:30,SAL-1S,744.4,,20.52,8.904,108.5
7/12/2022,11:45,SAL-2,742.9,,21.64,9.171,110.6
7/12/2022,14:45,SAL-3,741.3,,22.59,9.087,113.3
7/14/2022,9:45,SFE-M-1S,757.4,,21.71,9.507,223.3
7/14/2022,13:30,SFE-M-3,756.5,,23.63,10.255,229.6
7/14/2022,16:00,SFE-M-4,755.7,,25.72,11.059,236.2
7/20/2022,10:00,RUS-1S,755.6,,22.22,9.587,265.7
7/20/2022,13:30,RUS-2,754.4,,23.75,9.567,267.8
7/20/2022,15:30,RUS-3,752.8,,24.68,11.067,266.2
7/26/2022,7:00,SAL-1S,747,,21.41,8.59,121.2
7/26/2022,9:45,SAL-2,746.2,,21.52,9.069,120.6
7/26/2022,11:30,SAL-3,744.4,,22.13,9.215,121.5
7/28/2022,10:00,SFE-M-1S,754.3,8.9,24.49,9.364,216.4
7/28/2022,14:15,SFE-M-3,752.3,8.88,25.83,10.77,216.9
7/28/2022,17:00,SFE-M-4,751.5,9.14,28.48,9.673,218.7
8/2/2022,9:45,RUS-1S,754.2,8.07,21.8,8.493,251.5
8/2/2022,14:00,RUS-2,752.9,8.25,23.41,9.734,255.9
8/2/2022,15:45,RUS-3,751.5,8.4,24.27,13.04,255.9
8/10/2022,9:30,SFE-M-1S,759.1,8.55,21.81,8.855,230.6
8/10/2022,14:15,SFE-M-3,757.3,8.63,24.71,10.236,240.3
8/10/2022,17:30,SFE-M-4,756.7,8.92,27.1,11.405,239.4
8/17/2022,9:45,RUS-1S,750.4,8.22,22.7,8.052,261.1
8/17/2022,14:00,RUS-2,750.3,8.27,23.53,9.426,262.6
8/17/2022,16:15,RUS-3,749.2,8.53,24.33,10.854,236.8
8/23/2022,11:15,SFE-M-1S,754.9,8.75,24.2,8.693,243.8
8/23/2022,14:00,SFE-M-3,752.9,8.62,24.71,9.626,248.4
8/23/2022,16:15,SFE-M-4,751.7,8.85,27.38,11.773,236.8
9/1/2022,10:00,RUS-1S,751.9,8.03,20.53,8.643,235.3
9/1/2022,15:00,RUS-2,748.5,8.27,22.69,9.426,241.7
9/1/2022,17:15,RUS-3,746.8,8.56,22.8,10.743,239.6
9/6/2022,9:45,SFE-M-1S,753.2,8.17,22.466,7.399,
9/6/2022,14:30,SFE-M-3,750.2,8.47,24.115,9.223,
9/6/2022,16:30,SFE-M-4,749,8.74,27.42,11.245,
9/15/2022,9:45,RUS-1S,754.7,7.98,18.757,8.853,
9/15/2022,13:45,RUS-2,752.7,8.19,19.924,10.005,
9/15/2022,16:15,RUS-3,751.3,8.36,20.066,11.202,
9/17/2022,9:30,SFE-M-1S,,7.97,19.96,7.813,251.2
9/17/2022,14:00,SFE-M-3,750.2,8.37,19.66,9.033,246.7
9/17/2022,16:00,SFE-M-4,749.5,8.53,20.64,10.759,248.6
9/22/2022,8:00,SAL-1S,753.6,7.72,16.59,,124
9/22/2022,14:45,SAL-2,749.8,8.35,18.25,,125.5
9/22/2022,11:30,SAL-3,752.3,8.11,17.33,,123.3
