Date,Site,Section,#,Intermediate_axis _mm,Riffle_or_pool,Transect
9/7/2023,SfkEel_Miranda,EEL-4S,1,100,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,2,30,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,3,35,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,4,35,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,5,70,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,6,23,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,7,4,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,8,34,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,9,10,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,10,15,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,11,70,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,12,80,pool,1
9/7/2023,SfkEel_Miranda,EEL-4S,13,3,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,14,92,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,15,85,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,16,12,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,17,20,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,18,95,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,19,60,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,20,sand,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,21,55,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,22,22,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,23,sand,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,24,48,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,25,sand,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,26,3,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,27,45,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,28,18,pool,2
9/7/2023,SfkEel_Miranda,EEL-4S,29,34,pool,3
9/7/2023,SfkEel_Miranda,EEL-4S,30,65,pool,3
9/7/2023,SfkEel_Miranda,EEL-4S,31,12,pool,3
9/7/2023,SfkEel_Miranda,EEL-4S,32,19,pool,3
9/7/2023,SfkEel_Miranda,EEL-4S,33,37,pool,3
9/7/2023,SfkEel_Miranda,EEL-4S,34,sand,pool,3
9/7/2023,SfkEel_Miranda,EEL-4S,35,sand,pool,4
9/7/2023,SfkEel_Miranda,EEL-4S,36,76,pool,4
9/7/2023,SfkEel_Miranda,EEL-4S,37,32,pool,4
9/7/2023,SfkEel_Miranda,EEL-4S,38,70,pool,4
9/7/2023,SfkEel_Miranda,EEL-4S,39,39,pool,4
