Date,Site,Transect,Meas_Type,Depth_cm_initial,Depth_ft_initial,Width_m,Depth_cm_final,Approx_lat,Approx_long,Width_method
8/17/2023,Russian,1,Width,,,27.1,,38.8226456,-123.0098005,range_finder
8/17/2023,Russian,1,Depth,,5.1,,155,,,
8/17/2023,Russian,1,Depth,,5.9,,180,,,
8/17/2023,Russian,1,Depth,,5.3,,162,,,
8/17/2023,Russian,1,Depth,,3.5,,107,,,
8/17/2023,Russian,1,Depth,,5.4,,165,,,
8/17/2023,Russian,1,Depth,,5.3,,162,,,
8/17/2023,Russian,1,Depth,,4.9,,149,,,
8/17/2023,Russian,1,Depth,,2.5,,76,,,
8/17/2023,Russian,2,Width,,,23.1,,,,
8/17/2023,Russian,2,Depth,,2.8,,85,38.8219979,-123.0104628,range_finder
8/17/2023,Russian,2,Depth,,2.5,,76,,,
8/17/2023,Russian,2,Depth,,2.7,,82,,,
8/17/2023,Russian,2,Depth,,2.4,,73,,,
8/17/2023,Russian,2,Depth,,2.8,,85,,,
8/17/2023,Russian,2,Depth,,4,,122,,,
8/17/2023,Russian,2,Depth,,4,,122,,,
8/17/2023,Russian,2,Depth,,4.5,,137,,,
8/17/2023,Russian,3,Width,,,33.5,,38.8210702,-123.0108943,range_finder
8/17/2023,Russian,3,Depth,,2,,61,,,
8/17/2023,Russian,3,Depth,,2.1,,64,,,
8/17/2023,Russian,3,Depth,,2.6,,79,,,
8/17/2023,Russian,3,Depth,,4.1,,125,,,
8/17/2023,Russian,3,Depth,,4.6,,140,,,
8/17/2023,Russian,3,Depth,,5.6,,171,,,
8/17/2023,Russian,3,Depth,,5.7,,174,,,
8/17/2023,Russian,3,Depth,,5.9,,180,,,
8/17/2023,Russian,4,Width,,,24.4,,38.8203121,-123.011396,range_finder
8/17/2023,Russian,4,Depth,,2.1,,64,,,
8/17/2023,Russian,4,Depth,,1.7,,52,,,
8/17/2023,Russian,4,Depth,,1.9,,58,,,
8/17/2023,Russian,4,Depth,,1.8,,55,,,
8/17/2023,Russian,4,Depth,,2.2,,67,,,
8/17/2023,Russian,4,Depth,,3.4,,104,,,
8/17/2023,Russian,4,Depth,,3.7,,113,,,
8/17/2023,Russian,4,Depth,,4.2,,128,,,
8/17/2023,Russian,5,Width,,,21.4,,38.819816,-123.01153,range_finder
8/17/2023,Russian,5,Depth,,3.2,,98,,,
8/17/2023,Russian,5,Depth,,3.3,,101,,,
8/17/2023,Russian,5,Depth,,3.5,,107,,,
8/17/2023,Russian,5,Depth,,4,,122,,,
8/17/2023,Russian,5,Depth,,3.9,,119,,,
8/17/2023,Russian,5,Depth,,4,,122,,,
8/17/2023,Russian,5,Depth,,4.4,,134,,,
8/17/2023,Russian,5,Depth,,4.5,,137,,,
8/17/2023,Russian,6,Width,,,17,,38.8194846,-123.0116211,range_finder
8/17/2023,Russian,6,Depth,,4.2,,128,,,
8/17/2023,Russian,6,Depth,,4.7,,143,,,
8/17/2023,Russian,6,Depth,,4.7,,143,,,
8/17/2023,Russian,6,Depth,,4.6,,140,,,
8/17/2023,Russian,6,Depth,,4.7,,143,,,
8/17/2023,Russian,6,Depth,,5.1,,155,,,
8/17/2023,Russian,6,Depth,,4.8,,146,,,
8/17/2023,Russian,6,Depth,,5.2,,158,,,
8/17/2023,Russian,7,Width,,,19.8,,38.8192496,-123.0115675,range_finder
8/17/2023,Russian,7,Depth,,5.6,,171,,,
8/17/2023,Russian,7,Depth,,5.8,,177,,,
8/17/2023,Russian,7,Depth,,5.5,,168,,,
8/17/2023,Russian,7,Depth,,6.2,,189,,,
8/17/2023,Russian,7,Depth,,6.5,,198,,,
8/17/2023,Russian,7,Depth,,6.9,,210,,,
8/17/2023,Russian,7,Depth,,5.7,,174,,,
8/17/2023,Russian,7,Depth,,6.2,,189,,,
8/17/2023,Russian,8,Width,,,18,,38.818169,-123.0114152,range_finder
8/17/2023,Russian,8,Depth,,5.6,,171,,,
8/17/2023,Russian,8,Depth,,5.3,,162,,,
8/17/2023,Russian,8,Depth,,4.5,,137,,,
8/17/2023,Russian,8,Depth,,3.8,,116,,,
8/17/2023,Russian,8,Depth,,3.3,,101,,,
8/17/2023,Russian,8,Depth,,2.9,,88,,,
8/17/2023,Russian,8,Depth,,2.7,,82,,,
8/17/2023,Russian,8,Depth,,2.7,,82,,,
