site_reach,field_duplicate,field_date,TDC_mg_L,DOC_mg_L
RUS-1S,n,6/24/2022,17.82,2.994
SAL-1S,n,6/27/2022,6.516,2.913
SAL-3,n,6/27/2022,8.974,2.688
SFE-M-1S,n,6/29/2022,17.54,3.287
SFE-M-3,n,6/29/2022,14.29,1.194
SFE-M-4,n,6/29/2022,19.32,2.451
RUS-1S,n,7/6/2022,24.45,3.858
RUS-2,n,7/6/2022,21.89,2.279
RUS-3,n,7/7/2022,23.3,2.893
SAL-1S,n,7/12/2022,11.88,3.565
SAL-2,n,7/12/2022,7.347,0.7916
SAL-3,n,7/12/2022,10.72,2.31
SFE-M-1S,n,7/14/2022,16.17,0.7605
SFE-M-3,n,7/14/2022,11.9,0.5737
SFE-M-4,n,7/14/2022,18.16,0.7703
RUS-1S,n,7/20/2022,19.15,2.066
RUS-2,n,7/20/2022,21.59,2.118
RUS-3,n,7/20/2022,19.84,2.171
SAL-1S,n,7/26/2022,10.64,1.096
SAL-2,n,7/26/2022,9.362,1.025
SAL-3,n,7/26/2022,12.95,0.5312
SFE-M-1S,n,7/28/2022,16.2,0.751
SFE-M-3,n,7/28/2022,18.55,0.9554
SFE-M-4,n,7/28/2022,18.47,1.037
RUS-1S,n,8/2/2022,24.76,2.299
RUS-2,n,8/2/2022,23.05,2.26
RUS-3,n,8/2/2022,20.09,2.391
SFE-M-1S,n,8/10/2022,16.18,4.512
SFE-M-3,n,8/10/2022,14.49,2.551
SFE-M-4,n,8/10/2022,15.7,0.6784
RUS-1S,n,8/17/2022,23.23,2.429
RUS-2,n,8/17/2022,21.52,2.416
RUS-3,n,8/17/2022,21.42,2.102
SFE-M-1S,n,8/23/2022,23.04,0.8755
SFE-M-3,n,8/23/2022,19.07,0.6235
SFE-M-4,y,8/23/2022,16.79,0.6784
SFE-M-4,y,8/23/2022,13.08,0.6751
RUS-1S,n,9/1/2022,18.58,1.889
RUS-2,y,9/1/2022,16.08,1.631
RUS-2,y,9/1/2022,17.66,2.018
RUS-3,n,9/1/2022,19.44,2.101
SFE-M-1S,n,9/6/2022,16.7,0.6444
SFE-M-3,n,9/6/2022,18.77,0.54
SFE-M-4,n,9/6/2022,17.99,0.7294
RUS-1S,n,9/15/2022,20.66,1.924
RUS-2,n,9/15/2022,21.76,2.06
RUS-3,n,9/15/2022,19.33,2.061
SFE-M-1S,n,9/17/2022,19.63,0.4319
SFE-M-3,n,9/17/2022,15.68,0.4455
SFE-M-4,n,9/17/2022,18.44,0.5118
SAL-1S,n,9/22/2022,9.426,0.3502
SAL-2,n,9/22/2022,8.67,0.5491
SAL-3,y,9/22/2022,7.576,0.3704
SAL-3,y,9/22/2022,11.98,0.6081
