site,date,time,discharge_m3_s,discharge_ft3_s
RUS,6/24/2022,19:00,1.387475,48.99826338
SFE-M,6/29/2022,11:30,2.92878,103.4289871
RUS,7/6/2022,12:30,1.564975,55.26662263
SFE-M,7/14/2022,11:00,2.303825,81.35888873
RUS,7/20/2022,11:00,1.2558,35.3147
SFE-M,7/28/2022,12:00,1.17671775,41.55543433
RUS,8/2/2022,11:30,1.6389225,57.87805641
SFE-M,8/10/2022,12:00,1.0620172,37.50481881
RUS,8/17/2022,11:00,1.3185775,46.56516884
SFE-M,8/23/2022,11:30,0.5379044,18.99593251
RUS,9/1/2022,13:00,1.52138535,53.72726722
SFE-M,9/6/2022,12:00,0.52364505,18.49236785
RUS,9/15/2022,12:00,1.79067825,63.2372652
SFE-M,9/17/2022,11:30,0.5701796,20.13572152
SFE-SH,7/9/2023,14:00,1.6654143,58.81360638
SFE-SH,7/26/2023,11:30,1.237867325,43.71491322
SFE-SH,8/3/2023,12:30,0.6024045,21.2737342
SFE-SH,8/9/2023,11:00,0.5567515,19.6615122
SFE-SH,8/24/2023,9:15,0.4779415,16.87836069
SFE-SH,8/24/2023,10:30,0.647168125,22.85454818
