field_date,velocity_m_s
6/24/2022,0
6/24/2022,0.03
6/24/2022,0.04
6/24/2022,0.24
6/24/2022,0.34
6/24/2022,0.32
6/24/2022,0.24
6/24/2022,0.11
6/24/2022,0.01
6/24/2022,0.02
6/24/2022,0
6/24/2022,0
7/6/2022,0
7/6/2022,0.1
7/6/2022,0.14
7/6/2022,0.2
7/6/2022,0.24
7/6/2022,0.24
7/6/2022,0.2
7/6/2022,0.24
7/6/2022,0.25
7/6/2022,0.21
7/6/2022,0.23
7/6/2022,0.18
7/6/2022,0.14
7/6/2022,0
7/20/2022,0
7/20/2022,0.05
7/20/2022,0.19
7/20/2022,0.2
7/20/2022,0.21
7/20/2022,0.2
7/20/2022,0.23
7/20/2022,0.21
7/20/2022,0.21
7/20/2022,0.17
7/20/2022,0.14
7/20/2022,0.12
7/20/2022,0
7/20/2022,0
8/2/2022,0
8/2/2022,0.027
8/2/2022,0.1403
8/2/2022,0.183
8/2/2022,0.2294
8/2/2022,0.2509
8/2/2022,0.2548
8/2/2022,0.2547
8/2/2022,0.2573
8/2/2022,0.2546
8/2/2022,0.215
8/2/2022,0.2304
8/2/2022,0.0404
8/2/2022,0
8/17/2022,0
8/17/2022,0.0917
8/17/2022,0.1058
8/17/2022,0.1384
8/17/2022,0.1722
8/17/2022,0.1907
8/17/2022,0.1828
8/17/2022,0.1942
8/17/2022,0.2102
8/17/2022,0.1939
8/17/2022,0.1847
8/17/2022,0.1503
8/17/2022,0.0137
8/17/2022,0
9/1/2022,0
9/1/2022,0.1254
9/1/2022,0.1444
9/1/2022,0.2068
9/1/2022,0.2252
9/1/2022,0.2508
9/1/2022,0.246
9/1/2022,0.2593
9/1/2022,0.2207
9/1/2022,0.2211
9/1/2022,0.2177
9/1/2022,0.0199
9/1/2022,0
9/15/2022,0
9/15/2022,0.1123
9/15/2022,0.163
9/15/2022,0.2056
9/15/2022,0.241
9/15/2022,0.2775
9/15/2022,0.2993
9/15/2022,0.3045
9/15/2022,0.2503
9/15/2022,0.2409
9/15/2022,0.1949
9/15/2022,0.1404
9/15/2022,0
