"field_date","time","site_reach","site","reach","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","raw_ammonia_mg_N_L","assumed_pH","ammonium_mg_N_L","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L"
2022-06-24,"18:00","RUS-1S","RUS","1S",NA,24.82,9.052,NA,5.026,0.016,0.0027,8.07,0.00253,17.82,2.994,7.5,14.45,"0.11",11.17,1.23,16.45,11.21
2022-06-27,"10:30","SAL-1S","SAL","1S",NA,19.81,9.442,NA,7.768,0.015,0.0134,7.72,0.01313,6.516,2.913,0.52,1.65,"0.02",1.02,0.32,1.88,10.58
2022-06-27,"14:30","SAL-3","SAL","3",NA,20.49,9.492,NA,7.795,0.031,0.0084,8.11,0.00797,8.974,2.688,0.9,3.44,"0.06",2.24,0.65,3.05,16.22
2022-06-29,"9:45","SFE-M-1S","SFE-M","1S",NA,20.33,8.374,NA,5.802,0.011,0.0097,8.9,0.00731,17.54,3.287,5.39,9.76,"0.07",8.56,0.88,9.76,9.75
2022-06-29,"13:45","SFE-M-3","SFE-M","3",NA,23.6,9.793,NA,5.812,0.011,0.011,8.88,0.00788,14.29,1.194,5.67,10.87,"0.005",9.12,0.91,9.73,17.5
2022-06-29,"16:30","SFE-M-4","SFE-M","4",NA,25.43,10.132,NA,7.008,0.013,0.0091,9.14,0.005,19.32,2.451,5.78,10.8,"0.1",9.23,0.93,9.88,16.51
2022-07-06,"11:15","RUS-1S","RUS","1S",NA,21.4,9.181,266.1,11.092,0.008,0.0067,8.07,0.00637,24.45,3.858,5.6,10.2,"0.09",8.17,0.97,12.4,11.67
2022-07-06,"15:00","RUS-2","RUS","2",NA,22.84,9.346,267.2,6.807,0.01,0.0062,8.25,0.0057,21.89,2.279,7.15,12.98,"0.12",10.63,1.17,15.57,12.62
2022-07-07,"16:00","RUS-3","RUS","3",NA,23.76,11.759,267.1,9.202,0.012,0.0068,8.4,0.006,23.3,2.893,7.15,12.93,"0.13",10.61,1.13,14.97,18.1
2022-07-12,"7:30","SAL-1S","SAL","1S",NA,20.52,8.904,108.5,6.442,0.026,0.0144,7.72,0.01409,11.88,3.565,1.06,3.86,"0.005",2.39,0.68,3.43,16.76
2022-07-12,"11:45","SAL-2","SAL","2",NA,21.64,9.171,110.6,5.8,0.024,0.0113,8.35,0.01026,7.347,0.7916,1.09,3.73,"0.05",2.48,0.73,3.49,14.36
2022-07-12,"14:45","SAL-3","SAL","3",NA,22.59,9.087,113.3,6.968,0.019,0.0146,8.11,0.01374,10.72,2.31,1.11,3.64,"0.05",2.46,0.74,3.58,13.34
2022-07-14,"9:45","SFE-M-1S","SFE-M","1S",NA,21.71,9.507,223.3,5.353,0.017,0.0063,8.9,0.00463,16.17,0.7605,6.04,10.78,"0.1",9.37,0.93,9.77,18.02
2022-07-14,"13:30","SFE-M-3","SFE-M","3",NA,23.63,10.255,229.6,4.093,0.011,0.0072,8.88,0.00516,11.9,0.5737,6.29,10.61,"0.09",9.43,0.96,9.83,14.86
2022-07-14,"16:00","SFE-M-4","SFE-M","4",NA,25.72,11.059,236.2,6.021,0.017,0.0082,9.14,0.00447,18.16,0.7703,6.16,10.64,"0.1",9.38,0.95,9.77,15.73
2022-07-20,"10:00","RUS-1S","RUS","1S",NA,22.22,9.587,265.7,7.841,0.017,0.0066,8.07,0.00625,19.15,2.066,6.92,12.31,"0.11",10.43,1.16,15.15,12.63
2022-07-20,"13:30","RUS-2","RUS","2",NA,23.75,9.567,267.8,9.59,0.009,0.0045,8.25,0.00411,21.59,2.118,6.84,12.14,"0.11",10.37,1.17,15.08,13.04
