date_time,time,site,pressure_mmHg
6/24/2022,18:00,RUS-4S,749.2
6/27/2022,10:30,SAL-4S,749.5
6/27/2022,14:30,SAL-2UP,746.8
6/29/2022,9:45,EEL-4S,757.8
6/29/2022,13:45,EEL-3UP,756.8
6/29/2022,16:30,EEL-2UP,756.2
7/6/2022,11:15,RUS-4S,753.8
7/6/2022,15:00,RUS-3UP,751.7
7/7/2022,16:00,RUS-2UP,
7/12/2022,7:30,SAL-4S,744.4
7/12/2022,11:45,SAL-3UP,742.9
7/12/2022,14:45,SAL-2UP,741.3
7/14/2022,9:45,EEL-4S,757.4
7/14/2022,13:30,EEL-3UP,756.5
7/14/2022,16:00,EEL-2UP,755.7
7/20/2022,10:00,RUS-4S,755.6
7/20/2022,13:30,RUS-3UP,754.4
7/20/2022,15:30,RUS-2UP,752.8
7/26/2022,7:00,SAL-4S,747
7/26/2022,9:45,SAL-3UP,746.2
7/26/2022,11:30,SAL-2UP,744.4
7/28/2022,10:00,EEL-4S,754.3
7/28/2022,14:15,EEL-3UP,752.3
7/28/2022,17:00,EEL-2UP,751.5
8/2/2022,9:45,RUS-4S,754.2
8/2/2022,14:00,RUS-3UP,752.9
8/2/2022,15:45,RUS-2UP,751.5
8/10/2022,9:30,EEL-4S,759.1
8/10/2022,14:15,EEL-3UP,757.3
8/10/2022,17:30,EEL-2UP,756.7
8/17/2022,9:45,RUS-4S,750.4
8/17/2022,14:00,RUS-3UP,750.3
8/17/2022,16:15,RUS-2UP,749.2
8/23/2022,11:15,EEL-4S,754.9
8/23/2022,14:00,EEL-3UP,752.9
8/23/2022,16:15,EEL-2UP,751.7
9/1/2022,10:00,RUS-4S,751.9
9/1/2022,15:00,RUS-3UP,748.5
9/1/2022,17:15,RUS-2UP,746.8
9/6/2022,9:45,EEL-4S,753.2
9/6/2022,14:30,EEL-3UP,750.2
9/6/2022,16:30,EEL-2UP,749
9/15/2022,9:45,RUS-4S,754.7
9/15/2022,13:45,RUS-3UP,752.7
9/15/2022,16:15,RUS-2UP,751.3
9/17/2022,9:30,EEL-4S,
9/17/2022,14:00,EEL-3UP,750.2
9/17/2022,16:00,EEL-2UP,749.5
9/22/2022,8:00,SAL-4S,753.6
9/22/2022,14:45,SAL-3UP,749.8
9/22/2022,11:30,SAL-2UP,752.3
