date,time,site,pressure_mmHg
6/20/2023,9:40,EEL-4S,760.9
6/20/2023,12:05,EEL-BUG,760.2
6/20/2023,13:50,EEL-3UP,795.7
6/20/2023,15:40,EEL-2UP,759
6/25/2023,8:10,EEL-STH,745.1
6/25/2023,10:55,EEL-4S,757.9
6/25/2023,13:25,EEL-BUG,756.5
6/25/2023,16:35,EEL-3UP,756.4
6/25/2023,15:10,EEL-2UP,756.2
6/28/2023,8:25,SAL-4S,748.3
6/28/2023,11:35,SAL-3UP,746
6/28/2023,13:50,SAL-2UP,744
7/3/2023,8:10,EEL-STH,741.1
7/3/2023,12:05,EEL-4S,752.1
7/3/2023,13:55,EEL-BUG,751
7/3/2023,15:20,EEL-3UP,750.4
7/3/2023,17:10,EEL-2UP,750.5
7/10/2023,9:30,EEL-4S,757.3
7/10/2023,11:40,EEL-BUG,756.5
7/10/2023,13:40,EEL-3UP,755.9
7/10/2023,15:15,EEL-2UP,755.4
7/11/2023,9:15,EEL-STH,743.6
7/13/2023,7:15,SAL-4S,751.2
7/13/2023,10:45,SAL-3UP,749.5
7/13/2023,13:20,SAL-2UP,746.8
7/17/2023,8:10,EEL-STH,742.4
7/17/2023,11:25,EEL-4S,755.1
7/17/2023,13:50,EEL-BUG,754.5
7/17/2023,15:30,EEL-3UP,754.5
7/17/2023,17:05,EEL-2UP,754
7/24/2023,8:15,EEL-STH,745
7/24/2023,11:05,EEL-4S,758
7/24/2023,13:05,EEL-BUG,757.8
7/24/2023,14:45,EEL-3UP,757.7
7/24/2023,16:45,EEL-2UP,757.4
7/27/2023,7:35,SAL-4S,749.5
7/27/2023,10:30,SAL-3UP,748.1
7/27/2023,13:00,SAL-2UP,746
7/31/2023,7:50,EEL-STH,743.9
7/31/2023,10:40,EEL-4S,756.9
7/31/2023,12:30,EEL-BUG,756.2
7/31/2023,13:55,EEL-3UP,755.6
7/31/2023,15:20,EEL-2UP,755
8/7/2023,7:55,EEL-STH,744.4
8/7/2023,10:35,EEL-4S,757
8/7/2023,12:25,EEL-BUG,756.1
8/7/2023,13:55,EEL-3UP,755.8
8/7/2023,15:25,EEL-2UP,755.1
8/10/2023,7:50,SAL-4S,747.9
8/10/2023,10:20,SAL-3UP,746.5
8/10/2023,12:40,SAL-2UP,744.4
8/14/2023,8:15,EEL-STH,741.6
8/14/2023,10:55,EEL-4S,753.2
8/14/2023,12:40,EEL-BUG,752.1
8/14/2023,14:15,EEL-3UP,751.9
8/14/2023,16:00,EEL-2UP,752.1
8/22/2023,8:10,EEL-STH,744.1
8/22/2023,10:55,EEL-4S,756.8
8/22/2023,12:25,EEL-BUG,756.1
8/22/2023,13:45,EEL-3UP,755.5
8/22/2023,15:10,EEL-2UP,755
8/28/2023,8:45,EEL-STH,745.6
8/28/2023,11:00,EEL-4S,758.5
8/28/2023,12:30,EEL-BUG,757.8
8/28/2023,13:50,EEL-3UP,757.1
8/28/2023,15:00,EEL-2UP,756.9
9/4/2023,8:40,EEL-STH,744.2
9/4/2023,10:40,EEL-4S,757.3
9/4/2023,12:15,EEL-BUG,756.2
9/4/2023,13:50,EEL-3UP,NA
9/4/2023,15:00,EEL-2UP,754.4
9/12/2023,8:30,EEL-STH,743.3
9/12/2023,10:45,EEL-4S,756.6
9/12/2023,13:45,EEL-BUG,755.3
9/12/2023,12:20,EEL-3UP,755.8
9/12/2023,14:45,EEL-2UP,754.8
9/18/2023,8:55,EEL-STH,744.1
9/18/2023,11:25,EEL-4S,756.8
9/18/2023,13:05,EEL-BUG,755.9
9/18/2023,14:35,EEL-3UP,754.7
9/18/2023,15:50,EEL-2UP,754.1
9/24/2023,9:10,EEL-STH,743.5
9/24/2023,11:05,EEL-4S,756.2
9/24/2023,13:45,EEL-BUG,755.3
9/24/2023,12:30,EEL-3UP,755.7
9/24/2023,15:15,EEL-2UP,754.8
