7450-663402
OS REV: 1.04 Sensor Cal: 1570117751
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1658856420,+3.16,+24.379, +7.051,+0.979
1658856720,+3.16,+24.404, +7.072,+0.979
1658857020,+3.16,+24.413, +7.125,+0.979
1658857320,+3.16,+24.446, +7.175,+0.980
1658857620,+3.16,+24.480, +7.197,+0.979
1658857920,+3.16,+24.497, +7.255,+0.979
1658858220,+3.16,+24.530, +7.300,+0.979
1658858520,+3.16,+24.556, +7.326,+0.980
1658858820,+3.16,+24.589, +7.378,+0.979
1658859120,+3.16,+24.623, +7.431,+0.979
1658859420,+3.16,+24.673, +7.468,+0.979
1658859720,+3.16,+24.682, +7.540,+0.980
1658860020,+3.16,+24.707, +7.563,+0.979
1658860320,+3.16,+24.766, +7.610,+0.980
1658860620,+3.16,+24.799, +7.693,+0.979
1658860920,+3.16,+24.841, +7.761,+0.980
1658861220,+3.16,+24.875, +7.780,+0.979
1658861520,+3.16,+24.883, +7.822,+0.980
1658861820,+3.16,+24.917, +7.844,+0.980
1658862120,+3.16,+24.959, +7.878,+0.980
1658862420,+3.16,+24.984, +7.919,+0.980
1658862720,+3.16,+25.009, +7.961,+0.980
1658863020,+3.16,+25.060, +8.008,+0.980
1658863320,+3.16,+25.060, +8.066,+0.981
1658863620,+3.16,+25.085, +8.087,+0.980
1658863920,+3.16,+25.119, +8.115,+0.980
1658864220,+3.16,+25.144, +8.152,+0.980
1658864520,+3.16,+25.195, +8.199,+0.980
1658864820,+3.16,+25.237, +8.256,+0.980
1658865120,+3.15,+25.253, +8.323,+0.981
1658865420,+3.16,+25.279, +8.369,+0.981
1658865720,+3.16,+25.279, +8.409,+0.981
1658866020,+3.16,+25.329, +8.436,+0.981
1658866320,+3.16,+25.371, +8.452,+0.981
1658866620,+3.16,+25.371, +8.482,+0.981
1658866920,+3.16,+25.405, +8.507,+0.981
1658867220,+3.16,+25.413, +8.545,+0.980
1658867520,+3.16,+25.481, +8.576,+0.980
1658867820,+3.16,+25.548, +8.648,+0.981
1658868120,+3.16,+25.633, +8.736,+0.981
1658868420,+3.16,+25.675, +8.812,+0.981
1658868720,+3.16,+25.708, +8.878,+0.981
1658869020,+3.16,+25.717, +8.952,+0.981
1658869320,+3.16,+25.776, +9.003,+0.981
1658869620,+3.16,+25.818, +9.064,+0.981
1658869920,+3.16,+25.886, +9.113,+0.981
1658870220,+3.16,+25.860, +9.162,+0.981
1658870520,+3.16,+25.860, +9.218,+0.982
1658870820,+3.16,+25.902, +9.223,+0.982
1658871120,+3.16,+25.936, +9.246,+0.982
1658871420,+3.16,+25.945, +9.263,+0.982
1658871720,+3.16,+25.936, +9.250,+0.981
1658872020,+3.16,+25.953, +9.261,+0.981
1658872320,+3.16,+25.962, +9.263,+0.981
1658872620,+3.16,+25.970, +9.276,+0.981
1658872920,+3.16,+25.995, +9.294,+0.981
1658873220,+3.16,+26.004, +9.322,+0.982
1658873520,+3.16,+26.029, +9.343,+0.982
1658873820,+3.16,+26.038, +9.376,+0.982
1658874120,+3.16,+26.071, +9.387,+0.981
1658874420,+3.16,+26.097, +9.393,+0.981
1658874720,+3.16,+26.122, +9.387,+0.981
1658875020,+3.16,+26.156, +9.396,+0.981
1658875320,+3.16,+26.164, +9.428,+0.982
1658875620,+3.15,+26.223, +9.438,+0.982
1658875920,+3.15,+26.266, +9.431,+0.981
1658876220,+3.15,+26.283, +9.438,+0.981
1658876520,+3.15,+26.308, +9.463,+0.982
1658876820,+3.15,+26.342, +9.498,+0.981
1658877120,+3.15,+26.376, +9.528,+0.982
1658877420,+3.15,+26.393, +9.571,+0.982
1658877720,+3.15,+26.426, +9.592,+0.981
1658878020,+3.15,+26.452, +9.595,+0.981
1658878320,+3.16,+26.460, +9.630,+0.982
1658878620,+3.16,+26.477, +9.643,+0.982
1658878920,+3.16,+26.502, +9.674,+0.982
1658879220,+3.16,+26.494, +9.686,+0.981
1658879520,+3.16,+26.528, +9.699,+0.982
1658879820,+3.16,+26.545, +9.698,+0.981
1658880120,+3.16,+26.545, +9.710,+0.982
1658880420,+3.16,+26.553, +9.693,+0.980
1658880720,+3.16,+26.570, +9.686,+0.981
1658881020,+3.16,+26.553, +9.667,+0.981
1658881320,+3.16,+26.562, +9.641,+0.982
1658881620,+3.16,+26.511, +9.562,+0.981
1658881920,+3.16,+26.477, +9.434,+0.981
1658882220,+3.16,+26.477, +9.331,+0.981
1658882520,+3.16,+26.502, +9.268,+0.981
1658882820,+3.16,+26.486, +9.232,+0.981
1658883120,+3.16,+26.494, +9.182,+0.980
1658883420,+3.16,+26.519, +9.148,+0.980
1658883720,+3.16,+26.511, +9.146,+0.981
1658884020,+3.16,+26.519, +9.090,+0.980
1658884320,+3.16,+26.519, +9.085,+0.981
