7450-491496
OS REV: 1.04 Sensor Cal: 1570120521
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1658167740,+3.17,+23.922, +8.364,+0.975
1658168040,+3.17,+23.947, +8.460,+0.977
1658168340,+3.17,+23.989, +8.510,+0.976
1658168640,+3.17,+24.022, +8.501,+0.976
1658168940,+3.17,+24.073, +8.552,+0.977
1658169240,+3.17,+24.115, +8.570,+0.977
1658169540,+3.17,+24.199, +8.653,+0.977
1658169840,+3.17,+24.199, +8.605,+0.977
1658170140,+3.17,+24.274, +8.700,+0.977
1658170440,+3.17,+24.316, +8.691,+0.977
1658170740,+3.17,+24.358, +8.710,+0.977
1658171040,+3.17,+24.375, +8.766,+0.977
1658171340,+3.17,+24.409, +8.757,+0.977
1658171640,+3.17,+24.484, +8.749,+0.978
1658171940,+3.17,+24.509, +8.857,+0.977
1658172240,+3.17,+24.568, +8.852,+0.977
1658172540,+3.17,+24.585, +8.849,+0.978
1658172840,+3.17,+24.644, +8.845,+0.977
1658173140,+3.17,+24.703, +8.898,+0.977
1658173440,+3.17,+24.745, +8.946,+0.977
1658173740,+3.17,+24.778, +8.939,+0.977
1658174040,+3.17,+24.820, +8.963,+0.977
1658174340,+3.17,+24.879, +9.004,+0.977
1658174640,+3.17,+24.913, +9.011,+0.978
1658174940,+3.17,+24.938, +9.001,+0.978
1658175240,+3.17,+24.989, +9.022,+0.977
1658175540,+3.17,+25.014, +9.037,+0.978
1658175840,+3.17,+25.073, +9.060,+0.978
1658176140,+3.17,+25.115, +9.092,+0.978
1658176440,+3.17,+25.149, +9.129,+0.978
1658176740,+3.16,+25.174, +9.120,+0.978
1658177040,+3.16,+25.182, +9.081,+0.978
1658177340,+3.16,+25.233, +9.094,+0.978
1658177640,+3.16,+25.233, +9.106,+0.978
1658177940,+3.16,+25.300, +9.102,+0.978
1658178240,+3.16,+25.334, +9.115,+0.979
1658178540,+3.16,+25.342, +9.088,+0.978
1658178840,+3.17,+25.359, +9.055,+0.978
1658179140,+3.17,+25.376, +9.052,+0.978
1658179440,+3.17,+25.418, +9.076,+0.978
1658179740,+3.17,+25.435, +9.061,+0.978
