7450-521120
OS REV: 1.04 Sensor Cal: 1570120153
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1659149640,+3.17,+25.113, +7.871,+0.940
1659149940,+3.17,+25.097, +7.840,+0.940
1659150240,+3.17,+25.088, +7.821,+0.940
1659150540,+3.17,+25.038, +7.821,+0.940
1659150840,+3.17,+25.029, +7.791,+0.940
1659151140,+3.17,+25.004, +7.769,+0.940
1659151440,+3.17,+24.987, +7.752,+0.940
1659151740,+3.17,+24.953, +7.737,+0.939
1659152040,+3.17,+24.928, +7.721,+0.940
1659152340,+3.17,+24.903, +7.708,+0.940
1659152640,+3.17,+24.878, +7.678,+0.940
1659152940,+3.17,+24.861, +7.653,+0.939
1659153240,+3.17,+24.844, +7.652,+0.940
1659153540,+3.17,+24.819, +7.631,+0.940
1659153840,+3.17,+24.785, +7.620,+0.940
1659154140,+3.17,+24.760, +7.598,+0.940
1659154440,+3.17,+24.734, +7.586,+0.939
1659154740,+3.17,+24.718, +7.577,+0.940
1659155040,+3.17,+24.684, +7.559,+0.939
1659155340,+3.17,+24.676, +7.550,+0.940
1659155640,+3.17,+24.659, +7.534,+0.939
1659155940,+3.17,+24.642, +7.528,+0.939
1659156240,+3.17,+24.625, +7.516,+0.940
1659156540,+3.17,+24.625, +7.502,+0.939
1659156840,+3.17,+24.600, +7.491,+0.939
1659157140,+3.17,+24.575, +7.493,+0.940
1659157440,+3.17,+24.549, +7.482,+0.939
1659157740,+3.17,+24.516, +7.482,+0.939
1659158040,+3.17,+24.491, +7.466,+0.939
1659158340,+3.17,+24.474, +7.467,+0.939
1659158640,+3.17,+24.474, +7.456,+0.939
1659158940,+3.17,+24.457, +7.453,+0.939
1659159240,+3.17,+24.423, +7.442,+0.939
1659159540,+3.17,+24.406, +7.446,+0.939
1659159840,+3.17,+24.373, +7.451,+0.940
1659160140,+3.17,+24.364, +7.443,+0.940
1659160440,+3.17,+24.356, +7.423,+0.939
