7450-521120
OS REV: 1.04 Sensor Cal: 1570120153
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1687621920,+3.05,+16.960, +8.986,+0.935
1687622220,+3.05,+17.333, +8.906,+0.935
1687622520,+3.05,+17.688, +8.859,+0.936
1687622820,+3.05,+17.544, +8.891,+0.937
1687623120,+3.05,+16.968, +8.972,+0.937
1687623420,+3.05,+16.518, +9.039,+0.936
1687623720,+3.05,+16.442, +9.030,+0.937
1687624020,+3.05,+16.169, +9.064,+0.936
1687624320,+3.05,+16.790, +8.820,+0.936
1687624620,+3.05,+17.189, +8.601,+0.937
1687624920,+3.05,+17.282, +8.543,+0.937
1687625220,+3.05,+17.316, +8.556,+0.937
1687625520,+3.05,+17.324, +8.554,+0.937
1687625820,+3.05,+17.349, +8.569,+0.937
1687626120,+3.05,+17.366, +8.585,+0.937
1687626420,+3.05,+17.383, +8.607,+0.937
1687626720,+3.05,+17.383, +8.630,+0.937
1687627020,+3.05,+17.392, +8.619,+0.937
1687627320,+3.05,+17.417, +8.647,+0.937
1687627620,+3.05,+17.417, +8.659,+0.937
1687627920,+3.05,+17.459, +8.659,+0.937
1687628220,+3.05,+17.468, +8.678,+0.937
1687628520,+3.05,+17.485, +8.674,+0.937
1687628820,+3.05,+17.527, +8.705,+0.938
1687629120,+3.05,+17.552, +8.701,+0.937
1687629420,+3.05,+17.578, +8.757,+0.937
1687629720,+3.05,+17.612, +8.754,+0.937
1687630020,+3.05,+17.671, +8.785,+0.937
1687630320,+3.05,+17.764, +8.794,+0.938
1687630620,+3.05,+17.814, +8.856,+0.938
1687630920,+3.05,+17.882, +8.810,+0.937
1687631220,+3.05,+17.966, +8.795,+0.938
1687631520,+3.05,+18.008, +8.808,+0.938
1687631820,+3.05,+18.059, +8.789,+0.938
1687632120,+3.05,+18.118, +8.791,+0.938
1687632420,+3.05,+18.160, +8.778,+0.937
1687632720,+3.05,+18.227, +8.802,+0.938
1687633020,+3.05,+18.261, +8.784,+0.938
1687633320,+3.05,+18.320, +8.803,+0.938
1687633620,+3.05,+18.371, +8.797,+0.938
1687633920,+3.05,+18.413, +8.782,+0.937
1687634220,+3.05,+18.480, +8.804,+0.938
1687634520,+3.05,+18.522, +8.794,+0.938
1687634820,+3.05,+18.573, +8.780,+0.938
1687635120,+3.05,+18.631, +8.805,+0.938
1687635420,+3.05,+18.657, +8.774,+0.938
1687635720,+3.05,+18.707, +8.807,+0.938
1687636020,+3.05,+18.758, +8.799,+0.938
1687636320,+3.04,+18.791, +8.794,+0.938
1687636620,+3.04,+18.833, +8.835,+0.938
1687636920,+3.04,+18.900, +8.838,+0.938
1687637220,+3.04,+18.942, +8.816,+0.938
1687637520,+3.05,+19.001, +8.836,+0.938
1687637820,+3.05,+19.043, +8.838,+0.938
1687638120,+3.05,+19.085, +8.841,+0.938
1687638420,+3.05,+19.127, +8.845,+0.938
1687638720,+3.05,+19.178, +8.865,+0.938
1687639020,+3.05,+19.228, +8.885,+0.938
1687639320,+3.05,+19.253, +8.871,+0.938
1687639620,+3.05,+19.295, +8.910,+0.938
1687639920,+3.05,+19.320, +8.868,+0.938
1687640220,+3.05,+19.345, +8.894,+0.938
1687640520,+3.05,+19.413, +8.894,+0.938
1687640820,+3.05,+19.446, +8.870,+0.938
1687641120,+3.05,+19.488, +8.886,+0.938
1687641420,+3.05,+19.505, +8.875,+0.938
1687641720,+3.05,+19.538, +8.875,+0.938
1687642020,+3.05,+19.589, +8.888,+0.938
1687642320,+3.05,+19.597, +8.910,+0.938
1687642620,+3.05,+19.673, +8.933,+0.939
1687642920,+3.04,+19.698, +8.912,+0.938
1687643220,+3.04,+19.731, +8.897,+0.939
1687643520,+3.04,+19.756, +8.905,+0.938
1687643820,+3.04,+19.790, +8.925,+0.939
1687644120,+3.04,+19.832, +8.900,+0.938
1687644420,+3.04,+19.840, +8.906,+0.938
1687644720,+3.04,+19.899, +8.889,+0.939
1687645020,+3.04,+19.916, +8.916,+0.939
1687645320,+3.04,+19.949, +8.900,+0.938
1687645620,+3.04,+20.000, +8.916,+0.939
1687645920,+3.04,+20.016, +8.916,+0.938
1687646220,+3.05,+20.016, +8.952,+0.939
1687646520,+3.05,+20.067, +8.930,+0.939
1687646820,+3.05,+20.075, +8.924,+0.939
1687647120,+3.05,+20.117, +8.890,+0.939
1687647420,+3.05,+20.150, +8.901,+0.938
1687647720,+3.05,+20.142, +8.915,+0.938
1687648020,+3.05,+20.175, +8.913,+0.939
1687648320,+3.05,+20.167, +8.899,+0.938
1687648620,+3.05,+20.192, +8.895,+0.939
1687648920,+3.05,+20.201, +8.883,+0.938
1687649220,+3.05,+20.226, +8.881,+0.939
1687649520,+3.05,+20.234, +8.868,+0.938
1687649820,+3.05,+20.242, +8.866,+0.938
1687650120,+3.05,+20.234, +8.870,+0.939
1687650420,+3.05,+20.234, +8.895,+0.939
1687650720,+3.05,+20.242, +8.912,+0.938
1687651020,+3.05,+20.268, +8.878,+0.939
1687651320,+3.05,+20.276, +8.852,+0.938
1687651620,+3.05,+20.276, +8.882,+0.939
1687651920,+3.05,+20.276, +8.850,+0.938
1687652220,+3.05,+20.309, +8.853,+0.939
1687652520,+3.05,+20.318, +8.863,+0.939
1687652820,+3.05,+20.284, +8.850,+0.938
1687653120,+3.05,+20.301, +8.821,+0.938
1687653420,+3.05,+20.309, +8.822,+0.938
1687653720,+3.05,+20.284, +8.836,+0.939
1687654020,+3.05,+20.284, +8.828,+0.939
1687654320,+3.05,+20.276, +8.807,+0.938
1687654620,+3.05,+20.268, +8.817,+0.939
1687654920,+3.05,+20.259, +8.792,+0.939
1687655220,+3.05,+20.242, +8.775,+0.938
1687655520,+3.05,+20.226, +8.777,+0.939
1687655820,+3.05,+20.201, +8.764,+0.939
1687656120,+3.05,+20.150, +8.698,+0.938
1687656420,+3.05,+20.100, +8.684,+0.938
1687656720,+3.05,+20.058, +8.656,+0.938
1687657020,+3.05,+20.041, +8.625,+0.938
1687657320,+3.04,+20.016, +8.639,+0.938
1687657620,+3.04,+20.000, +8.614,+0.938
1687657920,+3.04,+19.958, +8.605,+0.938
1687658220,+3.04,+19.941, +8.596,+0.938
1687658520,+3.04,+19.916, +8.588,+0.938
1687658820,+3.04,+19.907, +8.553,+0.937
1687659120,+3.04,+19.874, +8.553,+0.938
1687659420,+3.04,+19.857, +8.568,+0.938
1687659720,+3.04,+19.849, +8.529,+0.938
1687660020,+3.04,+19.807, +8.533,+0.938
1687660320,+3.04,+19.790, +8.504,+0.938
1687660620,+3.04,+19.790, +8.522,+0.938
1687660920,+3.04,+19.765, +8.479,+0.938
1687661220,+3.04,+19.756, +8.488,+0.938
1687661520,+3.04,+19.731, +8.447,+0.937
1687661820,+3.04,+19.715, +8.431,+0.938
1687662120,+3.04,+19.715, +8.430,+0.938
1687662420,+3.04,+19.706, +8.402,+0.938
1687662720,+3.05,+19.673, +8.369,+0.937
1687663020,+3.04,+19.689, +8.355,+0.937
1687663320,+3.05,+19.656, +8.338,+0.937
1687663620,+3.05,+19.639, +8.326,+0.937
1687663920,+3.05,+19.631, +8.298,+0.937
1687664220,+3.05,+19.606, +8.294,+0.938
1687664520,+3.05,+19.580, +8.266,+0.937
1687664820,+3.05,+19.589, +8.271,+0.937
1687665120,+3.05,+19.564, +8.235,+0.937
1687665420,+3.05,+19.547, +8.235,+0.937
1687665720,+3.05,+19.547, +8.214,+0.937
1687666020,+3.05,+19.530, +8.217,+0.937
1687666320,+3.05,+19.505, +8.149,+0.937
1687666620,+3.05,+19.480, +8.210,+0.937
1687666920,+3.05,+19.480, +8.169,+0.937
1687667220,+3.05,+19.480, +8.144,+0.937
1687667520,+3.05,+19.463, +8.154,+0.937
1687667820,+3.05,+19.446, +8.129,+0.937
1687668120,+3.05,+19.438, +8.126,+0.937
1687668420,+3.05,+19.404, +8.067,+0.937
1687668720,+3.05,+19.413, +8.031,+0.937
1687669020,+3.05,+19.387, +8.051,+0.937
1687669320,+3.05,+19.396, +8.045,+0.937
1687669620,+3.05,+19.371, +8.040,+0.936
1687669920,+3.05,+19.354, +8.045,+0.937
1687670220,+3.05,+19.329, +8.031,+0.937
1687670520,+3.05,+19.320, +8.031,+0.937
1687670820,+3.05,+19.295, +8.018,+0.937
1687671120,+3.05,+19.270, +8.011,+0.937
1687671420,+3.05,+19.236, +8.030,+0.937
1687671720,+3.05,+19.220, +8.012,+0.937
1687672020,+3.05,+19.186, +8.025,+0.937
1687672320,+3.05,+19.169, +8.037,+0.937
1687672620,+3.05,+19.152, +8.029,+0.937
1687672920,+3.05,+19.110, +8.033,+0.937
1687673220,+3.05,+19.085, +8.028,+0.937
1687673520,+3.05,+19.077, +8.013,+0.937
1687673820,+3.05,+19.052, +7.992,+0.937
1687674120,+3.05,+19.010, +8.010,+0.937
1687674420,+3.05,+18.968, +8.015,+0.937
1687674720,+3.05,+18.984, +7.999,+0.936
1687675020,+3.05,+18.951, +7.995,+0.936
1687675320,+3.04,+18.909, +7.992,+0.936
1687675620,+3.04,+18.892, +8.023,+0.937
1687675920,+3.04,+18.867, +8.007,+0.937
1687676220,+3.04,+18.867, +7.992,+0.937
1687676520,+3.04,+18.825, +8.001,+0.937
1687676820,+3.04,+18.833, +8.000,+0.937
1687677120,+3.05,+18.808, +7.992,+0.936
1687677420,+3.04,+18.766, +7.989,+0.936
1687677720,+3.05,+18.758, +7.988,+0.936
1687678020,+3.05,+18.724, +7.999,+0.936
1687678320,+3.05,+18.724, +8.002,+0.937
1687678620,+3.05,+18.699, +7.989,+0.936
