"date_time","Temp_C","DO_mgL"
2022-06-24 17:15:00,24.812,8.274
2022-06-24 17:20:00,24.745,8.264
2022-06-24 17:25:00,24.711,8.253
2022-06-24 17:30:00,24.669,8.246
2022-06-24 17:35:00,24.661,8.221
2022-06-24 17:40:00,24.627,8.21
2022-06-24 17:45:00,24.652,8.176
2022-06-24 17:50:00,24.619,8.162
2022-06-24 17:55:00,24.619,8.147
2022-06-24 18:00:00,24.61,8.115
2022-06-24 18:05:00,24.61,8.089
2022-06-24 18:10:00,24.593,8.053
2022-06-24 18:15:00,24.602,8.037
2022-06-24 18:20:00,24.602,8.004
2022-06-24 18:25:00,24.593,7.976
2022-06-24 18:30:00,24.568,7.949
2022-06-24 18:35:00,24.577,7.914
2022-06-24 18:40:00,24.56,7.889
2022-06-24 18:45:00,24.568,7.85
2022-06-24 18:50:00,24.577,7.81
2022-06-24 18:55:00,24.56,7.795
2022-06-24 19:00:00,24.551,7.744
2022-06-24 19:05:00,24.543,7.716
2022-06-24 19:10:00,24.526,7.68
2022-06-24 19:15:00,24.535,7.635
2022-06-24 19:20:00,24.518,7.602
2022-06-24 19:25:00,24.501,7.562
2022-06-24 19:30:00,24.501,7.526
2022-06-24 19:35:00,24.476,7.505
2022-06-24 19:40:00,24.501,7.46
2022-06-24 19:45:00,24.476,7.439
2022-06-24 19:50:00,24.459,7.395
2022-06-24 19:55:00,24.459,7.369
2022-06-24 20:00:00,24.459,7.339
2022-06-24 20:05:00,24.442,7.309
2022-06-24 20:10:00,24.451,7.272
2022-06-24 20:15:00,24.451,7.239
2022-06-24 20:20:00,24.442,7.214
2022-06-24 20:25:00,24.442,7.184
2022-06-24 20:30:00,24.425,7.157
2022-06-24 20:35:00,24.425,7.134
2022-06-24 20:40:00,24.434,7.098
2022-06-24 20:45:00,24.409,7.078
2022-06-24 20:50:00,24.392,7.055
2022-06-24 20:55:00,24.409,7.023
2022-06-24 21:00:00,24.375,7.008
2022-06-24 21:05:00,24.4,6.98
2022-06-24 21:10:00,24.383,6.963
2022-06-24 21:15:00,24.392,6.937
2022-06-24 21:20:00,24.392,6.918
2022-06-24 21:25:00,24.367,6.912
2022-06-24 21:30:00,24.4,6.855
2022-06-24 21:35:00,24.375,6.855
2022-06-24 21:40:00,24.358,6.834
2022-06-24 21:45:00,24.358,6.816
2022-06-24 21:50:00,24.341,6.801
2022-06-24 21:55:00,24.325,6.789
2022-06-24 22:00:00,24.308,6.777
2022-06-24 22:05:00,24.299,6.749
2022-06-24 22:10:00,24.299,6.743
2022-06-24 22:15:00,24.283,6.728
2022-06-24 22:20:00,24.274,6.713
2022-06-24 22:25:00,24.249,6.692
2022-06-24 22:30:00,24.241,6.69
2022-06-24 22:35:00,24.215,6.674
2022-06-24 22:40:00,24.199,6.665
