"date_time","Temp_C","DO_mgL"
"2023-06-27 19:40:00",17.45,8.724
"2023-06-27 19:45:00",17.424,8.718
"2023-06-27 19:50:00",17.391,8.731
"2023-06-27 19:55:00",17.357,8.713
"2023-06-27 20:00:00",17.34,8.717
"2023-06-27 20:05:00",17.306,8.728
"2023-06-27 20:10:00",17.298,8.716
"2023-06-27 20:15:00",17.272,8.719
"2023-06-27 20:20:00",17.247,8.717
"2023-06-27 20:25:00",17.238,8.697
"2023-06-27 20:30:00",17.23,8.692
"2023-06-27 20:35:00",17.204,8.687
"2023-06-27 20:40:00",17.204,8.692
"2023-06-27 20:45:00",17.171,8.687
"2023-06-27 20:50:00",17.162,8.693
"2023-06-27 20:55:00",17.145,8.672
"2023-06-27 21:00:00",17.137,8.671
"2023-06-27 21:05:00",17.128,8.664
"2023-06-27 21:10:00",17.12,8.66
"2023-06-27 21:15:00",17.12,8.669
"2023-06-27 21:20:00",17.103,8.661
"2023-06-27 21:25:00",17.103,8.648
"2023-06-27 21:30:00",17.111,8.655
"2023-06-27 21:35:00",17.094,8.65
"2023-06-27 21:40:00",17.094,8.65
"2023-06-27 21:45:00",17.094,8.644
"2023-06-27 21:50:00",17.094,8.643
"2023-06-27 21:55:00",17.086,8.641
"2023-06-27 22:00:00",17.094,8.647
"2023-06-27 22:05:00",17.094,8.64
"2023-06-27 22:10:00",17.094,8.626
"2023-06-27 22:15:00",17.094,8.637
"2023-06-27 22:20:00",17.094,8.627
"2023-06-27 22:25:00",17.103,8.639
"2023-06-27 22:30:00",17.12,8.613
"2023-06-27 22:35:00",17.111,8.629
"2023-06-27 22:40:00",17.111,8.634
"2023-06-27 22:45:00",17.12,8.625
"2023-06-27 22:50:00",17.12,8.628
"2023-06-27 22:55:00",17.111,8.633
"2023-06-27 23:00:00",17.128,8.617
"2023-06-27 23:05:00",17.128,8.617
"2023-06-27 23:10:00",17.12,8.619
"2023-06-27 23:15:00",17.128,8.622
"2023-06-27 23:20:00",17.137,8.622
"2023-06-27 23:25:00",17.137,8.617
"2023-06-27 23:30:00",17.12,8.636
"2023-06-27 23:35:00",17.128,8.618
"2023-06-27 23:40:00",17.128,8.62
"2023-06-27 23:45:00",17.128,8.625
"2023-06-27 23:50:00",17.137,8.63
"2023-06-27 23:55:00",17.12,8.616
"2023-06-28 00:00:00",17.145,8.62
"2023-06-28 00:05:00",17.128,8.618
"2023-06-28 00:10:00",17.111,8.625
"2023-06-28 00:15:00",17.12,8.624
"2023-06-28 00:20:00",17.12,8.622
"2023-06-28 00:25:00",17.103,8.623
"2023-06-28 00:30:00",17.111,8.622
"2023-06-28 00:35:00",17.103,8.628
"2023-06-28 00:40:00",17.094,8.617
"2023-06-28 00:45:00",17.077,8.629
"2023-06-28 00:50:00",17.086,8.628
"2023-06-28 00:55:00",17.086,8.63
"2023-06-28 01:00:00",17.069,8.635
"2023-06-28 01:05:00",17.052,8.641
"2023-06-28 01:10:00",17.077,8.626
"2023-06-28 01:15:00",17.06,8.636
"2023-06-28 01:20:00",17.069,8.641
"2023-06-28 01:25:00",17.06,8.628
"2023-06-28 01:30:00",17.027,8.65
"2023-06-28 01:35:00",17.035,8.647
"2023-06-28 01:40:00",17.01,8.646
"2023-06-28 01:45:00",17.027,8.645
"2023-06-28 01:50:00",16.993,8.651
"2023-06-28 01:55:00",17.001,8.645
"2023-06-28 02:00:00",16.984,8.651
"2023-06-28 02:05:00",16.976,8.651
