"date_time","Temp_C","DO_mgL"
2022-06-29 10:40:00,21.483,8.157
2022-06-29 10:45:00,21.508,8.176
2022-06-29 10:50:00,21.55,8.195
2022-06-29 10:55:00,21.584,8.224
2022-06-29 11:00:00,21.617,8.239
2022-06-29 11:05:00,21.659,8.261
2022-06-29 11:10:00,21.734,8.285
2022-06-29 11:15:00,21.776,8.306
2022-06-29 11:20:00,21.809,8.337
2022-06-29 11:25:00,21.884,8.343
2022-06-29 11:30:00,21.901,8.368
2022-06-29 11:35:00,21.96,8.387
2022-06-29 11:40:00,22.01,8.41
2022-06-29 11:45:00,22.027,8.436
2022-06-29 11:50:00,22.077,8.442
2022-06-29 11:55:00,22.118,8.472
2022-06-29 12:00:00,22.169,8.49
2022-06-29 12:05:00,22.227,8.507
2022-06-29 12:10:00,22.261,8.522
2022-06-29 12:15:00,22.286,8.548
2022-06-29 12:20:00,22.344,8.574
2022-06-29 12:25:00,22.386,8.586
2022-06-29 12:30:00,22.436,8.596
2022-06-29 12:35:00,22.478,8.615
2022-06-29 12:40:00,22.52,8.635
2022-06-29 12:45:00,22.545,8.671
2022-06-29 12:50:00,22.595,8.679
2022-06-29 12:55:00,22.637,8.694
2022-06-29 13:00:00,22.679,8.704
2022-06-29 13:05:00,22.712,8.735
2022-06-29 13:10:00,22.762,8.743
2022-06-29 13:15:00,22.813,8.749
2022-06-29 13:20:00,22.854,8.774
2022-06-29 13:25:00,22.888,8.784
2022-06-29 13:30:00,22.913,8.803
2022-06-29 13:35:00,22.946,8.821
2022-06-29 13:40:00,22.997,8.83
2022-06-29 13:45:00,23.038,8.849
2022-06-29 13:50:00,23.097,8.855
2022-06-29 13:55:00,23.139,8.873
2022-06-29 14:00:00,23.172,8.882
2022-06-29 14:05:00,23.214,8.911
2022-06-29 14:10:00,23.248,8.905
2022-06-29 14:15:00,23.298,8.914
2022-06-29 14:20:00,23.323,8.941
2022-06-29 14:25:00,23.365,8.947
2022-06-29 14:30:00,23.39,8.977
2022-06-29 14:35:00,23.44,8.984
2022-06-29 14:40:00,23.49,8.995
2022-06-29 14:45:00,23.557,8.996
2022-06-29 14:50:00,23.566,9.002
2022-06-29 14:55:00,23.591,9.012
2022-06-29 15:00:00,23.625,9.024
2022-06-29 15:05:00,23.675,9.029
2022-06-29 15:10:00,23.708,9.042
2022-06-29 15:15:00,23.742,9.06
2022-06-29 15:20:00,23.784,9.043
2022-06-29 15:25:00,23.834,9.063
2022-06-29 15:30:00,23.868,9.089
2022-06-29 15:35:00,23.893,9.067
2022-06-29 15:40:00,23.926,9.089
2022-06-29 15:45:00,23.977,9.079
2022-06-29 15:50:00,24.01,9.096
2022-06-29 15:55:00,24.027,9.079
2022-06-29 16:00:00,24.086,9.09
2022-06-29 16:05:00,24.127,9.099
2022-06-29 16:10:00,24.161,9.098
2022-06-29 16:15:00,24.195,9.1
2022-06-29 16:20:00,24.195,9.113
2022-06-29 16:25:00,24.22,9.111
2022-06-29 16:30:00,24.245,9.101
2022-06-29 16:35:00,24.279,9.11
2022-06-29 16:40:00,24.304,9.104
2022-06-29 16:45:00,24.337,9.1
2022-06-29 16:50:00,24.354,9.095
2022-06-29 16:55:00,24.379,9.118
2022-06-29 17:00:00,24.438,9.118
2022-06-29 17:05:00,24.488,9.103
2022-06-29 17:10:00,24.438,9.129
