site,date,width.m,depth.m
BM,08-18-2020,30.7,0.59
BM,09-09-2020,,0.75
BM,09-25-2020,,0.72
BN,08-21-2020,,0.66
BN,09-04-2020,,0.58
BN,10-07-2020,,0.68
GR,08-13-2020,19.3,0.47
GR,09-16-2020,,0.47
GC,08-13-2020,,0.49
GC,09-04-2020,,0.49
GC,09-25-2020,34.1,0.51
PL,08-15-2020,13.2,0.55
PL,09-09-2020,,0.63
PL,09-20-2020,,0.61
GR,09-20-2020,,0.53
GR,07-27-2021,18.2,0.32
BM,07-08-2021,28.6,0.665
GR,07-08-2021,16.8,0.44
DL,07-09-2021,15,0.487
BM,08-10-2021,26.8,0.659
GR,08-10-2021,16.1,0.416
DL,07-23-2020,19.4,0.7512
DL,09-03-2020,,0.664
DL,10-02-2020,,0.6893
DL,10-16-2020,,0.8098
GR,07-30-2020,20.7,0.6236
GR,09-04-2020,,0.5924
GR,10-06-2020,,0.5994
GR,10-28-2020,,0.7088
