"","SFE-M-1S","SFE-M-2","SFE-M-3","SFE-M-4","SFE-SH-1S"
"b0",8.70197548078347,9.04081627223106,9.39365211559468,8.53212860984927,8.88597518029868
"b1",0.684286725708543,0.638452730572774,0.607736043194873,0.741385782735263,0.579010311465934
"b[1]",4.60684579585595e-05,0.00348594706325939,0.00252747901056026,-0.00381778598921966,-0.0237978491298016
"b[2]",0.00790878902909189,-0.00363236483828539,0.0194627666966844,0.0130513364650118,0.016520384761089
"b[3]",-0.00676653412527629,-0.00536418289706176,-0.015549997157594,-0.00369159918514099,-0.0111855027698531
"b[4]",0.00485020751692078,0.00977054236115854,-0.0169742437944357,-0.00668377209415167,-0.00599499490824282
"b[5]",0.0113334831562651,-0.0129276697667015,0.0439624584657022,0.0338113383701967,0.0203828638773267
"b[6]",0.00866729859583285,-0.00450554735120457,-0.00387701184651046,0.011050750919447,0.00858695063766087
"sigma",25.4185339822322,25.7481031502378,26.6632944319133,22.9693635587082,25.3973521646688
"lp__",-11301.8104976149,-11340.2572715441,-11446.7016602171,-10992.443354145,-11714.2453170254
