"model","site_reach","mean","lower_ci","upper_ci"
"all","SFE-M-1S",0.283887155355307,0.184969569965696,0.390012744092215
"all","SFE-M-2",0.329220278140714,0.232647321322688,0.425665614865295
"all","SFE-M-3",0.382761877434952,0.288928336122825,0.466860445522147
"all","SFE-M-4",0.329913218628574,0.231488503337162,0.42620119217126
"all","SFE-SH-1S",0.314228405028799,0.209101962529491,0.416601448352595
"all_w_cover","SFE-M-1S",0.242997607899669,0.150436551949832,0.348353788301898
"all_w_cover","SFE-M-2",0.297371008658472,0.212851268773242,0.386071601620223
"all_w_cover","SFE-M-3",0.34936156678703,0.242802235120131,0.442313401363441
"all_w_cover","SFE-M-4",0.293006152606185,0.195510769896541,0.390255685106939
"all_w_cover","SFE-SH-1S",0.31127089408143,0.218111437634613,0.409138835444235
"biochemical","SFE-M-1S",0.324564395657521,0.217172445834137,0.434366499286487
"biochemical","SFE-M-2",0.323084986878046,0.211854396477269,0.434995856715941
"biochemical","SFE-M-3",0.403777977691584,0.304619069521338,0.504677622924345
"biochemical","SFE-M-4",0.381562121760127,0.287003404787344,0.473419426636254
"biochemical","SFE-SH-1S",0.336503898889503,0.224642565496751,0.449947353427536
"biochemical_w_cover","SFE-M-1S",0.265005305004713,0.16705228669336,0.375865686693262
"biochemical_w_cover","SFE-M-2",0.281704690034958,0.190809081539335,0.377455994851641
"biochemical_w_cover","SFE-M-3",0.346577559780267,0.24245474877512,0.451029682682272
"biochemical_w_cover","SFE-M-4",0.334593900327802,0.243503128600542,0.422856126104233
"biochemical_w_cover","SFE-SH-1S",0.321822135868335,0.220146042492939,0.423675561415059
"biological","SFE-M-1S",0.340802880327978,0.234252787346655,0.450003160839891
"biological","SFE-M-2",0.352861756218256,0.238804032749699,0.468836860997042
"biological","SFE-M-3",0.379474655251585,0.274485871522898,0.483400552452835
"biological","SFE-M-4",0.383603757159342,0.282909616759537,0.484106521644916
"biological","SFE-SH-1S",0.367805721529551,0.264581656046542,0.472079545792075
"biological_w_cover","SFE-M-1S",0.208546514217559,0.123659589034466,0.313893264716564
"biological_w_cover","SFE-M-2",0.301169136992565,0.232408864279505,0.363863056624252
"biological_w_cover","SFE-M-3",0.250138633124502,0.156154405762421,0.354649991277759
"biological_w_cover","SFE-M-4",0.256353054538969,0.160690596419319,0.358342855012641
"biological_w_cover","SFE-SH-1S",0.268346029228753,0.194505599566405,0.354957614402857
"chemical","SFE-M-1S",0.350577845319353,0.242592426324706,0.460568746571331
"chemical","SFE-M-2",0.347023300150316,0.230828519692803,0.46473258913665
