"model","site_reach","mean","lower_ci","upper_ci"
"all","SFE-M-2",0.684938018437921,0.48536969353701,0.766208891990537
"all","SFE-M-3",0.538090153939384,0.290242274297964,0.648120688767203
"all","SFE-M-4",0.347188143764788,0.181940286621475,0.528740696877559
"all","SFE-SH-1S",0.468840964159953,0.306636874028655,0.618960624737804
"biochemical","SFE-M-2",0.686210552480147,0.535090830259596,0.763841579014045
"biochemical","SFE-M-3",0.46333569537874,0.272100776137189,0.604188582132276
"biochemical","SFE-M-4",0.400099586498894,0.218157726479274,0.550666270281099
"biochemical","SFE-SH-1S",0.566838209046541,0.441161368548762,0.626212644282847
"biological","SFE-M-2",0.411055646173684,0.272042301178485,0.598093507112596
"biological","SFE-M-3",0.362467363906494,0.24560498161342,0.494983681909673
"biological","SFE-M-4",0.377190301447589,0.256479772731181,0.493464213063905
"biological","SFE-SH-1S",0.342263099108147,0.2234826084451,0.465432217633
"chemical","SFE-M-1S",0.508286762391139,0.31225077654003,0.58925173097381
"chemical","SFE-M-2",0.679757020720064,0.520247415097816,0.761592702847038
"chemical","SFE-M-3",0.459344399532495,0.264625171937355,0.59911547909033
"chemical","SFE-M-4",0.395800614163494,0.215912387223187,0.547650058509494
"chemical","SFE-SH-1S",0.56497854132751,0.433043311372812,0.624435376005089
"ecohydrological","SFE-M-2",0.716000314353359,0.6126965872937,0.7895844125482
"ecohydrological","SFE-M-3",0.575281455735028,0.399233409290853,0.655579649885132
"ecohydrological","SFE-M-4",0.481354423118281,0.26758505247541,0.623315166645517
"ecohydrological","SFE-SH-1S",0.521530038634708,0.338643736366069,0.634875827970801
"physical","SFE-M-1S",0.564786678891359,0.476041368748171,0.603650499618525
"physical","SFE-M-2",0.713309923920503,0.631681091398505,0.771279073311652
"physical","SFE-M-3",0.588184181802509,0.49913434315249,0.649134148997279
"physical","SFE-M-4",0.521114233270953,0.401317838412006,0.615090698765094
"physical","SFE-SH-1S",0.550495839429798,0.435331814607657,0.658558209252289
"physicochemical","SFE-M-1S",0.547539180295618,0.377647475900325,0.595811442969947
"physicochemical","SFE-M-2",0.686101916579533,0.488438694047531,0.763138711332953
"physicochemical","SFE-M-3",0.536340870046813,0.295285811245027,0.642558972536685
"physicochemical","SFE-M-4",0.337147206014802,0.181657543471705,0.54972035407133
"physicochemical","SFE-SH-1S",0.530138533419096,0.320789737678438,0.622275992709373
