"model","site_reach","mean","lower_ci","upper_ci"
"all","SFE-M-1S",0.303740604844566,0.198755697508805,0.404438629604473
"all","SFE-M-2",0.292697407864526,0.191978465303794,0.388963692035848
"all","SFE-M-3",0.249938950979913,0.147044676903171,0.357692766953979
"all","SFE-M-4",0.476826080372282,0.379926261522149,0.562193934084124
"all","SFE-SH-1S",0.344020299717892,0.235060437792858,0.447225972942087
"all_w_cover","SFE-M-1S",0.337831271184188,0.240853099439507,0.425210662992081
"all_w_cover","SFE-M-2",0.28932695665577,0.187168665980718,0.390334478378139
"all_w_cover","SFE-M-3",0.239531631916281,0.138856800294386,0.349258588385559
"all_w_cover","SFE-M-4",0.48063772772396,0.389853118875257,0.560505549026214
"all_w_cover","SFE-SH-1S",0.336014732177057,0.227918876925457,0.440663394256539
"biochemical","SFE-M-1S",0.291702516951845,0.188961147579381,0.390748248685636
"biochemical","SFE-M-2",0.268497431699627,0.169140711948719,0.36669087262788
"biochemical","SFE-M-3",0.228426344572516,0.132996966538344,0.329525587587988
"biochemical","SFE-M-4",0.44533845046621,0.349082953321623,0.532116547991047
"biochemical","SFE-SH-1S",0.349183167590008,0.244630141317055,0.448315567919808
"biochemical_w_cover","SFE-M-1S",0.331124538664484,0.233322906173939,0.418079037910428
"biochemical_w_cover","SFE-M-2",0.292288119305705,0.186025484562918,0.394605008358633
"biochemical_w_cover","SFE-M-3",0.228292049991314,0.134565270346244,0.330313149112268
"biochemical_w_cover","SFE-M-4",0.449590442196493,0.351897568356988,0.540308738412751
"biochemical_w_cover","SFE-SH-1S",0.349854044550378,0.244667166793817,0.449825285899851
"biological","SFE-M-1S",0.366947685473157,0.247976386556093,0.486695145035827
"biological","SFE-M-2",0.396704411954799,0.29245562552241,0.499030952076732
"biological","SFE-M-3",0.385325961943943,0.280582410363915,0.488582054254919
"biological","SFE-M-4",0.403591458115664,0.278889621792839,0.531316032618548
"biological","SFE-SH-1S",0.437086354484864,0.327374620073332,0.538575114441319
"biological_w_cover","SFE-M-1S",0.345770059374031,0.226854212793284,0.467170733666388
"biological_w_cover","SFE-M-2",0.406400307016164,0.310939207582638,0.496332742474626
"biological_w_cover","SFE-M-3",0.370736850977792,0.268762559352072,0.470234865460003
"biological_w_cover","SFE-M-4",0.409147912454048,0.280084909591951,0.531976149219371
"biological_w_cover","SFE-SH-1S",0.423367123940813,0.318688959177791,0.521695519717701
"chemical","SFE-M-1S",0.340223984047334,0.229069743765158,0.445814609733817
"chemical","SFE-M-2",0.335720359673376,0.234925729019821,0.441544506711791
"chemical","SFE-M-3",0.34903092285239,0.245352598602495,0.449139383821738
"chemical","SFE-M-4",0.432429478285207,0.316982098221747,0.545438737239774
"chemical","SFE-SH-1S",0.370012018132121,0.262346356079804,0.472851288460483
"chemical_w_cover","SFE-M-1S",0.288915440893095,0.189673699426991,0.384911110390613
"chemical_w_cover","SFE-M-2",0.269986630564787,0.170046508609365,0.365800796484627
"chemical_w_cover","SFE-M-3",0.227974174600751,0.134189046131213,0.329499471638317
"chemical_w_cover","SFE-M-4",0.449393241530537,0.352719747795978,0.537162110439405
"chemical_w_cover","SFE-SH-1S",0.34679644149476,0.241503966823506,0.446088190463638
"ecohydrological","SFE-M-1S",0.301212857576775,0.19478444060618,0.413491089254314
"ecohydrological","SFE-M-2",0.331473820231176,0.232500496464562,0.424377254079541
"ecohydrological","SFE-M-3",0.286253404865308,0.184615610565851,0.386141590538634
"ecohydrological","SFE-M-4",0.458919774173445,0.355651627494345,0.553740646414672
"ecohydrological","SFE-SH-1S",0.318122521574043,0.207558816013297,0.424050468687975
"ecohydrological_w_cover","SFE-M-1S",0.314703231386306,0.205331440868289,0.422670605954199
"ecohydrological_w_cover","SFE-M-2",0.323328957409696,0.223570230547239,0.420169958862831
"ecohydrological_w_cover","SFE-M-3",0.274438381061464,0.172168120471407,0.377499448724186
