"model","site_reach","mean","lower_ci","upper_ci"
"all","SFE-M-1S",0.295669838365318,0.211033202993597,0.445023316028944
"all","SFE-M-2",0.310822148143382,0.13171562930462,0.499299488914632
"all","SFE-M-3",0.386592331488083,0.255459274069394,0.522623487341331
"all","SFE-M-4",0.426763740067518,0.229574995119852,0.61807459149612
"all","SFE-SH-1S",0.260859116547787,0.111861319099874,0.442476545970032
"biochemical","SFE-M-1S",0.303417322574868,0.228983729130835,0.436596927262055
"biochemical","SFE-M-2",0.358013392461258,0.156253022621447,0.645151964547211
"biochemical","SFE-M-3",0.433443986157878,0.205665395403233,0.680266998514921
"biochemical","SFE-M-4",0.609964842210928,0.332913941692931,0.779787226545091
"biochemical","SFE-SH-1S",0.34533359137835,0.174584335325274,0.546562743491415
"biological","SFE-M-1S",0.318333626403183,0.200614061567308,0.500724928479299
"biological","SFE-M-2",0.337271225797441,0.166519856135201,0.588097322059998
"biological","SFE-M-3",0.324633893191191,0.185861111962206,0.49584590736829
"biological","SFE-M-4",0.541783449599432,0.281560508579187,0.781222486833423
"biological","SFE-SH-1S",0.323026687201214,0.156129221106983,0.51854588964913
"chemical","SFE-M-1S",0.299379710754443,0.236574396967953,0.381421312219786
"chemical","SFE-M-2",0.382181813908914,0.179346005467805,0.637665854470104
"chemical","SFE-M-3",0.433181179573756,0.188542313588936,0.686500390509122
"chemical","SFE-M-4",0.619341094298347,0.323747791654905,0.810186562144728
"chemical","SFE-SH-1S",0.373867025679571,0.211356360196445,0.556672595626087
"ecohydrological","SFE-M-1S",0.259814134251649,0.179609548902034,0.368561560857348
"ecohydrological","SFE-M-2",0.256859722076691,0.127901225523464,0.40707637193875
"ecohydrological","SFE-M-3",0.269836671521589,0.141160713202905,0.450412485610147
"ecohydrological","SFE-M-4",0.440077247682852,0.254436957878304,0.587629494186176
"ecohydrological","SFE-SH-1S",0.23412094793443,0.110647390697857,0.396009906427558
"physical","SFE-M-1S",0.259649588056579,0.176716452822904,0.373478426618902
"physical","SFE-M-2",0.257430348824971,0.131740622294848,0.408650267888609
"physical","SFE-M-3",0.259337636317212,0.12796390768626,0.451011664436617
"physical","SFE-M-4",0.437064146563262,0.253205645449325,0.590891326913155
"physical","SFE-SH-1S",0.228203562139304,0.110175257143536,0.37535099955635
"physicochemical","SFE-M-1S",0.28826072539368,0.211459341080145,0.439229819882729
"physicochemical","SFE-M-2",0.282071231152855,0.125087677439398,0.476288570272029
"physicochemical","SFE-M-3",0.390879777420977,0.253665187847061,0.526250591667916
"physicochemical","SFE-M-4",0.415315224683297,0.237145563531862,0.574540766865923
"physicochemical","SFE-SH-1S",0.250481346633684,0.110732923384827,0.417692744384588
