"site_reach","model","mean","ci_lower","ci_upper"
NA,NA,NA,NA,NA
"SFE-M-1S","null",0.30448085948854,0.30448085948854,0.30448085948854
"SFE-M-2","null",0.27675329965336,0.27675329965336,0.27675329965336
"SFE-M-3","null",0.295287883074681,0.295287883074681,0.295287883074681
"SFE-M-4","null",0.341819238646758,0.341819238646758,0.341819238646758
"SFE-SH-1S","null",0.319124417043987,0.319124417043987,0.319124417043987
"SFE-M-1S","physical",0.414390064978567,0.00610296698545422,0.997572116148221
"SFE-M-2","physical",0.603508872961525,0.0171419200648265,0.999075681880414
"SFE-M-3","physical",0.460590821377231,0.0106746696684175,0.998031853878972
"SFE-M-4","physical",0.386977393831646,0.00702137995954316,0.995574135745971
"SFE-SH-1S","physical",0.422444233975641,0.0111932366317201,0.997027591534589
"SFE-M-1S","chemical",0.370769759160737,0.00388506539832153,0.975600603126206
"SFE-M-2","chemical",0.561824919918057,0.0106274615027449,0.998062372126564
"SFE-M-3","chemical",0.351809497002028,0.00670713110482637,0.956556687952802
"SFE-M-4","chemical",0.296218831957889,0.00350940471432542,0.942562576907891
"SFE-SH-1S","chemical",0.424053911201022,0.0096283044783551,0.995457798716434
"SFE-M-1S","biological",0.254446545650683,0.00829302267477645,0.829541079827641
"SFE-M-2","biological",0.338844327867223,0.013245412612473,0.921469152064824
"SFE-M-3","biological",0.284782915055819,0.00751755056791661,0.854859500383159
"SFE-M-4","biological",0.29762560408977,0.00738944871309861,0.849693389065954
"SFE-SH-1S","biological",0.267822456699969,0.00875926307194804,0.831120756953454
"SFE-M-1S","physicochemical",0.400389712722734,0.00384312179646816,0.996288878499039
"SFE-M-2","physicochemical",0.56432314194904,0.0113387347294607,0.998757147602604
"SFE-M-3","physicochemical",0.41234308643664,0.00678242706971772,0.994480012921597
"SFE-M-4","physicochemical",0.250265347801757,0.00317168634689235,0.88609342530808
"SFE-SH-1S","physicochemical",0.395223545857557,0.00896498595956162,0.994510563279332
"SFE-M-1S","ecohydrological",0.42670522145515,0.00626420834172194,0.99688267478565
"SFE-M-2","ecohydrological",0.606378461371431,0.0152180060635727,0.998951509787946
"SFE-M-3","ecohydrological",0.449320816652872,0.00836701450642216,0.997253217556332
"SFE-M-4","ecohydrological",0.36352861757201,0.0056218818714462,0.985524717890517
"SFE-SH-1S","ecohydrological",0.395309812055717,0.0111923607478099,0.994991761592558
"SFE-M-1S","biochemical",0.36521789907433,0.00382873898932713,0.968680074212727
"SFE-M-2","biochemical",0.569330354410682,0.0106456431693509,0.998247579044139
"SFE-M-3","biochemical",0.355075161739385,0.0067440727916843,0.960082727651854
"SFE-M-4","biochemical",0.29909080234436,0.00329363003016473,0.948585918156876
"SFE-SH-1S","biochemical",0.425057790235783,0.008984990465118,0.995583754693881
"SFE-M-1S","all",0.409225823113125,0.00404055009000635,0.996231922754707
"SFE-M-2","all",0.564240368400478,0.0105903966839526,0.998782637965456
"SFE-M-3","all",0.413986453131187,0.00643744197846817,0.994385966090739
"SFE-M-4","all",0.251855262696829,0.00293139687193286,0.934955382981432
"SFE-SH-1S","all",0.342154390291586,0.00774113297387044,0.992385497698184
