"site_reach","model","mean","ci_lower","ci_upper"
"SFE-M-1S","null",0.304456789875331,0.304456789875331,0.304456789875331
"SFE-M-2","null",0.276811917204829,0.276811917204829,0.276811917204829
"SFE-M-3","null",0.295263048384636,0.295263048384636,0.295263048384636
"SFE-M-4","null",0.341763465244414,0.341763465244414,0.341763465244414
"SFE-SH-1S","null",0.319123032803827,0.319123032803827,0.319123032803827
"SFE-M-1S","physical",0.256216116261349,0.00879142336891337,0.793209587689564
"SFE-M-2","physical",0.349694105463787,0.0216947798553283,0.851711049473137
"SFE-M-3","physical",0.307793203621924,0.0131160549511259,0.785759721324383
"SFE-M-4","physical",0.312362723257533,0.0113833612318603,0.823860039671432
"SFE-SH-1S","physical",0.298911101249264,0.011415348004988,0.79271771390284
"SFE-M-1S","chemical",0.278697527057672,0.0106357339026103,0.802329900721374
"SFE-M-2","chemical",0.363206890769615,0.0219671605716287,0.883752943664449
"SFE-M-3","chemical",0.323594312365423,0.0130002296741824,0.829912021947313
"SFE-M-4","chemical",0.326122822523411,0.0124132034364565,0.832829886858711
"SFE-SH-1S","chemical",0.323507129062932,0.0141553837922734,0.850219254371202
"SFE-M-1S","biological",0.271266829004361,0.00953309510508632,0.809895484282387
"SFE-M-2","biological",0.354719361229195,0.0220987756543476,0.882919350537975
"SFE-M-3","biological",0.319027218489216,0.0135045186695656,0.819563854847881
"SFE-M-4","biological",0.32479978975587,0.0130566860893745,0.834170570223491
"SFE-SH-1S","biological",0.311231529976674,0.0128917819191731,0.820697920213759
"SFE-M-1S","physicochemical",0.260174752070862,0.00896413297903427,0.782296367091262
"SFE-M-2","physicochemical",0.369069049447946,0.0187987438784726,0.895765372008527
"SFE-M-3","physicochemical",0.307188333784221,0.0119694468461599,0.827620222430119
"SFE-M-4","physicochemical",0.310442388389701,0.010595010242102,0.822275110795345
"SFE-SH-1S","physicochemical",0.311002109258217,0.0135983383137419,0.808227813750056
"SFE-M-1S","ecohydrological",0.283949453331239,0.00915904100482357,0.863311331569594
"SFE-M-2","ecohydrological",0.319729510712731,0.0188176546142099,0.873330549811459
"SFE-M-3","ecohydrological",0.3207266075138,0.0121287330095844,0.881061291150499
"SFE-M-4","ecohydrological",0.334767070426035,0.0120511605773506,0.871668163112998
"SFE-SH-1S","ecohydrological",0.312517628855302,0.0120587547777785,0.880419966926678
"SFE-M-1S","biochemical",0.275832444782073,0.0100872430671269,0.804541088759074
"SFE-M-2","biochemical",0.367613119834053,0.0199023712249867,0.88748015540276
"SFE-M-3","biochemical",0.320868232966331,0.0128717947788713,0.829125599102235
"SFE-M-4","biochemical",0.320474320588135,0.0110002217241574,0.826920297449208
"SFE-SH-1S","biochemical",0.319434864124474,0.0142823427248568,0.836770570556554
"SFE-M-1S","all",0.272809500890975,0.00933973404521287,0.799914877332887
"SFE-M-2","all",0.374964695003967,0.0189303138679611,0.88308589868405
"SFE-M-3","all",0.313382181792683,0.0117094175680214,0.808370967676154
"SFE-M-4","all",0.329968427261828,0.0125281998130343,0.8456030405609
"SFE-SH-1S","all",0.319556442190167,0.0141810022366331,0.82526382807663
