"site_reach","model","mean","ci_lower","ci_upper"
"SFE-M-1S","null",0.327643166320356,0.327643166320356,0.327643166320356
"SFE-M-2","null",0.303859995983182,0.303859995983182,0.303859995983182
"SFE-M-3","null",0.390788431642994,0.390788431642994,0.390788431642994
"SFE-M-4","null",0.291361845506728,0.291361845506728,0.291361845506728
"SFE-SH-1S","null",0.297870695540318,0.297870695540318,0.297870695540318
"SFE-M-1S","physical",0.186676274258531,0.00172665671617987,0.60500472619624
"SFE-M-2","physical",0.171801084083351,0.00199115686399127,0.764078100719823
"SFE-M-3","physical",0.204358747473705,0.00236878836154176,0.707080401405614
"SFE-M-4","physical",0.306070188167742,0.0026735588075728,0.987092383760388
"SFE-SH-1S","physical",0.154037114990429,0.00276792417435541,0.602465997607634
"SFE-M-1S","chemical",0.235671785950296,0.00277376395252808,0.635810282444761
"SFE-M-2","chemical",0.322629611641149,0.00679255526404152,0.948598578248047
"SFE-M-3","chemical",0.421196214031028,0.012439303787758,0.953397130247396
"SFE-M-4","chemical",0.554280980597447,0.0147087236177403,0.996868923726204
"SFE-SH-1S","chemical",0.311327323361658,0.00792026830627469,0.876193107243718
"SFE-M-1S","biological",0.269426595051253,0.00616470075137068,0.721623422196722
"SFE-M-2","biological",0.281238075268882,0.00689208722754751,0.849791961260895
"SFE-M-3","biological",0.263746925129226,0.00677878753249947,0.740493800135511
"SFE-M-4","biological",0.463719464247559,0.0182138324959713,0.987960227947591
"SFE-SH-1S","biological",0.264724445858357,0.00774017342971809,0.77680776076463
"SFE-M-1S","physicochemical",0.200856898359904,0.0015402587463271,0.620642320070786
"SFE-M-2","physicochemical",0.183594655467774,0.00184251559260141,0.820770064593682
"SFE-M-3","physicochemical",0.254427224072258,0.00257780987763147,0.765673503689299
"SFE-M-4","physicochemical",0.287800415929168,0.00283078639018547,0.987463833020083
"SFE-SH-1S","physicochemical",0.172868833754882,0.00261018469917569,0.720818360971529
"SFE-M-1S","ecohydrological",0.18787412980584,0.00144037590578859,0.607580448549033
"SFE-M-2","ecohydrological",0.177166692008389,0.00168430392353853,0.799162466083188
"SFE-M-3","ecohydrological",0.204726274096775,0.0024338194108353,0.710396498614303
"SFE-M-4","ecohydrological",0.308966526565695,0.00246138295650439,0.987539463955545
"SFE-SH-1S","ecohydrological",0.152460679389966,0.0024218263837621,0.604765198890405
"SFE-M-1S","biochemical",0.242783397648706,0.00263652654442978,0.645952113281648
"SFE-M-2","biochemical",0.319253979987117,0.00558241389639206,0.964250342711866
"SFE-M-3","biochemical",0.440589287798712,0.0106197553265795,0.959368512779588
"SFE-M-4","biochemical",0.529895870534753,0.0106114324349316,0.997297699422591
"SFE-SH-1S","biochemical",0.292017456105412,0.00688753011503635,0.882630054749492
"SFE-M-1S","all",0.198229229827065,0.0013036869807619,0.621785064183299
"SFE-M-2","all",0.131814331676476,1.39349691064736e-05,0.824207565301879
"SFE-M-3","all",0.259807123450266,0.00257523424698995,0.765790159067158
"SFE-M-4","all",0.293192894522368,0.00230342992656623,0.987927011906235
"SFE-SH-1S","all",0.166756910946731,0.00214804911995042,0.709358868606019
