"site_reach","model","mean","ci_lower","ci_upper"
"SFE-M-1S","null",0.320229509484158,0.320229509484158,0.320229509484158
"SFE-M-2","null",0.313644372155264,0.313644372155264,0.313644372155264
"SFE-M-3","null",0.378788138575191,0.378788138575191,0.378788138575191
"SFE-SH-1S","null",0.304047622901121,0.304047622901121,0.304047622901121
"SFE-M-1S","chemical",0.294690712354058,0.00275822138624578,0.9001569536524
"SFE-M-2","chemical",0.563322760734024,0.0130283589814677,0.992786242257031
"SFE-M-3","chemical",0.400610251530401,0.00956119011804025,0.956740297894652
"SFE-SH-1S","chemical",0.447310181307039,0.00990126365851402,0.994914731770262
"SFE-M-1S","physicochemical",0.20901856209209,0.00170258783732152,0.644045014446636
"SFE-M-2","physicochemical",0.231247313868614,0.00236518675789783,0.914276228682434
"SFE-M-3","physicochemical",0.258921414223299,0.00250870148979914,0.795413098455767
"SFE-SH-1S","physicochemical",0.174308890950801,0.00319689800468537,0.793342637440431
