"site_reach","model","mean","ci_lower","ci_upper"
"SFE-M-1S","null",0.283322891498859,0.283322891498859,0.283322891498859
"SFE-M-2","null",0.340007288746597,0.340007288746597,0.340007288746597
"SFE-M-3","null",0.331948861256826,0.331948861256826,0.331948861256826
"SFE-M-4","null",0.303039826607254,0.303039826607254,0.303039826607254
"SFE-SH-1S","null",0.399435467727489,0.399435467727489,0.399435467727489
"SFE-M-1S","physical",0.337856426563819,0.0140066366145122,0.864324657108951
"SFE-M-2","physical",0.338783127358175,0.0140386890465612,0.843239960057082
"SFE-M-3","physical",0.329749848510861,0.0136115071528167,0.834650157412217
"SFE-M-4","physical",0.401284378566784,0.0260183063181883,0.895173793576188
"SFE-SH-1S","physical",0.36858897552812,0.018547794061331,0.849427206831138
"SFE-M-1S","chemical",0.33566409174148,0.013771034120412,0.857729445427976
"SFE-M-2","chemical",0.341352328130264,0.0147781003760071,0.844301901327048
"SFE-M-3","chemical",0.331260002026942,0.0135685987908569,0.840631474272907
"SFE-M-4","chemical",0.401323394173992,0.0252668173674843,0.894296506100009
"SFE-SH-1S","chemical",0.367835483768478,0.0191192551423247,0.850765849630218
"SFE-M-1S","biological",0.338031954903646,0.0145157044629098,0.855685716373881
"SFE-M-2","biological",0.338515454275601,0.0140231056581794,0.835848002823692
"SFE-M-3","biological",0.330161496578325,0.0143551388350158,0.839763262590505
"SFE-M-4","biological",0.401447898222086,0.0253851213343443,0.894105764330731
"SFE-SH-1S","biological",0.367484400693827,0.0181887935415735,0.850949183385305
"SFE-M-1S","physicochemical",0.336003174748947,0.0140412305392744,0.857360458248887
"SFE-M-2","physicochemical",0.341084697201708,0.0144679772411,0.84686615793989
"SFE-M-3","physicochemical",0.329428464571633,0.0138752389934936,0.842798608092586
"SFE-M-4","physicochemical",0.401444129947453,0.0271528330680939,0.896012317144758
"SFE-SH-1S","physicochemical",0.369038362509299,0.0181941291029935,0.8533509882105
"SFE-M-1S","ecohydrological",0.338101137893339,0.0147651399202884,0.856593373914863
"SFE-M-2","ecohydrological",0.339804656952209,0.0146024794220817,0.839542472384948
"SFE-M-3","ecohydrological",0.328495452480208,0.0136027534159996,0.837558366263593
"SFE-M-4","ecohydrological",0.397952723564275,0.0249962045614652,0.89617295168327
"SFE-SH-1S","ecohydrological",0.368934059305609,0.0177956658353531,0.850273657115383
"SFE-M-1S","biochemical",0.337568692535904,0.0136835914029706,0.854417121444485
"SFE-M-2","biochemical",0.341464778305268,0.0149912826088059,0.843294487677263
"SFE-M-3","biochemical",0.329202499225179,0.0133130782808167,0.841730939039899
"SFE-M-4","biochemical",0.399348874843721,0.0249292551476584,0.895321253505858
"SFE-SH-1S","biochemical",0.370213799229608,0.0183002057291612,0.850729223826541
"SFE-M-1S","all",0.336429910689567,0.0143162481079337,0.858575511146609
"SFE-M-2","all",0.340948759174205,0.0150721130876327,0.83935891288818
"SFE-M-3","all",0.330758677011054,0.0136444034267635,0.843292490763622
"SFE-M-4","all",0.399969547190724,0.024454948959852,0.895372532997363
"SFE-SH-1S","all",0.366777039452299,0.0184819016728987,0.848351152597371
