"site_reach","model","mean","ci_lower","ci_upper"
"SFE-M-1S","null",0.323286138679634,0.323286138679634,0.323286138679634
"SFE-M-2","null",0.308502876294736,0.308502876294736,0.308502876294736
"SFE-M-3","null",0.384055399131251,0.384055399131251,0.384055399131251
"SFE-M-4","null",0.300019092051058,0.300019092051058,0.300019092051058
"SFE-SH-1S","null",0.300623054069757,0.300623054069757,0.300623054069757
"SFE-M-1S","physical",0.297281233505304,0.00732661675900743,0.913042720284791
"SFE-M-2","physical",0.274855262787741,0.00582920782216561,0.911430724820735
"SFE-M-3","physical",0.346397832415624,0.00616530238811474,0.931600168042098
"SFE-M-4","physical",0.284190514969011,0.00725314216454879,0.921176321197985
"SFE-SH-1S","physical",0.264528283494429,0.00657583684435479,0.916633664135553
"SFE-M-1S","chemical",0.296896793659918,0.00741777876980488,0.906918462026381
"SFE-M-2","chemical",0.277687244441101,0.00592866353687318,0.909081307270721
"SFE-M-3","chemical",0.345896807910049,0.00617707433585381,0.931989075215622
"SFE-M-4","chemical",0.285225576060382,0.00741285962843296,0.921916234625563
"SFE-SH-1S","chemical",0.26619725816525,0.00678227009500925,0.91538631723144
"SFE-M-1S","biological",0.296375945693324,0.00753952102228372,0.91732212575055
"SFE-M-2","biological",0.276400660997744,0.0059525321850786,0.91272555620388
"SFE-M-3","biological",0.345824683724833,0.00650650676544876,0.929697836725104
"SFE-M-4","biological",0.286694539066471,0.00723838136357509,0.924679965209368
"SFE-SH-1S","biological",0.264048015257855,0.00675281115752802,0.913591484004086
"SFE-M-1S","physicochemical",0.297538719124018,0.00741561149606478,0.908018453442412
"SFE-M-2","physicochemical",0.27688790190976,0.00613784755123468,0.911476537581618
"SFE-M-3","physicochemical",0.346261797234337,0.0065569211327761,0.932381807071314
"SFE-M-4","physicochemical",0.287193294510419,0.00743399858480369,0.922686859728519
"SFE-SH-1S","physicochemical",0.266641720523403,0.00679954897766495,0.914464001638015
"SFE-M-1S","ecohydrological",0.297311208074115,0.00769343898954605,0.912431984600693
"SFE-M-2","ecohydrological",0.276728871608283,0.00599758695955206,0.907359119775055
"SFE-M-3","ecohydrological",0.346284688496639,0.00639213413216998,0.935126948701921
"SFE-M-4","ecohydrological",0.285382283285753,0.00739960084737753,0.921568535568948
"SFE-SH-1S","ecohydrological",0.265061633010179,0.00650993462819429,0.914353726219697
"SFE-M-1S","biochemical",0.296147877999862,0.00742096203534098,0.912412757180686
"SFE-M-2","biochemical",0.277039356599041,0.00552970694650087,0.912800837275992
"SFE-M-3","biochemical",0.347480227792996,0.00664159089489942,0.932487579181075
"SFE-M-4","biochemical",0.287394238618756,0.00695545940519006,0.923667844812808
"SFE-SH-1S","biochemical",0.266191471099049,0.00677426720370157,0.912929283062432
"SFE-M-1S","all",0.296059226891872,0.0073154019819296,0.913570983896067
"SFE-M-2","all",0.277534576303098,0.0057074072771693,0.915853388918333
"SFE-M-3","all",0.346630659059626,0.00642194166253838,0.933061132598817
"SFE-M-4","all",0.286277499389695,0.0073220978726044,0.91967741512882
"SFE-SH-1S","all",0.265143771147835,0.00617635794812326,0.914024181705012
