"site_reach","model","mean","ci_lower","ci_upper"
"SFE-M-1S","null",0.283322891498859,0.283322891498859,0.283322891498859
"SFE-M-2","null",0.340007288746597,0.340007288746597,0.340007288746597
"SFE-M-3","null",0.331948861256826,0.331948861256826,0.331948861256826
"SFE-M-4","null",0.303039826607254,0.303039826607254,0.303039826607254
"SFE-SH-1S","null",0.399435467727489,0.399435467727489,0.399435467727489
"SFE-M-1S","physical",0.258092623525279,0.00591354400822658,0.913058171040098
"SFE-M-2","physical",0.290499672013033,0.00681940803916649,0.914287449984996
"SFE-M-3","physical",0.289874332552059,0.0069248965268525,0.913349193221132
"SFE-M-4","physical",0.287904611347558,0.00594869385143746,0.915337021550932
"SFE-SH-1S","physical",0.34835814121986,0.0076955396897072,0.926661011433258
"SFE-M-1S","chemical",0.256481466447697,0.00585466048040832,0.91352725631078
"SFE-M-2","chemical",0.289302397199448,0.00675853389729966,0.912919226716298
"SFE-M-3","chemical",0.28967561869855,0.00693348786602307,0.917603142919121
"SFE-M-4","chemical",0.287707880773206,0.0061725089050566,0.922709859214002
"SFE-SH-1S","chemical",0.348527859400075,0.00766305140528422,0.927416910138541
"SFE-M-1S","biological",0.255860475431649,0.00578578105784198,0.912900212186305
"SFE-M-2","biological",0.289993422564454,0.00665810160345261,0.914744043620151
"SFE-M-3","biological",0.29070999279516,0.00718660902859534,0.915546274317381
"SFE-M-4","biological",0.287503108276523,0.00600444461063631,0.917261956343692
"SFE-SH-1S","biological",0.348869979162924,0.0076007652087232,0.927087891125962
"SFE-M-1S","physicochemical",0.255890171386745,0.00568848103476495,0.910126258747743
"SFE-M-2","physicochemical",0.290502349071322,0.00648900673970883,0.912879974426226
"SFE-M-3","physicochemical",0.291003633635876,0.00696302393442276,0.916453810998157
"SFE-M-4","physicochemical",0.289018631108665,0.00613043377729763,0.924580929631604
"SFE-SH-1S","physicochemical",0.349897526854806,0.00737085155055112,0.924834492168778
"SFE-M-1S","ecohydrological",0.256640497641647,0.00613849961313282,0.911946318433991
"SFE-M-2","ecohydrological",0.290288252646871,0.00719193048861794,0.916024896991848
"SFE-M-3","ecohydrological",0.290600223960042,0.00656469950553499,0.916364074079776
"SFE-M-4","ecohydrological",0.287040236328661,0.00609565109308751,0.919338559679794
"SFE-SH-1S","ecohydrological",0.347344940956122,0.00726510526739331,0.925645282174646
"SFE-M-1S","biochemical",0.25583650060534,0.00597953150092077,0.911553250549756
"SFE-M-2","biochemical",0.290360411307445,0.00693875633542059,0.916001191624931
"SFE-M-3","biochemical",0.290998349220511,0.00683539359253871,0.917824598768586
"SFE-M-4","biochemical",0.287791007748538,0.00614761622715081,0.923545440108273
"SFE-SH-1S","biochemical",0.348333700624372,0.00752571569274462,0.927732474960284
"SFE-M-1S","all",0.256594389325809,0.00597662039124475,0.908282006280686
"SFE-M-2","all",0.291083218838157,0.00737104024311319,0.914953044298039
"SFE-M-3","all",0.2902316870606,0.00691537788189823,0.919871064943386
"SFE-M-4","all",0.285685781047861,0.00564020459104981,0.9225719590071
"SFE-SH-1S","all",0.349432187157588,0.00760570879706721,0.923921116663653
