"parameters","model","predicting","mean","ci_lower","ci_upper"
"Conductivity","all","M_cover",-2.05555255912041,-5.92352081092143,0.23711452107863
"DIN","all","M_cover",-0.194629528865418,-1.83520425807803,0.961446051830422
"Discharge","all","M_cover",-6.02920742653069,-11.9963598237374,-1.42227331800818
"GPP","all","M_cover",0.0724108820199169,-1.24811294553723,0.944521200674167
"OPhos","all","M_cover",1.06701888981943,0.0729368114944063,2.74805592229699
"Temperature","all","M_cover",-0.411738324176596,-1.39108211958849,0.850961932379923
"Conductivity","biochemical","M_cover",-0.0291935819920788,-1.37598683021038,1.38362095778558
"DIN","biochemical","M_cover",-0.473528034991917,-2.17936781394898,0.74986836679811
"GPP","biochemical","M_cover",-0.627535275246973,-1.34606942279745,-0.145600646748244
"OPhos","biochemical","M_cover",1.01891926513644,0.00654829841306239,2.83768189093862
"GPP","biological","M_cover",-0.731935026369462,-1.38368603865024,-0.268971299684796
"Conductivity","chemical","M_cover",-0.0749724829961571,-1.27275226579852,1.0656879188197
"Conductivity","physicochemical","M_cover",-1.65978078015015,-5.03702083618945,0.0504164029224348
"DIN","chemical","M_cover",-0.1819835480122,-1.11345932553155,0.766514246248735
"DIN","physicochemical","M_cover",-0.304926544610795,-1.93962203970963,0.915817595687985
"Discharge","physicochemical","M_cover",-5.32108729965242,-11.1186841235103,-1.95336414968913
"OPhos","chemical","M_cover",1.14087095939457,0.220647274207551,2.70645789921081
"OPhos","physicochemical","M_cover",1.01662687824447,0.138266205103694,2.36424131995181
"Temperature","physicochemical","M_cover",-0.365510432166956,-1.16365471052947,0.154197710367424
"Discharge","ecohydrological","M_cover",-3.40033917412791,-6.0324128221483,-0.896186775329561
"GPP","ecohydrological","M_cover",-0.218143770770121,-1.02107736875263,0.393397913406924
"Temperature","ecohydrological","M_cover",-0.203431906870415,-0.751410413451701,0.358522908702265
"Discharge","physical","M_cover",-3.3876297171392,-5.56386640185479,-1.35691670015425
"Temperature","physical","M_cover",-0.324637085178695,-0.771085119046838,0.149083901759462
"Conductivity","all","AC_cover",-2.21614583001666,-5.31712288696064,-0.267794496475346
"DIN","all","AC_cover",0.114519942078731,-0.804227578580567,0.961541108884867
"Discharge","all","AC_cover",-0.753623209546833,-6.24066109831228,4.03596500179743
"GPP","all","AC_cover",0.407124519351978,-1.36420076238351,2.17920480036144
"OPhos","all","AC_cover",-0.323746468278328,-2.03636698655191,1.76005246857131
"Temperature","all","AC_cover",-0.37301579715831,-2.01333762393426,1.08945064049662
"Conductivity","biochemical","AC_cover",-2.16244436999282,-4.10029670820641,-0.693479789953988
"DIN","biochemical","AC_cover",0.109127967318255,-0.785734141763541,0.855584386283159
"GPP","biochemical","AC_cover",-0.0228194864984613,-0.990330977111761,1.05710935929023
"OPhos","biochemical","AC_cover",-0.358860010399362,-1.80496601206781,1.43619214660356
"GPP","biological","AC_cover",0.789711923096491,-0.121324885298503,1.87180346995517
"Conductivity","chemical","AC_cover",-2.07348647740433,-3.7557273569746,-0.690619801708569
"Conductivity","physicochemical","AC_cover",-1.94733439167432,-4.29376220716928,-0.349773005777776
"DIN","chemical","AC_cover",0.121697452739245,-0.711434528527128,0.796545883388143
"DIN","physicochemical","AC_cover",0.0905196599608063,-0.774604981410264,0.79507882555147
"Discharge","physicochemical","AC_cover",0.654481213780577,-3.87688986548361,4.86912375506822
"OPhos","chemical","AC_cover",-0.423983679441864,-1.62177196588138,1.21246614318589
"OPhos","physicochemical","AC_cover",-0.41502630944473,-2.08151173240144,1.21276003422327
"Temperature","physicochemical","AC_cover",-0.0601505554537759,-0.842037179609202,0.815888273669712
"Discharge","ecohydrological","AC_cover",3.17762661445528,-0.353462916292118,6.09547939035898
"GPP","ecohydrological","AC_cover",1.01715921534394,-0.146941610537581,2.60418792877466
"Temperature","ecohydrological","AC_cover",-0.767247919799601,-1.70623528021049,-0.0534598002929332
"Discharge","physical","AC_cover",4.29925251279921,2.36112324005438,6.44519463710155
"Temperature","physical","AC_cover",-0.341848227189612,-0.768499475262511,0.132624799258657
"Conductivity","all","M_atx",41.8376201606298,10.1196655904378,72.8873398205929
"DIN","all","M_atx",-2.34633558929218,-19.0725040513211,13.967130715127
"Discharge","all","M_atx",-26.346231873524,-59.1816073499427,6.36862298711081
"GPP","all","M_atx",0.824110602420375,-3.19403697313635,4.85614220324348
"OPhos","all","M_atx",-2.77804372102015,-20.6428148002329,15.9992623227625
"Temperature","all","M_atx",-4.94676075439469,-28.233921420229,15.3961424379028
"Conductivity","all_w_cover","M_atx",36.8777950171313,7.49544298485299,66.5343118279344
"Cover","all_w_cover","M_atx",1.43100455115488,-2.89883483455639,5.44814990636524
"DIN","all_w_cover","M_atx",-2.39722738032844,-19.2929627576347,13.5435106125768
"Discharge","all_w_cover","M_atx",-34.0763449600627,-66.4065682006753,0.875309497610016
"GPP","all_w_cover","M_atx",14.2640331839582,-8.99749220817395,38.6498368279752
"OPhos","all_w_cover","M_atx",1.00743345804661,-17.3487901419734,23.447867024779
"Temperature","all_w_cover","M_atx",-14.069426684746,-42.5803795943829,8.75878507475056
"Conductivity","biochemical","M_atx",61.1257023127306,44.1832672177209,79.5036561377839
"DIN","biochemical","M_atx",-6.96076121258934,-22.0109842524133,8.28149806597503
"GPP","biochemical","M_atx",0.47866993331082,-4.3983748786453,5.39814247279639
"OPhos","biochemical","M_atx",-2.17738982457816,-17.5648009152531,13.5356174614975
"Conductivity","biochemical_w_cover","M_atx",60.0330156194758,42.9709877796011,79.8883850435338
"Cover","biochemical_w_cover","M_atx",1.96322421837719,-3.29186152384464,6.59635608604939
"DIN","biochemical_w_cover","M_atx",-6.9101805035718,-21.8213466545111,8.55548571656982
"GPP","biochemical_w_cover","M_atx",4.0273090155396,-15.931802818775,27.1738531235448
"OPhos","biochemical_w_cover","M_atx",-0.325791537111728,-17.595703374273,20.0035512008287
"GPP","biological","M_atx",-4.30874125112118,-13.6026438480111,5.05530552747733
"Cover","biological_w_cover","M_atx",6.50934076227029,-0.990823275696102,13.8279822172861
"GPP","biological_w_cover","M_atx",-19.9861988028745,-47.8691872047793,5.07892400324182
"Conductivity","chemical","M_atx",5.11976784385336,-0.637582460656054,10.8109849385969
"Conductivity","physicochemical","M_atx",1.27012906242728,-3.1162020507714,5.65339155535611
"DIN","chemical","M_atx",16.6850464445118,-3.05300630710182,36.7413748593706
"DIN","physicochemical","M_atx",7.88967504473473,-5.76193913879896,22.1959039006593
"Discharge","physicochemical","M_atx",-64.0371071452434,-89.1298144431322,-42.2634962277012
"OPhos","chemical","M_atx",27.7909379264251,9.64502687536034,49.7622993970518
"OPhos","physicochemical","M_atx",6.73166299689884,-8.09317736103713,23.8992201283108
"Temperature","physicochemical","M_atx",-5.39559742804574,-31.2692349090905,16.9787614985414
"Conductivity","chemical_w_cover","M_atx",59.8078128434946,42.4355107839431,79.4381565822118
"Conductivity","physicochemical_w_cover","M_atx",41.8334180488513,10.28771465165,72.9938537218505
"Cover","chemical_w_cover","M_atx",2.19407480832095,-3.64003095676616,7.37298261430005
"Cover","physicochemical_w_cover","M_atx",1.28064657381862,-3.63531296102783,5.6117311588783
"DIN","chemical_w_cover","M_atx",-6.69308175535644,-21.658006166341,8.37030540413184
"DIN","physicochemical_w_cover","M_atx",-2.30352246597075,-18.9817119546854,13.5983425488709
"Discharge","physicochemical_w_cover","M_atx",-25.332101691768,-58.1423184625441,7.67963098747199
"OPhos","chemical_w_cover","M_atx",-2.44219087542979,-17.6936474210243,12.8295065065604
"OPhos","physicochemical_w_cover","M_atx",-3.14752991041939,-20.7434193438847,15.3197945569512
"Temperature","physicochemical_w_cover","M_atx",-4.60269734996395,-27.3076462359285,15.5190575193617
"Discharge","ecohydrological","M_atx",-73.4087425352929,-96.2856527095656,-52.9238903229575
"GPP","ecohydrological","M_atx",1.61928544638472,-4.08524506023161,7.24521830546367
"Temperature","ecohydrological","M_atx",-11.5203317813232,-34.2048372864824,7.48400376188981
"Cover","ecohydrological_w_cover","M_atx",2.96380168383918,-2.93284748788599,8.20754238230888
"Discharge","ecohydrological_w_cover","M_atx",-75.3570771629074,-100.475198771932,-54.0453301724496
"GPP","ecohydrological_w_cover","M_atx",13.6741562072338,-6.77088067362241,31.7846601910667
"Temperature","ecohydrological_w_cover","M_atx",-21.3561702454543,-50.1390644822631,1.62918984647075
"Discharge","physical","M_atx",-8.37287669783921,-15.2660705223222,-1.43216439301784
"Temperature","physical","M_atx",-11.6203880849298,-38.5630879654399,11.4087838401281
