"parameters","site_reach","model","predicting","mean","ci_lower","ci_upper"
"Conductivity","SFE-M-1S","all","M_cover",-1.17469788961832,-2.73598114243369,0.38752130128515
"Conductivity","SFE-M-2","all","M_cover",-1.78989396014997,-3.1524923972402,-0.405521530549089
"Conductivity","SFE-M-3","all","M_cover",-4.6163616605828,-6.95513217634542,-2.35054328939155
"Conductivity","SFE-M-4","all","M_cover",-1.57181286180228,-2.54890366831305,-0.592212960397013
"Conductivity","SFE-SH-1S","all","M_cover",-1.12499642344868,-2.96821680771941,0.950742094172617
"DIN","SFE-M-1S","all","M_cover",-0.994377351651196,-2.52299898655561,0.265240502557674
"DIN","SFE-M-2","all","M_cover",0.0552581721467581,-0.762855010251121,0.738295936467544
"DIN","SFE-M-3","all","M_cover",0.414792370134293,-0.480276144921218,1.3429958449498
"DIN","SFE-M-4","all","M_cover",-0.220168924611482,-0.940696252213728,0.433093549744608
"DIN","SFE-SH-1S","all","M_cover",-0.228651910345465,-1.25158380845806,0.603957106759716
"Discharge","SFE-M-1S","all","M_cover",-5.27561081751159,-8.79948067981528,-1.96695145978288
"Discharge","SFE-M-2","all","M_cover",-5.86358865133642,-9.20128465703438,-2.65272796417782
"Discharge","SFE-M-3","all","M_cover",-9.44989747321887,-13.915095834822,-5.02864789334059
"Discharge","SFE-M-4","all","M_cover",-5.48127795417596,-8.21561378632285,-2.97600133142631
"Discharge","SFE-SH-1S","all","M_cover",-4.07566223641061,-8.35527904061094,0.27548604733779
"GPP","SFE-M-1S","all","M_cover",0.271424214431428,-0.644908407473474,1.10428634410996
"GPP","SFE-M-2","all","M_cover",0.391336195582364,-0.332569611362368,1.05324753393461
"GPP","SFE-M-3","all","M_cover",-0.595954974274829,-1.71712915508422,0.399666137214761
"GPP","SFE-M-4","all","M_cover",0.350095716310175,-0.16262105565366,0.844063311204212
"GPP","SFE-SH-1S","all","M_cover",-0.054846741949554,-1.01475180217637,0.766878524847589
